Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,82.540001,83.029999,81.660004,82.339996,1498400,81.964088
2013-03-01,76.370003,83.07,75.620003,82.650002,1019400,82.272675
2013-02-01,73.800003,81.440002,72.139999,76.339996,1234800,75.934532
2013-01-02,73.489998,76.709999,71.480003,73.519997,703000,73.129517
2012-12-03,73.510002,75.440002,70.019997,72.349998,723700,71.965729
2012-11-01,70.639999,84.00,70.080002,73.150002,1485200,72.701599
2012-10-01,68.529999,71.120003,64.360001,70.940002,870500,70.505142
2012-09-04,71.120003,72.129997,66.910004,68.440002,1081000,68.02047
2012-08-01,70.489998,73.059998,66.309998,71.120003,1174400,70.621391
2012-07-02,68.400002,74.389999,66.970001,70.150002,1299800,69.658188
2012-06-01,71.510002,74.870003,60.869999,68.220001,1569900,67.741722
2012-05-01,91.260002,92.519997,66.029999,72.940002,1750000,72.365517
2012-04-02,88.75,93.080002,87.889999,91.800003,828200,91.076973
2012-03-01,85.730003,91.050003,85.25,88.57,974600,87.872406
2012-02-01,77.080002,87.489998,75.690002,85.370003,1492600,84.640396
2012-01-03,71.139999,77.07,68.790001,76.639999,775100,75.985001
2011-12-01,68.940002,71.690002,66.709999,69.629997,730700,69.034912
2011-11-01,63.509998,71.00,63.02,69.220001,991100,68.568733
2011-10-03,57.84,66.93,55.610001,65.07,723600,64.457779
2011-09-01,60.799999,63.59,57.830002,58.099998,974400,57.553356
2011-08-01,55.439999,61.25,49.50,60.720001,1735800,60.090206
2011-07-01,58.439999,60.00,54.150002,54.970001,1374200,54.399845
2011-06-01,62.139999,62.139999,56.580002,58.490002,1567000,57.883339
2011-05-02,65.290001,72.32,61.349998,62.099998,1671900,61.393276
2011-04-01,65.980003,68.849998,63.330002,65.459999,924800,64.715042
2011-03-01,62.990002,66.860001,61.990002,65.620003,993600,64.873222
2011-02-01,64.220001,67.00,60.349998,62.68,1457000,61.90947
2011-01-03,66.50,66.739998,60.09,63.939999,1051000,63.153976
2010-12-01,66.620003,69.510002,65.739998,66.150002,631500,65.336815
2010-11-01,65.290001,68.879997,64.190002,65.989998,1060600,65.120743
2010-10-01,59.220001,65.010002,57.220001,64.980003,787300,64.124054
2010-09-01,55.080002,60.209999,55.080002,58.68,882400,57.907036
2010-08-02,54.130001,56.209999,51.689999,54.470001,1166100,53.697277
2010-07-01,50.380001,55.779999,49.759998,53.529999,1114500,52.770611
2010-06-01,51.740002,52.34,47.759998,50.18,1405500,49.468136
2010-05-03,45.130001,52.009998,42.189999,51.759998,1890000,50.964878
2010-04-01,42.119999,46.880001,41.759998,45.099998,1472800,44.407188
