Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.86,7.86,7.75,7.83,456600,6.615038
2013-03-01,7.75,8.60,7.60,7.84,728600,6.623487
2013-02-01,7.12,8.12,7.01,7.92,331100,6.589694
2013-01-02,6.09,7.35,5.97,7.13,225700,5.932388
2012-12-03,5.28,6.22,5.06,5.99,180900,4.983871
2012-11-01,5.53,5.57,4.72,5.31,137300,4.41809
2012-10-01,6.01,6.24,5.36,5.50,311500,4.4755
2012-09-04,5.78,6.55,5.50,5.97,98500,4.857952
2012-08-01,5.38,5.85,5.34,5.75,63000,4.678932
2012-07-02,5.37,5.43,5.16,5.39,45100,4.310887
2012-06-01,6.11,6.24,4.99,5.35,212400,4.278896
2012-05-01,5.57,6.67,5.49,6.10,66700,4.878741
2012-04-02,5.60,5.85,5.02,5.61,27300,4.432213
2012-03-01,4.74,5.94,4.70,5.59,68900,4.416412
2012-02-01,4.27,4.90,4.15,4.80,57600,3.792268
2012-01-03,3.60,4.47,3.35,4.24,41400,3.349837
2011-12-01,3.42,3.74,3.20,3.52,47100,2.780997
2011-11-01,3.51,4.03,3.34,3.45,42900,2.725693
2011-10-03,3.71,3.73,3.19,3.61,73700,2.852102
2011-09-01,4.06,4.25,3.69,3.78,53900,2.986411
2011-08-01,4.31,4.98,3.57,4.09,88700,3.231329
2011-07-01,4.67,4.80,4.16,4.24,53300,3.349837
2011-06-01,5.01,5.29,3.91,4.68,92600,3.697461
2011-05-02,5.26,5.48,4.79,5.04,59500,3.981882
2011-04-01,5.70,5.71,5.03,5.26,50000,4.155694
2011-03-01,7.18,7.50,5.50,5.68,86900,4.487517
2011-02-01,6.05,7.49,5.75,7.12,62800,5.625198
2011-01-03,6.03,6.25,5.63,6.06,38100,4.787738
2010-12-01,5.36,6.08,5.16,5.96,65800,4.708733
2010-11-01,5.29,5.78,5.05,5.28,49100,4.171495
2010-10-01,5.05,5.66,4.89,5.30,61300,4.187296
2010-09-01,4.59,5.12,4.43,5.04,64300,3.981882
2010-08-02,6.20,6.20,4.45,4.55,74100,3.594754
2010-07-01,5.19,6.29,4.45,6.19,165200,4.890446
2010-06-01,3.70,5.64,3.32,5.13,233000,4.052987
2010-05-03,4.09,4.39,3.12,3.72,188300,2.939008
2010-04-01,3.24,4.78,3.21,4.08,329500,3.223428
2010-03-01,2.25,3.41,2.21,3.24,204200,2.559781
2010-02-01,2.04,2.52,1.97,2.28,139900,1.801327
2010-01-04,1.96,2.45,1.87,2.00,141200,1.580112
2009-12-01,1.78,1.99,1.65,1.99,159400,1.572211
2009-11-02,2.03,2.25,1.72,1.78,112500,1.406299
2009-10-01,2.80,2.97,1.82,2.00,193000,1.580112
2009-09-01,1.96,3.60,1.80,2.84,428900,2.243759
2009-08-03,1.85,2.29,1.72,1.94,298000,1.532708
2009-07-01,1.80,2.02,1.50,1.81,183400,1.430001
2009-06-01,1.60,2.49,1.59,1.75,374700,1.382598
2009-05-01,2.76,4.23,1.56,1.56,478000,1.232487
2009-04-01,0.80,3.05,0.69,2.81,306400,2.220057
2009-03-02,0.60,1.39,0.56,0.72,182900,0.56884
2009-02-02,1.86,1.88,0.58,0.58,231900,0.458232
2009-01-02,3.00,3.50,1.77,1.78,185100,1.406299
2008-12-01,2.79,3.30,2.23,2.95,185000,2.330665
2008-11-03,4.02,5.75,1.77,2.73,400400,2.156852
