Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,29.32,29.389999,28.940001,29.02,11336600,27.978981
2013-03-01,30.41,30.459999,28.309999,29.40,10004500,28.34535
2013-02-01,32.27,33.360001,30.139999,30.24,11096100,29.155216
2013-01-02,35.919998,36.080002,31.809999,31.92,8757400,30.57634
2012-12-03,34.619999,35.529999,32.810001,35.009998,7364300,33.536266
2012-11-01,37.490002,38.00,32.869999,34.529999,8821600,33.076469
2012-10-01,42.209999,42.540001,38.240002,40.50,6877100,38.57053
2012-09-04,38.68,43.189999,37.25,41.759998,9502300,39.7705
2012-08-01,32.799999,38.68,31.48,38.52,7905300,36.68486
2012-07-02,37.630001,39.00,31.00,32.880001,9442700,31.147568
2012-06-01,40.200001,43.299999,35.549999,37.57,11201300,35.590454
2012-05-01,40.580002,40.759998,34.82,39.060001,9744600,37.001945
2012-04-02,43.68,44.50,38.459999,40.43,7868300,38.108265
2012-03-01,47.880001,48.59,42.200001,43.48,8653800,40.983112
2012-02-01,49.939999,50.389999,45.889999,47.73,7541900,44.989052
2012-01-03,46.27,50.23,45.200001,49.259998,7797500,46.288647
2011-12-01,52.549999,53.139999,43.720001,45.25,7085300,42.520531
2011-11-01,47.720001,53.259998,47.189999,52.880001,6804200,49.690292
2011-10-03,47.240002,50.990002,42.889999,49.50,8069000,46.367561
2011-09-01,50.709999,55.950001,45.150002,46.650002,9758800,43.697914
2011-08-01,48.09,52.779999,44.59,50.75,11340500,47.53846
2011-07-01,45.099998,51.00,44.25,47.57,8191700,44.45491
2011-06-01,48.00,48.220001,42.50,45.290001,7542300,42.324215
2011-05-02,50.93,51.00,44.25,47.759998,10218600,44.632465
2011-04-01,51.700001,55.740002,49.560001,51.009998,10750600,47.54837
2011-03-01,53.48,54.259998,47.900002,51.91,7597400,48.387299
2011-02-01,48.240002,53.009998,47.099998,52.82,9317400,49.235542
2011-01-03,53.919998,53.93,45.599998,47.509998,11857500,44.184719
2010-12-01,52.09,55.720001,50.650002,53.18,6582300,49.457874
2010-11-01,48.459999,53.439999,47.630001,51.650002,10133900,48.034962
2010-10-01,46.849998,49.66,44.860001,48.09,9614000,44.618851
2010-09-01,47.32,47.560001,43.830002,46.290001,9430200,42.948776
2010-08-02,41.77,47.50,40.66,46.759998,7251300,43.38485
2010-07-01,45.080002,45.34,39.669998,41.099998,9644100,38.034191
2010-06-01,42.509998,47.25,41.130001,45.41,10422500,42.022694
2010-05-03,43.950001,47.209999,39.950001,42.080002,13973000,38.941093
2010-04-01,38.950001,44.369999,38.139999,43.549999,10600700,40.108654
2010-03-01,38.099998,40.799999,36.689999,38.34,10516600,35.310352
2010-02-01,35.189999,40.00,33.650002,37.66,13375300,34.684086
2010-01-04,40.700001,42.639999,34.630001,34.82,13663900,32.068504
2009-12-01,44.119999,48.02,38.130001,39.380001,15656400,36.268173
2009-11-02,36.860001,45.82,35.50,42.689999,14308600,39.316612
2009-10-01,38.099998,40.509998,34.50,35.93,15113400,32.940346
2009-09-01,34.91,42.099998,34.419998,37.900002,19187300,34.746426
2009-08-03,35.68,36.709999,32.169998,34.700001,6828800,31.812691
2009-07-01,34.220001,36.029999,30.67,34.900002,7077700,31.99605
2009-06-01,38.549999,38.630001,31.620001,33.549999,9485700,30.758379
2009-05-01,29.00,38.959999,28.77,38.080002,10685400,34.911449
2009-04-01,33.07,34.040001,27.09,29.10,11389800,26.534445
2009-03-02,30.68,34.240002,25.540001,32.419998,16080400,29.561739
2009-02-02,36.330002,39.630001,29.379999,30.200001,17226700,27.537464
2009-01-02,35.970001,40.900002,30.790001,37.490002,17777800,34.184753
2008-12-01,27.620001,37.84,22.66,36.77,14300600,33.528233
2008-11-03,23.370001,29.700001,19.110001,29.459999,14732900,26.862705
2008-10-01,36.709999,39.23,17.27,22.74,21003900,20.585667
2008-09-02,32.950001,39.59,26.02,36.740002,21620400,33.259342
2008-08-01,42.27,43.66,31.719999,34.73,11442200,31.439764
2008-07-01,46.419998,52.48,39.060001,42.349998,10668200,38.33786
2008-06-02,40.139999,45.98,37.799999,45.50,8558600,41.189438
2008-05-01,37.599998,43.869999,37.00,40.290001,9743700,36.473022
2008-04-01,42.150002,46.259998,37.279999,38.619999,9455600,34.789814
2008-03-03,52.779999,54.740002,41.540001,43.450001,10650800,39.140793
2008-02-01,52.00,53.52,47.18,51.950001,10249400,46.797794
2008-01-02,42.950001,54.00,42.93,51.439999,16388800,46.338375
2007-12-03,40.389999,43.41,37.049999,42.049999,6139800,37.879639
2007-11-01,43.029999,47.720001,38.599998,40.509998,8541100,36.492371
2007-10-01,40.50,44.799999,38.810001,44.130001,8113000,39.608692
2007-09-04,32.889999,41.130001,32.52,40.279999,8834900,36.153141
2007-08-01,32.57,35.00,28.889999,32.52,6316900,29.188187
2007-07-02,29.299999,34.900002,29.16,32.900002,7215500,29.529255
2007-06-01,29.379999,29.76,27.790001,29.07,6523800,26.091654
2007-05-01,28.09,31.48,27.709999,29.129999,6555700,26.145506
2007-04-02,28.469999,29.92,28.059999,28.110001,5118700,25.099058
