Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.42,5.48,5.09,5.14,21483400,5.028889
2013-03-01,5.18,6.03,4.89,5.43,10331100,5.31262
2013-02-01,7.22,7.25,5.20,5.23,13104800,5.116943
2013-01-02,7.63,7.95,6.72,7.12,11743700,6.92753
2012-12-03,6.82,7.91,6.55,7.32,10397800,7.122124
2012-11-01,8.00,8.79,6.19,6.72,13606300,6.538342
2012-10-01,6.44,8.86,6.15,7.96,20301900,7.708348
2012-09-04,6.04,8.05,5.61,6.33,14845000,6.129879
2012-08-01,7.27,7.78,6.07,6.11,12848000,5.916835
2012-07-02,6.86,7.63,5.16,7.21,16451500,6.948329
2012-06-01,6.09,6.91,5.41,6.89,13420800,6.639943
2012-05-01,9.63,10.26,6.29,6.34,17859700,6.109904
2012-04-02,10.75,11.06,9.05,9.76,12874700,9.367339
2012-03-01,13.56,13.80,10.44,10.71,10211300,10.279119
2012-02-01,14.57,15.94,13.26,13.57,9964300,12.918482
2012-01-03,15.19,15.99,13.28,14.43,7768300,13.737192
2011-12-01,16.219999,16.879999,13.59,14.51,5282600,13.813351
2011-11-01,17.290001,18.58,13.57,16.389999,7251600,15.603088
2011-10-03,13.43,20.370001,13.09,18.219999,8144100,17.211334
2011-09-01,20.50,20.83,14.28,14.58,7107500,13.772846
2011-08-01,26.309999,26.50,16.91,20.309999,7634700,19.185631
2011-07-01,26.66,28.76,24.33,25.60,6310300,24.051542
2011-06-01,29.309999,29.99,24.10,26.66,9629700,25.047426
2011-05-02,33.939999,35.060001,28.50,29.889999,4998700,28.082054
2011-04-01,36.419998,36.75,32.400002,34.299999,4192400,32.105431
2011-03-01,33.84,36.990002,31.389999,36.040001,4665900,33.734104
2011-02-01,34.669998,35.189999,32.029999,33.529999,3647200,31.384697
2011-01-03,35.810001,36.50,30.700001,34.25,6695100,31.959959
2010-12-01,29.90,35.52,29.75,35.060001,3735400,32.715801
2010-11-01,25.059999,30.709999,24.85,29.200001,5220300,27.247616
2010-10-01,27.190001,27.370001,24.200001,24.59,4097900,22.868067
2010-09-01,23.24,27.08,23.02,26.709999,3441300,24.839611
2010-08-02,24.25,26.73,21.02,22.50,4010800,20.924421
2010-07-01,19.75,23.959999,19.09,23.690001,5539600,21.933739
2010-06-01,21.15,23.639999,19.65,19.809999,5507000,18.341381
2010-05-03,27.27,27.27,19.26,21.549999,6997200,19.952387
2010-04-01,23.16,28.52,23.09,27.00,6457300,24.876047
2010-03-01,22.639999,26.90,22.16,22.85,6977600,21.052507
2010-02-01,21.00,22.98,20.07,22.49,6575000,20.720827
2010-01-04,22.59,28.34,20.870001,21.07,6713000,19.330313
2009-12-01,21.299999,23.940001,19.41,22.25,3610100,20.412886
2009-11-02,21.889999,24.26,20.52,20.860001,4703400,19.137653
2009-10-01,21.950001,25.860001,20.07,21.66,6238900,19.78956
2009-09-01,17.16,24.10,16.52,22.129999,7052100,20.218973
2009-08-03,17.83,18.73,16.41,17.32,5196200,15.824339
2009-07-01,15.59,18.57,13.01,17.41,8762000,15.824855
2009-06-01,19.059999,19.940001,14.46,15.37,6432600,13.970593
2009-05-01,14.05,19.27,14.00,18.530001,8224700,16.842882
2009-04-01,13.05,16.379999,12.52,13.97,7357400,12.632229
2009-03-02,13.09,16.25,11.77,13.37,6756700,12.089684
2009-02-02,14.80,17.879999,12.38,13.90,7239200,12.568932
2009-01-02,16.629999,20.629999,14.76,15.19,6997100,13.648529
2008-12-01,14.68,17.940001,11.06,16.290001,4881700,14.636903
2008-11-03,21.40,23.10,10.43,15.38,6897500,13.819248
2008-10-01,31.85,32.580002,15.08,21.41,10033500,19.114012
2008-09-02,51.50,51.689999,27.90,32.889999,11256000,29.362909
2008-08-01,57.119999,58.00,43.900002,54.240002,6009700,48.423359
2008-07-01,74.860001,75.410004,47.75,56.310001,7758200,50.188095
2008-06-02,64.550003,77.400002,64.550003,75.029999,5599000,66.872894
2008-05-01,56.75,68.68,53.290001,64.910004,4638400,57.853123
2008-04-01,43.509998,62.990002,41.25,57.360001,5483300,51.049259
2008-03-03,51.669998,53.720001,37.82,43.50,4895900,38.714134
2008-02-01,44.73,56.150002,44.73,51.09,6153100,45.469082
2008-01-02,45.16,45.689999,32.98,43.950001,4585700,39.064342
2007-12-03,37.290001,45.220001,36.919998,44.93,2074800,39.935402
2007-11-01,40.400002,40.52,34.470001,37.860001,2837200,33.651329
2007-10-01,33.709999,41.700001,32.990002,41.00,2900500,36.373066
2007-09-04,29.549999,34.169998,29.360001,33.740002,1902500,29.932373
2007-08-01,29.65,34.759998,27.76,29.49,4343200,26.161993
2007-07-02,34.459999,37.00,28.700001,29.889999,3933900,26.453197
2007-06-01,40.91,41.50,32.939999,34.799999,3374400,30.798637
2007-05-01,36.080002,42.59,35.259998,40.380001,3290900,35.737041
2007-04-02,30.85,38.169998,30.33,36.07,4813700,31.868372
2007-03-01,30.809999,31.690001,29.219999,30.690001,2546800,27.115065
2007-02-01,29.99,33.790001,29.25,31.16,3875900,27.530315
2007-01-03,29.90,30.120001,27.18,29.719999,4132500,26.209993
