Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.15,30.23,29.209999,29.459999,250000,26.277634
2013-03-01,28.120001,30.23,27.50,30.10,104900,26.848499
2013-02-01,28.35,28.959999,27.860001,28.07,57100,24.672596
2013-01-02,27.00,28.93,26.74,28.360001,89100,24.927498
2012-12-03,26.24,26.809999,25.50,26.790001,48900,23.54752
2012-11-01,25.200001,26.530001,24.889999,26.219999,45600,22.692081
2012-10-01,25.559999,26.75,24.75,25.24,39700,21.843943
2012-09-04,24.84,25.98,24.370001,25.49,65400,22.060305
2012-08-01,23.629999,24.940001,23.33,24.82,35700,21.147293
2012-07-02,22.18,23.98,21.940001,23.530001,42700,20.04818
2012-06-01,20.700001,22.18,20.68,22.129999,63500,18.855343
2012-05-01,22.73,22.780001,20.610001,20.92,62000,17.496134
2012-04-02,22.57,23.10,21.85,22.799999,67600,19.068443
2012-03-01,24.030001,24.41,21.459999,22.58,83600,18.884451
2012-02-01,25.17,25.90,23.98,24.00,56500,19.722815
2012-01-03,24.75,25.90,23.93,24.959999,76200,20.511726
2011-12-01,24.299999,25.129999,23.809999,24.379999,46000,20.035091
2011-11-01,23.440001,24.860001,22.799999,24.389999,59200,19.719641
2011-10-03,21.629999,24.48,20.790001,23.91,72400,19.331554
2011-09-01,22.280001,22.799999,19.889999,21.780001,74900,17.609421
2011-08-01,22.959999,22.959999,19.50,22.35,67300,17.751152
2011-07-01,22.379999,23.860001,21.49,22.709999,64900,18.037075
2011-06-01,22.639999,23.110001,20.610001,22.33,75500,17.735268
2011-05-02,23.51,24.110001,22.01,22.75,63400,17.755285
2011-04-01,22.49,23.700001,21.889999,23.389999,53000,18.254774
2011-03-01,25.700001,25.700001,21.93,22.450001,88200,17.521151
2011-02-01,23.35,25.799999,22.65,25.530001,141500,19.573069
2011-01-03,26.34,26.34,21.549999,23.25,142200,17.825062
2010-12-01,28.25,29.25,25.860001,26.190001,72800,20.079071
2010-11-01,25.49,28.709999,25.469999,27.950001,51100,21.014763
2010-10-01,25.15,26.58,24.59,25.50,47800,19.172682
2010-09-01,24.01,26.889999,23.99,25.25,64600,18.984715
2010-08-02,23.50,24.309999,22.940001,23.75,59700,17.509975
2010-07-01,23.299999,24.370001,21.40,23.10,75100,17.030756
2010-06-01,23.559999,25.68,22.76,23.32,86000,17.192953
2010-05-03,25.969999,28.15,19.91,23.809999,87700,17.193363
2010-04-01,23.08,26.809999,22.799999,25.629999,104400,18.507597
2010-03-01,22.17,24.790001,21.219999,22.860001,54000,16.507362
2010-02-01,19.66,22.43,19.52,22.059999,38800,15.600364
2010-01-04,23.530001,24.030001,19.290001,19.59,30300,13.853632
2009-12-01,24.860001,25.559999,22.76,23.290001,42300,16.470194
2009-11-02,23.41,24.709999,22.75,24.629999,29100,17.059191
2009-10-01,22.73,23.780001,20.99,23.33,36000,16.158787
2009-09-01,20.709999,25.00,19.07,22.93,44000,15.88174
2009-08-03,19.879999,21.049999,19.059999,20.809999,39800,14.110135
2009-07-01,18.59,20.24,16.41,19.52,35400,13.235456
2009-06-01,17.50,19.26,17.33,18.33,58000,12.428582
2009-05-01,16.129999,18.34,15.55,17.33,40000,11.430358
2009-04-01,15.52,17.950001,14.55,15.96,59600,10.526747
2009-03-02,10.74,16.379999,8.81,15.69,71200,10.348662
2009-02-02,13.80,16.40,9.98,11.61,47600,7.409474
2009-01-02,18.18,19.82,12.96,13.75,41700,8.775217
2008-12-01,13.75,19.18,9.61,18.129999,72500,11.570522
2008-11-03,19.90,21.00,8.35,13.67,79300,8.455395
2008-10-01,28.030001,28.200001,15.81,20.07,59800,12.414028
2008-09-02,27.66,29.620001,22.85,28.60,62900,17.690145
2008-08-01,28.65,29.10,26.42,26.93,30700,16.342665
2008-07-01,22.049999,29.940001,22.049999,28.879999,47000,17.526037
2008-06-02,25.959999,26.25,20.82,22.049999,54700,13.381202
2008-05-01,26.74,27.76,25.08,26.059999,37500,15.465898
2008-04-01,27.90,29.27,25.10,26.639999,47100,15.810111
2008-03-03,28.00,30.32,26.450001,27.450001,69800,16.290825
2008-02-01,29.690001,31.040001,28.00,28.01,49300,16.338329
