Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.13,6.14,5.99,6.01,1673800,5.464448
2013-03-01,5.75,6.53,5.70,6.01,895000,5.464448
2013-02-01,6.69,6.95,5.81,5.92,1028400,5.382617
2013-01-02,6.55,6.77,6.39,6.63,485800,6.028168
2012-12-03,5.78,6.49,5.72,6.44,756800,5.855415
2012-11-01,5.60,5.78,5.16,5.74,573300,5.218956
2012-10-01,5.24,5.79,5.20,5.58,402900,5.07348
2012-09-04,5.16,5.96,5.08,5.21,602900,4.737067
2012-08-01,4.61,5.37,4.29,5.12,534700,4.655236
2012-07-02,4.65,4.75,4.02,4.55,430400,4.040605
2012-06-01,4.00,4.68,3.93,4.62,499000,4.102768
2012-05-01,4.63,4.77,4.08,4.24,659100,3.765311
2012-04-02,5.47,5.63,4.40,4.69,502300,4.034034
2012-03-01,5.28,6.03,4.92,5.56,555800,4.782351
2012-02-01,5.00,5.36,4.77,5.25,528400,4.515709
2012-01-03,4.14,5.10,3.87,4.86,858500,4.180256
2011-12-01,4.25,4.61,3.66,4.02,1035700,3.457743
2011-11-01,4.33,4.83,3.66,4.37,1023900,3.75879
2011-10-03,3.96,5.43,3.78,4.78,1363600,4.111446
2011-09-01,4.50,4.56,3.54,4.05,1541900,3.483547
2011-08-01,5.82,5.82,3.90,4.53,1604700,3.896412
2011-07-01,6.87,7.01,5.50,5.71,1443500,4.911371
2011-06-01,6.89,6.90,6.10,6.80,986000,5.848919
2011-05-02,8.03,8.05,6.50,7.00,1203900,6.020946
2011-04-01,7.74,8.07,7.11,7.96,1231000,6.846675
2011-03-01,7.73,7.93,6.67,7.50,1200600,6.451013
2011-02-01,7.55,7.80,7.32,7.69,1364300,6.614439
2011-01-03,6.18,7.75,6.14,7.40,1407300,6.365
2010-12-01,5.81,6.27,5.75,6.13,810100,5.272628
2010-11-01,6.33,6.69,5.46,5.53,1076700,4.756547
2010-10-01,6.05,6.53,5.91,6.31,620400,5.427452
2010-09-01,5.30,6.20,5.30,5.99,1109400,5.152209
2010-08-02,6.17,6.44,5.05,5.11,705600,4.39529
2010-07-01,5.47,6.26,5.30,6.01,814800,5.169412
2010-06-01,5.53,6.31,5.15,5.28,1372000,4.541513
2010-05-03,7.03,7.16,5.24,5.70,3090300,4.90277
2010-04-01,6.93,7.42,6.69,7.02,1845000,6.038148
2010-03-01,6.30,6.88,6.28,6.81,1023500,5.85752
2010-02-01,6.17,6.49,5.50,6.30,603000,5.418851
2010-01-04,6.76,7.28,5.90,5.92,769800,5.092
2009-12-01,7.38,7.46,6.04,6.41,1223900,5.513466
2009-11-02,6.99,8.20,6.82,7.24,904600,6.227378
2009-10-01,8.42,9.29,7.02,7.05,917400,6.063952
2009-09-01,7.35,8.56,6.73,8.46,664700,7.276743
2009-08-03,7.73,8.44,6.99,7.54,838000,6.485418
2009-07-01,6.32,7.43,5.13,7.41,634500,6.373601
2009-06-01,6.37,6.95,5.23,6.16,794500,5.298432
2009-05-01,4.95,6.88,4.25,6.27,1029200,5.393047
2009-04-01,3.67,5.28,3.65,4.75,1095200,4.085642
2009-03-02,3.28,5.02,2.25,3.84,1473800,3.302919
2009-02-02,5.04,5.99,3.33,3.53,1806600,3.036277
2009-01-02,6.30,8.00,4.15,5.18,1195800,4.4555
2008-12-01,4.30,7.45,4.09,6.05,1169900,5.203817
2008-11-03,3.89,5.59,3.14,4.65,1257100,3.999628
2008-10-01,8.28,8.90,3.63,4.11,1919900,3.535155
2008-09-02,12.23,12.42,8.61,8.78,2184500,7.551986
2008-08-01,11.91,12.82,11.24,11.79,1108100,10.140992
2008-07-01,12.78,13.19,11.32,11.68,1563400,9.646255
2008-06-02,15.64,15.66,12.78,13.11,1195400,10.82726
2008-05-01,15.89,16.51,14.85,15.24,861400,12.58638
2008-04-01,15.14,16.82,15.11,15.94,1129500,13.164495
2008-03-03,14.83,15.07,13.31,14.64,1435100,11.725299
2008-02-01,15.00,15.71,13.08,14.85,1559600,11.89349
2008-01-02,17.66,17.68,13.68,14.87,1818100,11.909508
2007-12-03,17.549999,18.440001,16.620001,17.530001,1074800,14.039925
2007-11-01,20.24,20.309999,16.77,17.77,912700,14.232142
2007-10-01,18.98,20.75,18.879999,20.66,635100,16.546766
2007-09-04,18.07,19.129999,17.889999,19.030001,716600,15.241287
2007-08-01,17.870001,18.98,16.76,18.219999,1269600,14.59255
2007-07-02,19.85,20.07,17.709999,18.08,916500,14.151505
2007-06-01,20.52,20.65,19.40,19.65,557500,15.38037
2007-05-01,20.790001,21.91,19.84,20.450001,517500,16.006544
2007-04-02,20.16,21.43,19.969999,20.68,364700,16.186567
2007-03-01,19.07,20.49,18.59,19.940001,522700,15.307778
2007-02-01,19.91,21.02,19.530001,19.809999,418200,15.207977
2007-01-03,19.16,20.43,18.700001,19.76,528300,15.169594
2006-12-01,18.17,19.120001,17.879999,18.950001,393300,14.547764
2006-11-01,18.50,19.059999,18.030001,18.16,393100,13.941286
2006-10-02,18.67,18.91,18.15,18.370001,266600,14.102502
2006-09-01,18.030001,18.809999,17.23,18.77,295900,14.409578
2006-08-01,16.58,18.02,16.51,17.879999,350800,13.726332
2006-07-03,17.110001,17.23,15.19,16.92,304200,12.761439
2006-06-01,16.43,17.110001,15.19,17.07,511700,12.874572
2006-05-01,17.940001,19.030001,16.139999,16.690001,395800,12.587968
2006-04-03,18.27,18.57,17.17,17.940001,378300,13.530746
2006-03-01,16.549999,18.92,15.84,18.43,491600,13.689239
2006-02-01,16.129999,16.73,15.61,16.50,299700,12.255693
2006-01-03,16.57,16.799999,15.35,16.139999,505400,11.988297
2005-12-01,16.030001,16.92,15.98,16.32,481000,12.121995
2005-11-01,15.22,15.90,15.12,15.78,509000,11.7209
2005-10-03,14.82,15.25,14.46,15.14,541900,11.245527
2005-09-01,14.19,14.97,13.80,14.90,518900,11.067263
2005-08-01,14.35,15.00,13.80,14.13,442900,10.49533
2005-07-01,12.91,14.42,12.74,14.31,362800,10.432647
2005-06-01,12.89,13.26,12.70,12.87,386500,9.38282
2005-05-02,12.47,13.30,12.14,12.85,502000,9.368239
2005-04-01,13.47,13.52,12.36,12.56,434300,9.156816
2005-03-01,14.30,14.64,13.39,13.46,380400,9.603654
2005-02-01,13.60,14.59,13.14,14.38,427000,10.260071
2005-01-03,13.70,14.10,13.13,13.57,411000,9.682138
2004-12-01,12.49,13.93,12.48,13.71,525600,9.782028
2004-11-01,11.10,12.79,11.07,12.39,610800,8.840214
2004-10-01,10.89,11.30,10.46,11.04,457800,7.876994
2004-09-01,10.79,11.47,10.53,10.80,426600,7.705755
2004-08-02,11.16,11.31,10.28,10.74,451000,7.662945
2004-07-01,12.33,12.34,11.04,11.34,369700,7.893022
