Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.379999,26.379999,26.299999,26.360001,90400,23.227535
2013-03-01,26.309999,26.790001,26.299999,26.379999,62800,23.245157
2013-02-01,26.209999,26.90,26.10,26.34,55900,23.209911
2013-01-02,25.559999,26.58,25.290001,26.190001,69300,22.735653
2012-12-03,25.459999,25.459999,25.059999,25.16,67600,21.841505
2012-11-01,25.780001,26.09,24.879999,25.40,59100,22.04985
2012-10-01,25.08,26.15,25.08,25.870001,62100,22.110205
2012-09-04,25.07,25.75,24.76,25.27,80100,21.597404
2012-08-01,25.18,25.65,24.93,24.98,88100,21.34955
2012-07-02,24.41,25.43,24.17,25.049999,154600,21.077047
2012-06-01,22.200001,24.43,21.65,24.43,177700,20.555382
2012-05-01,23.65,24.32,20.83,22.66,209600,19.066105
2012-04-02,24.07,24.620001,22.940001,23.60,156500,19.525793
2012-03-01,22.719999,24.40,22.00,24.10,240000,19.939474
2012-02-01,21.790001,22.75,21.40,22.59,217000,18.690155
2012-01-03,19.58,22.18,19.379999,21.610001,160400,17.563072
2011-12-01,19.67,20.299999,18.52,19.469999,68300,15.823831
2011-11-01,20.51,21.18,18.870001,19.799999,51900,16.092031
2011-10-03,19.35,21.870001,16.379999,21.35,83200,17.012733
2011-09-01,21.709999,21.709999,18.129999,19.41,87500,15.466846
2011-08-01,22.540001,22.85,15.50,21.540001,113800,17.164137
2011-07-01,23.559999,23.950001,22.07,22.389999,59700,17.515429
2011-06-01,23.85,24.049999,22.74,23.610001,83000,18.46982
2011-05-02,23.35,24.59,23.18,23.85,70100,18.65757
2011-04-01,22.77,23.299999,22.450001,23.26,54600,17.900427
2011-03-01,22.379999,22.950001,21.50,22.77,77500,17.523333
2011-02-01,21.50,23.120001,21.48,22.360001,67600,17.207806
2011-01-03,21.77,22.10,21.280001,21.540001,135600,16.288017
2010-12-01,22.059999,22.389999,20.10,21.639999,82300,16.363634
2010-11-01,22.92,23.35,21.50,21.889999,103600,16.552677
2010-10-01,23.370001,23.50,22.219999,22.91,155000,17.017672
2010-09-01,22.190001,24.280001,21.93,23.379999,208400,17.366789
2010-08-02,20.24,22.469999,15.21,22.10,101000,16.415998
2010-07-01,17.639999,20.309999,17.40,20.15,83000,14.702415
2010-06-01,16.66,17.85,16.459999,17.58,88200,12.827219
2010-05-03,19.309999,19.610001,15.16,17.07,156000,12.455098
2010-04-01,20.40,20.40,19.01,19.33,92300,13.771358
2010-03-01,19.51,20.440001,19.299999,20.34,98500,14.490917
2010-02-01,18.559999,19.959999,17.83,19.450001,142500,13.856851
2010-01-04,17.809999,19.940001,17.799999,18.40,98400,12.845427
2009-12-01,16.83,18.16,16.280001,17.91,85900,12.503347
2009-11-02,16.57,17.799999,15.50,16.83,99200,11.749376
2009-10-01,16.50,17.50,15.32,16.60,105200,11.329688
2009-09-01,12.77,16.75,12.39,16.68,125400,11.384289
2009-08-03,16.280001,18.299999,11.88,12.88,219000,8.790746
2009-07-01,14.67,16.00,13.80,15.95,182800,10.56911
2009-06-01,14.68,14.99,12.79,14.50,83000,9.608282
2009-05-01,9.60,14.89,9.60,14.57,108300,9.654667
2009-04-01,6.40,10.35,6.20,9.55,133600,6.157459
2009-03-02,5.47,7.68,2.96,6.40,242300,4.126464
2009-02-02,11.82,11.82,5.34,5.60,158100,3.610656
2009-01-02,9.85,14.15,9.50,12.00,114200,6.879474
2008-12-01,8.22,10.23,7.49,9.83,98200,5.635435
2008-11-03,10.00,10.50,5.57,8.59,98400,4.924557
2008-10-01,8.25,11.00,4.09,10.08,247900,5.474532
2008-09-02,18.190001,18.219999,6.47,8.53,142900,4.632714
2008-08-01,17.299999,18.530001,17.120001,17.93,46700,9.737933
2008-07-01,17.200001,18.82,9.92,17.030001,96100,9.045419
2008-06-02,20.709999,20.74,16.969999,17.10,72500,9.082599
2008-05-01,21.290001,21.440001,20.67,20.75,57500,11.021282
2008-04-01,20.280001,21.799999,20.25,21.15,49200,11.022345
2008-03-03,22.58,22.68,19.50,20.299999,66700,10.579367
2008-02-01,24.99,24.99,21.91,22.620001,56800,11.788438
2008-01-02,19.85,24.75,19.83,23.83,77300,12.199642
2007-12-03,19.370001,21.77,18.190001,19.75,148200,10.110909
2007-11-01,23.00,23.00,19.00,20.299999,123700,10.392477
2007-10-01,22.23,23.26,22.18,22.98,52400,11.534403
2007-09-04,23.870001,23.98,20.93,22.25,63600,11.167993
2007-08-01,23.75,24.200001,21.200001,24.110001,47600,12.101587
2007-07-02,24.280001,24.57,23.389999,23.74,33300,11.716354
2007-06-01,24.860001,25.01,23.799999,24.360001,51000,12.022343
2007-05-01,25.98,25.98,25.00,25.01,39600,12.343136
2007-04-02,25.82,26.049999,25.780001,25.969999,33200,12.616878
2007-03-01,25.549999,25.90,25.309999,25.82,62400,12.544003
2007-02-01,25.889999,26.02,25.35,25.540001,92900,12.407973
2007-01-03,25.969999,26.049999,25.68,25.83,57400,12.355129
2006-12-01,25.84,26.040001,25.530001,25.969999,57900,12.422094
2006-11-01,25.299999,26.200001,25.25,25.76,52300,12.321646
2006-10-02,25.299999,25.700001,25.10,25.379999,77500,11.954192
2006-09-01,25.059999,25.35,24.58,25.290001,81300,11.911802
2006-08-01,24.469999,25.93,24.299999,24.98,81400,11.765789
2006-07-03,23.32,24.75,23.219999,24.41,88800,11.314642
2006-06-01,23.530001,24.120001,22.889999,23.440001,75500,10.865024
2006-05-01,24.049999,24.18,23.50,23.65,37700,10.962363
2006-04-03,24.940001,24.940001,22.82,23.98,52100,10.931762
2006-03-01,25.450001,25.450001,24.83,24.90,73100,11.351162
2006-02-01,25.299999,25.690001,25.09,25.35,73600,11.556304
2006-01-03,25.299999,25.299999,24.940001,25.25,49300,11.332388
2005-12-01,24.57,25.41,24.450001,25.26,97400,11.336876
2005-11-01,25.10,25.25,24.35,24.51,76700,11.000271
