Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.65,18.77,18.34,18.459999,4276400,17.192019
2013-03-01,20.629999,22.629999,18.02,18.700001,5265700,17.415535
2013-02-01,20.379999,21.190001,19.73,20.68,3001000,19.259531
2013-01-02,20.52,21.27,19.07,20.209999,4113200,18.821814
2012-12-03,21.370001,21.629999,19.290001,20.51,3717100,19.101208
2012-11-01,20.93,21.549999,18.309999,21.200001,4848700,19.532652
2012-10-01,21.16,22.969999,20.27,20.870001,3807800,19.228605
2012-09-04,22.24,23.940001,20.73,21.08,4466100,19.422089
2012-08-01,20.91,22.50,19.610001,22.24,4452200,19.067633
2012-07-02,19.879999,21.459999,19.440001,20.82,3213500,17.850185
2012-06-01,18.969999,19.74,18.309999,19.73,4157200,16.915665
2012-05-01,18.50,21.129999,17.879999,19.309999,6633100,16.46209
2012-04-02,17.08,18.610001,16.200001,18.01,5392700,15.353819
2012-03-01,14.58,17.92,14.44,17.190001,5820200,14.654756
2012-02-01,14.18,14.84,13.43,14.54,4038900,12.314569
2012-01-03,15.85,15.87,12.50,14.09,6052000,11.933445
2011-12-01,13.97,15.42,13.79,15.29,3944300,12.949778
2011-11-01,12.75,14.97,12.74,13.91,4317400,11.692173
2011-10-03,11.64,13.73,11.19,13.13,3721600,11.036537
2011-09-01,11.08,12.60,10.00,11.72,4992100,9.85135
2011-08-01,13.28,13.29,10.01,11.07,6261600,9.212857
2011-07-01,12.79,14.32,12.70,13.14,3802600,10.935588
2011-06-01,13.18,13.23,12.37,12.75,4390600,10.520603
2011-05-02,15.60,15.83,12.84,13.26,6275200,10.941428
2011-04-01,15.92,16.360001,15.51,15.56,3046100,12.839262
2011-03-01,15.37,16.370001,14.69,15.89,5209000,13.11156
2011-02-01,14.50,16.34,14.34,15.35,5455300,12.575803
2011-01-03,14.68,15.69,13.72,14.46,6817100,11.846652
2010-12-01,16.74,16.90,14.23,14.63,6100500,11.985929
2010-11-01,16.049999,17.370001,15.19,16.50,6096300,13.00227
2010-10-01,15.16,17.459999,14.77,16.02,5068700,12.624022
