Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.190001,25.35,25.190001,25.190001,12600,22.677132
2013-03-01,25.280001,25.540001,25.09,25.209999,15400,22.695135
2013-02-01,25.18,25.309999,25.00,25.25,15700,22.347385
2013-01-02,24.92,25.23,24.879999,25.190001,13300,22.294283
2012-12-03,24.98,25.290001,24.75,24.879999,16500,22.019917
2012-11-01,25.02,25.09,24.440001,24.98,14200,21.732517
2012-10-01,24.93,25.190001,24.860001,25.030001,12000,21.776018
2012-09-04,25.02,25.34,24.889999,25.00,17200,21.749918
2012-08-01,24.99,25.33,24.860001,25.10,12800,21.466215
2012-07-02,24.58,25.219999,24.58,25.07,19600,21.440557
2012-06-01,24.34,25.15,24.01,24.75,20300,21.166885
2012-05-01,24.67,24.84,23.07,24.639999,15100,20.706253
2012-04-02,24.33,24.879999,23.85,24.639999,14800,20.706253
2012-03-01,24.530001,25.10,23.879999,24.35,27900,20.462551
2012-02-01,23.82,24.59,23.77,24.559999,21400,20.284033
2012-01-03,23.450001,24.209999,23.110001,23.82,18400,19.672871
2011-12-01,23.10,23.76,22.809999,23.43,12600,19.350771
2011-11-01,22.58,23.709999,22.129999,23.26,12100,18.859903
2011-10-03,22.01,23.15,21.25,22.799999,11200,18.486921
2011-09-01,23.24,23.51,21.00,22.280001,10700,18.06529
2011-08-01,23.25,23.75,18.26,23.24,32000,18.486734
2011-07-01,23.82,24.459999,22.08,23.16,24100,18.423098
2011-06-01,24.42,24.48,23.41,23.90,15700,19.011745
2011-05-02,23.43,24.620001,23.299999,24.41,29400,19.070118
2011-04-01,23.190001,23.700001,22.59,23.49,18000,18.351376
2011-03-01,23.700001,24.049999,23.030001,23.17,23100,18.101379
2011-02-01,21.84,23.74,21.790001,23.74,31100,18.21174
2011-01-03,22.00,22.540001,21.58,21.709999,20900,16.654459
2010-12-01,22.83,22.969999,21.43,21.809999,16300,16.731173
2010-11-01,22.879999,24.23,21.65,22.60,21300,17.006464
2010-10-01,22.65,23.60,21.93,22.719999,35200,17.096764
2010-09-01,21.32,23.940001,21.219999,22.73,69800,17.104288
2010-08-02,19.549999,21.309999,19.549999,21.309999,35200,15.741819
2010-07-01,19.379999,19.889999,18.719999,19.57,22800,14.456471
2010-06-01,19.24,20.01,18.549999,19.40,16800,14.330892
2010-05-03,21.18,21.280001,17.10,19.42,36300,14.033804
2010-04-01,19.90,21.75,18.040001,21.35,31900,15.428513
2010-03-01,19.25,20.389999,18.66,20.00,44300,14.452939
2010-02-01,18.68,19.48,18.200001,19.24,27300,13.607611
2010-01-04,16.82,19.309999,16.60,18.49,53700,13.077168
2009-12-01,17.15,17.370001,16.459999,16.99,26500,12.016284
2009-11-02,15.70,17.50,15.02,17.030001,27400,11.739918
2009-10-01,13.08,16.60,12.81,15.59,49100,10.747229
2009-09-01,13.60,13.89,13.03,13.20,46300,9.099642
2009-08-03,11.68,14.34,11.30,13.63,45800,9.097009
2009-07-01,9.82,11.96,9.25,11.60,37200,7.742136
2009-06-01,9.21,10.66,9.21,9.80,35200,6.54077
2009-05-01,7.94,9.55,7.63,9.14,32000,5.841834
2009-04-01,5.73,7.95,5.71,7.94,18200,5.074853
2009-03-02,5.45,6.65,3.64,5.65,42700,3.611199
2009-02-02,7.50,7.50,3.96,5.74,71600,3.422998
2009-01-02,8.85,10.99,6.25,7.20,39600,4.293656
2008-12-01,8.90,9.60,7.65,8.60,25300,5.128534
2008-11-03,10.75,11.95,6.61,8.90,27900,5.066952
2008-10-01,8.50,11.85,6.56,10.53,33200,5.994944
2008-09-02,14.70,15.67,7.57,8.92,49300,5.078338
2008-08-01,13.85,14.93,13.15,14.56,20600,7.964087
2008-07-01,14.79,14.90,10.05,14.02,23400,7.668715
2008-06-02,17.58,17.58,14.70,15.08,18600,8.248518
2008-05-01,17.549999,17.959999,17.07,17.450001,16000,9.281268
2008-04-01,17.90,18.40,17.40,17.65,13100,9.387643
2008-03-03,19.549999,19.549999,16.92,17.90,19400,9.520613
2008-02-01,20.98,22.049999,18.99,19.59,16400,10.173582
2008-01-02,17.25,20.99,16.950001,20.799999,25200,10.801965
2007-12-03,18.92,19.450001,16.49,17.00,44400,8.828529
2007-11-01,22.450001,22.75,18.40,18.969999,26400,9.617297
2007-10-01,22.450001,23.35,21.950001,22.549999,18100,11.432264
2007-09-04,21.809999,23.459999,21.60,22.629999,16200,11.472822
2007-08-01,22.35,22.549999,15.00,21.73,31300,10.812007
2007-07-02,23.950001,24.540001,22.200001,22.40,14200,11.145373
2007-06-01,24.799999,24.950001,23.700001,23.83,18700,11.856886
2007-05-01,24.98,25.00,24.709999,24.870001,20000,12.113057
2007-04-17,25.10,25.15,24.809999,24.98,32300,12.166633
