Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,47.48,47.73,47.169998,47.290001,713000,44.07235
2013-03-01,43.73,47.50,43.200001,47.380001,412700,44.156227
2013-02-01,42.880001,44.709999,42.48,43.959999,433500,40.968922
2013-01-02,39.939999,43.16,39.759998,42.560001,408100,39.664185
2012-12-03,39.759998,40.400002,38.93,39.52,501000,36.657589
2012-11-01,38.880001,39.709999,36.919998,39.650002,597000,36.548367
2012-10-01,38.040001,39.48,37.490002,38.799999,599100,35.764858
2012-09-04,37.50,39.110001,36.830002,37.900002,548600,34.755703
2012-08-01,37.889999,38.139999,36.43,37.560001,461300,34.443913
2012-07-02,39.450001,39.639999,36.279999,37.709999,568900,34.581467
2012-06-01,38.34,39.830002,37.630001,39.23,480400,35.809685
2012-05-01,39.849998,40.540001,37.580002,38.889999,434900,35.499329
2012-04-02,38.50,39.509998,37.369999,38.919998,364200,35.526714
2012-03-01,37.400002,38.970001,36.970001,38.580002,386400,35.051884
2012-02-01,36.759998,38.50,36.459999,37.450001,403800,34.025223
2012-01-03,37.27,37.91,36.240002,36.669998,304800,33.316551
2011-12-01,35.799999,37.50,35.360001,36.889999,459100,33.360313
2011-11-01,34.41,36.990002,33.779999,36.00,509400,32.55547
2011-10-03,30.92,37.009998,29.66,35.830002,660600,32.401737
2011-09-01,33.32,33.470001,29.84,31.07,458000,27.947134
2011-08-01,34.459999,35.900002,29.450001,33.279999,640100,29.935005
2011-07-01,35.630001,36.049999,33.360001,33.98,333700,30.564648
2011-06-01,35.50,36.00,33.939999,35.689999,493800,31.95348
2011-05-02,35.84,35.869999,34.330002,35.560001,356000,31.837093
2011-04-01,35.110001,36.189999,34.029999,35.77,303500,32.025105
2011-03-01,34.75,35.209999,32.66,35.02,469200,31.208107
2011-02-01,32.759998,34.98,32.759998,34.630001,400300,30.860558
2011-01-03,32.599998,33.50,32.189999,32.529999,399700,28.98914
2010-12-01,31.15,32.75,30.950001,32.290001,309800,28.632959
2010-11-01,30.809999,31.879999,30.18,30.77,463100,27.285109
2010-10-01,30.75,31.48,30.040001,30.58,350100,27.116627
2010-09-01,29.08,30.879999,28.91,30.58,535900,26.973677
2010-08-02,29.84,29.98,28.00,28.77,420400,25.377132
2010-07-01,27.25,30.040001,26.690001,29.469999,416900,25.994579
2010-06-01,27.60,29.139999,26.18,27.32,459700,23.981691
2010-05-03,29.639999,29.76,25.40,27.90,642400,24.490818
2010-04-01,28.52,30.25,28.32,29.43,389000,25.833864
2010-03-01,25.99,28.639999,25.92,28.450001,401400,24.854362
2010-02-01,25.00,25.99,23.90,25.870001,457400,22.600433
2010-01-04,25.26,25.700001,24.57,24.809999,458500,21.6744
2009-12-01,24.530001,25.35,23.26,24.950001,484000,21.676775
2009-11-02,24.709999,25.43,24.00,24.26,550200,21.077295
2009-10-01,25.41,26.52,24.450001,24.60,572600,21.37269
2009-09-01,25.530001,26.629999,24.309999,25.50,663500,22.044184
2009-08-03,24.66,25.92,23.85,25.65,515300,22.173855
2009-07-01,21.66,25.32,20.40,24.389999,768600,21.084614
2009-06-01,21.559999,23.540001,20.98,21.58,857800,18.542683
2009-05-01,17.700001,21.969999,17.27,21.42,1265300,18.405203
2009-04-01,15.60,19.09,15.51,17.58,1173400,15.105671
2009-03-02,15.07,17.59,12.77,16.049999,1417400,13.692937
2009-02-02,16.77,21.219999,15.10,15.56,1303700,13.274898
2009-01-02,22.889999,24.200001,16.870001,16.98,880900,14.48636
2008-12-01,19.530001,23.10,17.75,22.879999,714600,19.397842
2008-11-03,22.690001,23.98,14.83,20.49,759100,17.371582
2008-10-01,29.50,29.75,13.65,22.73,922800,19.270672
2008-09-02,28.73,32.00,24.58,29.50,815500,24.827826
2008-08-01,29.139999,29.98,27.219999,28.530001,638300,24.011454
2008-07-01,26.66,29.66,25.32,28.969999,842100,24.381765
2008-06-02,29.889999,30.450001,26.75,26.75,789200,22.412683
2008-05-01,27.549999,29.870001,27.02,29.82,962700,24.984905
2008-04-01,25.90,27.799999,25.23,27.42,792200,22.974047
2008-03-03,25.969999,28.469999,24.190001,25.559999,774300,21.31287
2008-02-01,27.83,28.540001,25.82,25.870001,706200,21.57136
2008-01-02,28.879999,29.299999,25.440001,27.66,746200,23.063927
2007-12-03,29.209999,30.41,28.200001,28.879999,718500,23.97473
2007-11-01,29.76,30.24,27.74,29.219999,1060100,24.256981
2007-10-01,28.52,30.82,26.50,29.90,905100,24.821484
2007-09-04,29.200001,29.52,27.42,28.52,823400,23.596745
2007-08-01,28.969999,31.799999,23.940001,28.200001,1333700,23.331985
2007-07-02,34.310001,34.919998,27.74,28.09,624200,23.240974
2007-06-01,35.84,36.299999,33.330002,34.150002,418900,28.170275
2007-05-01,35.27,36.240002,35.080002,35.650002,426600,29.407621
2007-04-02,34.150002,35.540001,33.91,35.27,306800,29.09416
2007-03-01,34.709999,36.16,32.869999,34.040001,432000,27.999125
2007-02-01,35.349998,36.84,34.32,34.970001,444700,28.764082
2007-01-03,36.169998,36.75,34.509998,35.32,416100,29.05197
2006-12-01,52.420006,54.649994,35.799999,35.91,406100,29.452681
2006-11-01,47.980003,52.600006,46.699993,52.210007,393700,28.547752
2006-10-02,46.999996,48.859993,46.900005,47.860004,313400,26.169228
2006-09-01,46.969994,48.190006,46.330002,46.930008,411000,25.587431
2006-08-01,42.360001,46.789997,41.880001,46.720005,676600,25.472933
2006-07-03,43.219994,43.450005,40.720005,42.109993,389100,22.959438
2006-06-01,42.409996,43.660004,40.619999,42.900002,503800,23.314112
2006-05-01,44.380005,44.550003,41.699997,42.160004,471900,22.911961
2006-04-03,41.610001,44.279999,40.900005,44.279999,438600,24.064077
2006-03-01,41.489998,42.449997,40.450005,41.610001,428000,22.538115
2006-02-01,37.650002,41.579998,37.050003,41.400002,636100,22.424368
2006-01-03,38.220001,39.599998,37.50,37.619999,424800,20.376926
2005-12-01,37.380001,39.490005,36.859993,38.310001,545900,20.677895
2005-11-01,34.180008,37.669998,33.900002,37.150005,678400,20.051785
2005-10-03,33.93,34.960003,32.07,34.180008,370100,18.448721
2005-09-01,33.520004,34.489994,32.779995,33.93,413800,18.244665
2005-08-01,34.090004,35.130001,33.019997,33.529995,364500,18.029577
2005-07-01,33.550007,34.549995,32.25,33.84,332700,18.19627
2005-06-01,32.389996,33.959999,32.220001,33.520004,362200,17.957312
2005-05-02,31.090004,32.639999,31.090004,32.419998,344200,17.368015
2005-04-01,30.810001,31.090004,27.959999,31.090004,470200,16.655514
2005-03-01,30.550007,31.23,30.100004,30.799995,450100,16.431631
2005-02-01,30.820007,31.879995,30.190006,30.490005,371900,16.266253
2005-01-03,31.360004,31.459995,29.899996,30.790005,365600,16.426302
2004-12-01,31.729996,32.299995,30.799995,31.309994,516400,16.634508
2004-11-01,29.749996,32.579998,29.479996,31.480003,383700,16.724833
2004-10-01,29.929993,30.889996,27.599998,29.599995,423700,15.726012
2004-09-01,29.479996,30.760006,29.280001,29.890005,272500,15.812598
2004-08-02,29.620005,30.700005,28.750004,29.449993,259400,15.579821
2004-07-01,30.610004,30.949993,28.909996,29.689995,257000,15.706787
2004-06-01,29.950005,30.780001,29.130001,30.57,279000,16.106508
2004-05-03,30.700005,30.829994,28.939995,30.209999,411700,15.916835
2004-04-01,29.699999,31.000004,29.400002,30.700005,311300,16.175005
2004-03-01,29.920006,30.93,28.26,29.830004,324000,15.651855
2004-02-02,29.099998,30.259995,28.330004,30.079994,440300,15.783025
2004-01-02,26.470005,28.660006,26.280001,28.619999,434000,15.016963
2003-12-01,24.619995,26.699999,24.540001,26.459999,336100,13.819263
2003-11-03,22.300005,24.640005,22.300005,24.520004,458200,12.806063
2003-10-01,21.719999,22.83,21.679995,22.270004,359300,11.630955
2003-09-02,21.820005,22.699995,21.550005,21.75,309900,11.295587
2003-08-01,22.849995,22.849995,21.27,21.880005,295100,11.363103
2003-07-01,22.699995,23.770004,22.090006,22.900005,363300,11.892827
2003-06-02,22.120005,22.990005,21.84,22.799999,412400,11.776231
2003-05-01,22.180004,23.899994,21.550005,22.110001,533800,11.419845
2003-04-01,19.860001,22.600006,19.270004,22.180004,223100,11.456002
2003-03-03,19.83,20.329996,18.160006,19.849995,313400,10.190848
2003-02-03,21.439995,21.700005,18.00,19.83,396100,10.180584
2003-01-02,22.950001,24.209999,20.590006,21.430004,226900,11.002014
2002-12-02,23.849998,24.09,22.399994,23.07,168900,11.78098
2002-11-01,22.780006,24.070007,22.26,23.749996,154800,12.128227
2002-10-01,23.110004,24.799995,20.82,23.179995,164000,11.83715
2002-09-03,24.850004,25.159996,22.380001,23.020004,168900,11.685211
2002-08-01,22.300005,26.299995,21.780001,25.02,222600,12.700431
2002-07-01,23.899994,24.619995,17.899994,22.150005,168600,11.243589
2002-06-03,26.749996,26.749996,22.510006,23.899994,185900,12.064085
2002-05-01,29.670002,30.300001,25.800001,26.740005,152600,13.497646
2002-04-01,28.50,30.00,27.619995,29.689995,149600,14.986723
2002-03-01,26.200005,28.810005,26.140005,28.720005,216700,14.435569
2002-02-01,23.590006,26.849998,22.849995,26.320007,262600,13.229255
2002-01-02,24.449999,24.850004,23.230003,23.590006,138800,11.857072
2001-12-03,24.550007,24.84,22.789995,24.550007,173300,12.275384
2001-11-01,22.099995,25.330004,21.900002,24.580004,124300,12.290383
2001-10-01,22.23,22.999996,20.200005,22.129995,163600,11.065342
2001-09-04,23.43,23.76,18.349995,22.200001,268300,10.970363
2001-08-01,29.579998,29.650005,20.899994,23.419994,452000,11.573236
2001-07-02,30.300001,30.75,28.330004,29.479996,208400,14.567847
2001-06-01,28.090004,30.300001,27.199993,30.00,131200,14.700441
2001-05-01,26.500004,28.789997,25.960003,28.090004,131500,13.764515
2001-04-02,24.300001,26.849998,23.299995,26.590004,163800,13.029493
2001-03-01,24.00,24.689999,21.799995,24.100004,229100,11.686442
2001-02-01,26.599995,28.999996,23.140005,24.00,341400,11.637949
2001-01-02,26.562496,27.499996,22.437496,26.800007,292700,12.995712
2000-12-01,18.9375,27.1875,18.687496,26.562496,571600,12.74809
2000-11-01,21.312496,21.9375,18.874996,19.062496,99700,9.148628
