Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,27.59,27.59,26.65,26.790001,53200,23.810322
2013-03-01,26.799999,27.40,26.50,26.790001,15900,23.810322
2013-02-01,26.50,27.00,26.290001,26.940001,20600,23.553192
2013-01-02,26.870001,27.030001,26.139999,26.549999,43700,23.212221
2012-12-03,27.379999,27.67,26.549999,26.83,6100,23.457022
2012-11-01,27.16,28.17,27.07,27.50,5400,23.657755
2012-10-01,27.67,27.67,26.91,27.18,5800,23.382465
2012-09-04,28.10,28.23,26.790001,27.469999,8800,23.631947
2012-08-01,26.959999,28.360001,26.809999,28.299999,9300,23.961847
2012-07-02,27.00,27.860001,26.00,26.959999,17900,22.827259
2012-06-01,26.280001,27.00,25.48,27.00,13100,22.861128
2012-05-01,26.110001,26.870001,25.68,26.24,13200,21.844494
2012-04-02,26.18,27.219999,25.90,26.00,22000,21.644697
2012-03-01,27.00,27.24,25.84,26.18,13200,21.794546
2012-02-01,25.90,27.790001,25.75,27.16,11400,22.243458
2012-01-03,26.379999,26.700001,25.33,25.85,12500,21.170595
2011-12-01,25.379999,26.49,25.200001,26.209999,11900,21.465427
2011-11-01,26.34,26.59,24.73,25.530001,9900,20.552044
2011-10-03,25.950001,26.709999,24.24,26.200001,8000,21.091406
2011-09-01,26.58,27.23,25.459999,25.68,9600,20.672796
2011-08-01,25.530001,27.18,21.809999,26.42,21500,20.917372
2011-07-01,25.469999,26.16,25.35,25.35,8900,20.070227
2011-06-01,25.65,26.10,25.110001,25.370001,16300,20.086061
2011-05-02,25.58,25.99,25.10,25.530001,18500,19.86281
2011-04-01,25.059999,25.60,24.82,25.50,14200,19.83947
2011-03-01,25.18,25.549999,24.60,25.10,22200,19.528263
2011-02-01,24.74,25.610001,24.66,25.139999,26700,19.217522
2011-01-03,24.83,25.190001,24.51,24.799999,17100,18.957619
2010-12-01,25.10,25.10,23.50,24.75,22700,18.919399
2010-11-01,24.98,25.200001,24.16,24.950001,24900,18.725235
2010-10-01,24.90,25.299999,24.60,25.00,37200,18.76276
2010-09-30,25.25,25.25,24.75,24.92,104000,18.702719
