Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.18,7.21,7.16,7.20,309400,6.008375
2013-03-01,6.91,7.21,6.86,7.20,173100,6.008375
2013-02-01,6.99,7.09,6.81,6.92,176100,5.736381
2013-01-02,6.54,7.04,6.54,7.00,163600,5.763736
2012-12-03,6.46,6.55,6.10,6.48,144000,5.298857
2012-11-01,6.62,6.68,6.06,6.44,130300,5.227595
2012-10-01,6.74,6.83,6.51,6.66,112600,5.367266
2012-09-04,6.62,6.88,6.52,6.73,123700,5.385746
2012-08-01,6.64,6.71,6.45,6.62,97100,5.260443
2012-07-02,6.45,6.62,6.30,6.56,96200,5.175978
2012-06-01,6.34,6.45,6.15,6.41,92600,5.021334
2012-05-01,6.70,6.73,6.19,6.42,120600,4.991707
2012-04-02,6.87,6.94,6.49,6.72,108200,5.187473
2012-03-01,6.94,6.97,6.65,6.88,127600,5.273164
2012-02-01,6.99,7.06,6.63,6.95,168800,5.290478
2012-01-03,6.35,6.91,6.31,6.91,135500,5.223991
2011-12-01,6.23,6.37,6.03,6.30,142300,4.714837
2011-11-01,6.67,6.79,5.97,6.27,140000,4.643459
2011-10-03,6.23,6.94,5.76,6.87,125800,5.035829
2011-09-01,7.45,7.46,6.30,6.30,106900,4.569935
2011-08-01,8.27,8.34,6.68,7.43,161000,5.339238
2011-07-01,9.07,9.39,7.91,8.08,168300,5.751429
2011-06-01,9.43,9.48,8.78,9.05,106100,6.393789
2011-05-02,9.59,9.78,9.35,9.47,71100,6.641563
2011-04-01,9.84,9.99,9.47,9.55,65600,6.65167
2011-03-01,9.82,10.41,9.53,9.82,104800,6.793094
2011-02-01,9.62,9.88,9.33,9.88,85600,6.790201
2011-01-03,9.16,9.68,9.16,9.62,72800,6.566573
2010-12-01,9.50,9.74,8.95,9.17,98700,6.216146
2010-11-01,9.42,9.83,9.00,9.44,91900,6.355542
2010-10-01,9.35,9.49,9.25,9.36,97600,6.258936
2010-09-01,8.98,9.44,8.94,9.33,93700,6.194552
2010-08-02,8.93,9.23,8.62,8.93,81500,5.886535
2010-07-01,8.38,8.98,8.10,8.87,90100,5.804669
2010-06-01,8.24,8.72,8.20,8.38,97700,5.441821
2010-05-03,9.37,9.53,6.75,8.34,189400,5.373293
2010-04-01,8.74,9.70,8.73,9.33,160200,5.966753
2010-03-01,8.28,8.83,8.24,8.72,110100,5.537405
2010-02-01,8.02,8.63,7.74,8.19,112000,5.16116
2010-01-04,8.22,8.96,7.93,7.99,110900,4.993688
2009-12-01,7.72,8.35,7.72,8.17,130400,5.06789
2009-11-02,7.41,8.05,7.37,7.71,120500,4.743192
2009-10-01,7.69,8.31,7.30,7.33,128900,4.472445
2009-09-01,7.12,8.08,7.12,7.77,137800,4.701653
2009-08-03,7.14,7.70,6.89,7.20,114800,4.319546
2009-07-01,6.60,7.25,6.31,7.07,102500,4.204377
2009-06-01,6.57,6.84,6.11,6.55,116300,3.855775
2009-05-01,5.72,6.56,5.68,6.43,122500,3.747904
2009-04-01,4.94,5.93,4.81,5.75,119600,3.31587
2009-03-02,5.17,5.27,4.14,4.93,122300,2.808314
2009-02-02,5.94,6.25,4.50,5.25,131300,2.947502
2009-01-02,5.85,6.46,5.32,6.00,123100,3.331271
2008-12-01,4.60,5.95,4.21,5.84,139900,3.206288
2008-11-03,6.12,6.53,3.83,4.92,165800,2.662849
2008-10-01,8.20,8.32,3.28,5.99,208000,3.189939
2008-09-02,11.94,11.97,7.13,8.24,197800,4.295525
2008-08-01,12.38,12.40,11.22,11.74,91600,6.042314
2008-07-01,13.82,13.89,11.60,12.29,107400,6.249253
2008-06-02,15.46,15.70,13.66,13.85,77800,6.963997
2008-05-01,14.47,15.44,14.43,15.41,84900,7.673768
2008-04-01,13.55,14.51,13.19,14.40,81500,7.100597
2008-03-03,14.29,14.39,12.17,13.48,95400,6.575904
2008-02-01,13.91,15.32,13.12,14.23,115700,6.869639
2008-01-02,15.45,15.97,13.24,13.24,113800,6.328097
2007-12-03,15.57,16.00,14.38,15.30,268300,7.244242
2007-11-01,16.610001,16.870001,14.25,15.45,178400,7.247019
2007-10-01,16.459999,18.01,16.280001,16.75,118000,7.783737
2007-09-04,16.83,18.50,16.209999,16.43,97100,7.572161
2007-08-01,17.84,18.90,12.90,16.879999,85100,7.714983
2007-07-02,20.00,20.01,17.16,18.10,45900,8.203169
2007-06-01,20.17,20.200001,20.00,20.01,42900,9.068808
2007-05-25,20.02,20.190001,20.00,20.139999,49600,9.127725
