Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,52.209999,52.290001,51.380001,51.830002,3559400,50.860123
2013-03-01,51.110001,55.150002,49.810001,52.119999,1228200,51.144691
2013-02-01,53.439999,55.040001,49.060001,51.48,1317100,50.51667
2013-01-02,50.439999,54.419998,49.610001,53.00,884200,51.912991
2012-12-03,46.560001,49.849998,45.290001,49.119999,994900,48.112568
2012-11-01,45.740002,47.25,42.48,46.150002,1265600,45.203484
2012-10-01,47.48,49.900002,44.200001,45.509998,1178300,44.576607
2012-09-04,42.130001,48.00,41.169998,47.48,1200700,46.506203
2012-08-01,44.099998,46.330002,41.279999,42.09,1098000,41.226749
2012-07-02,45.889999,46.32,40.290001,43.84,1466400,42.940861
2012-06-01,39.18,45.93,38.09,45.73,1545600,44.792095
2012-05-01,51.220001,51.25,38.43,40.209999,2082200,39.385307
2012-04-02,47.25,48.220001,43.32,46.57,1293100,45.614868
2012-03-01,51.540001,52.369999,46.099998,47.209999,1209300,46.241741
2012-02-01,51.650002,54.00,50.57,51.630001,1508400,50.571091
2012-01-03,44.139999,53.689999,43.990002,50.93,1871300,49.885445
2011-12-01,45.48,46.549999,39.950001,42.970001,1535200,42.088703
2011-11-01,41.810001,47.57,40.740002,45.75,1802200,44.811687
2011-10-03,34.119999,46.349998,30.110001,43.830002,2083900,42.931065
2011-09-01,42.759998,45.34,33.299999,34.57,2232400,33.860981
2011-08-01,48.48,48.830002,35.09,42.84,2167300,41.961369
2011-07-01,49.529999,52.98,45.439999,47.419998,2031800,46.447433
2011-06-01,51.419998,51.599998,44.560001,49.360001,1448500,48.347645
2011-05-02,57.93,59.220001,47.50,51.669998,1500500,50.610268
2011-04-01,55.869999,59.810001,49.450001,57.580002,1533200,56.399059
2011-03-01,55.049999,56.369999,48.52,54.970001,1311400,53.84259
2011-02-01,51.23,57.200001,50.419998,54.779999,1865000,53.656483
2011-01-03,51.209999,56.18,49.82,50.700001,1732700,49.660164
2010-12-01,47.290001,51.509998,44.18,50.66,1301300,49.620983
2010-11-01,42.580002,47.25,41.75,45.139999,1486900,44.214195
2010-10-01,39.32,46.060001,36.52,42.470001,2189100,41.598957
2010-09-01,33.73,40.73,32.91,39.009998,1558100,38.209919
