Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.95,13.95,13.68,13.84,31200,13.283051
2013-03-01,13.85,15.12,13.12,13.71,24000,13.158283
2013-02-01,15.45,15.56,13.09,13.95,14700,13.388624
2013-01-02,18.040001,18.07,14.56,15.28,10400,14.665103
2012-12-03,18.58,18.82,17.110001,17.59,4300,16.882145
2012-11-01,19.790001,19.84,18.24,18.799999,3500,18.043451
2012-10-01,19.889999,20.26,18.139999,19.700001,7300,18.907234
2012-09-04,18.860001,20.280001,18.18,19.370001,9500,18.495762
2012-08-01,15.52,19.23,15.52,18.860001,3900,18.00878
2012-07-02,15.74,16.809999,13.81,15.77,3400,15.058243
2012-06-01,18.219999,19.200001,13.73,15.41,54200,14.71449
2012-05-01,18.700001,19.530001,15.52,17.99,6600,17.178045
2012-04-02,18.83,18.83,16.940001,18.190001,6000,17.369019
2012-03-01,18.790001,18.790001,15.95,18.26,3500,17.338125
2012-02-01,20.57,20.57,18.35,18.52,7300,17.584999
2012-01-03,17.530001,21.00,16.59,20.530001,4200,19.493523
2011-12-01,16.91,17.459999,15.00,17.02,9600,16.160728
2011-11-01,17.40,18.68,14.50,16.799999,10300,15.951834
2011-10-03,15.22,19.07,13.50,18.379999,7000,17.452066
2011-09-01,19.450001,20.059999,13.98,15.08,25200,14.256532
2011-08-01,17.440001,19.620001,16.67,19.200001,8700,18.151552
2011-07-01,16.43,19.620001,16.190001,17.75,9600,16.780731
2011-06-01,15.08,16.889999,14.83,16.610001,7400,15.702984
2011-05-02,16.42,16.68,13.63,15.08,16100,14.256532
2011-04-01,15.78,17.040001,14.16,16.799999,22300,15.882607
2011-03-01,17.09,18.67,15.57,15.88,16200,14.960572
2011-02-01,15.34,17.75,14.91,17.25,17700,16.251251
2011-01-03,19.09,19.559999,14.89,15.16,19000,14.282259
2010-12-01,19.610001,21.49,17.91,19.09,15100,17.984718
2010-11-01,15.82,20.280001,15.67,19.25,13100,18.135454
2010-10-01,16.950001,17.299999,14.69,15.51,12500,14.611995
2010-09-01,16.209999,17.709999,15.74,17.08,11300,16.058043
2010-08-02,15.08,17.030001,14.60,15.97,19000,15.014459
2010-07-01,15.37,15.37,13.61,15.00,8400,14.102497
2010-06-01,14.54,17.040001,14.09,15.35,10100,14.431556
2010-05-03,15.29,15.80,13.50,14.42,16700,13.5572
2010-04-01,13.63,15.07,13.52,14.86,9600,13.970874
2010-03-01,12.42,14.37,12.24,13.41,17600,12.58077
2010-02-01,11.05,12.58,10.60,12.18,17100,11.426829
2010-01-04,12.47,13.65,10.67,10.74,18300,10.075873
2009-12-01,11.58,12.90,11.16,11.97,12100,11.229815
2009-11-02,8.17,11.88,8.07,11.32,14800,10.620008
2009-10-01,8.58,9.83,7.97,8.06,9000,7.561596
2009-09-01,8.90,10.30,8.38,8.76,10500,8.21831
2009-08-03,8.95,9.45,8.73,8.83,4600,8.283981
2009-07-01,8.83,9.54,7.45,8.95,12100,8.396562
2009-06-01,9.17,9.21,7.93,8.28,15500,7.767992
2009-05-01,6.49,8.99,6.46,8.98,5000,8.424706
2009-04-01,7.18,7.46,6.02,6.72,6000,6.304457
2009-03-02,6.67,7.25,5.78,7.14,4400,6.698486
2009-02-13,6.47,6.85,6.29,6.65,10200,6.238786
