Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.540001,20.90,19.84,19.940001,4385600,19.152905
2013-03-01,18.60,21.299999,18.209999,20.610001,1923500,19.796459
2013-02-01,18.33,20.190001,17.49,18.67,3673100,17.933037
2013-01-02,14.55,18.219999,13.95,18.129999,2371800,17.325996
2012-12-03,14.02,14.80,13.67,14.23,960600,13.598948
2012-11-01,13.95,14.25,12.48,13.95,2160500,13.331366
2012-10-01,13.79,14.64,13.44,13.89,1257100,13.179363
2012-09-04,13.20,15.83,13.15,13.62,1817900,12.923177
2012-08-01,12.10,14.32,11.29,13.20,2102500,12.524665
2012-07-02,14.21,14.48,11.45,11.98,1838900,11.287344
2012-06-01,11.64,14.15,11.17,14.10,2194400,13.284771
2012-05-01,14.14,14.74,11.80,11.94,1981000,11.249657
2012-04-02,16.469999,16.58,13.97,14.18,1826100,13.259861
2012-03-01,17.059999,19.040001,15.55,16.52,2358300,15.448018
2012-02-01,15.65,18.00,15.60,16.799999,2060900,15.709847
2012-01-03,13.50,16.120001,13.20,15.51,2293800,14.429052
2011-12-01,10.90,14.19,10.69,13.14,3080600,12.224226
2011-11-01,12.14,12.71,9.16,9.70,2624700,9.023972
2011-10-03,10.87,14.15,9.67,12.74,1963400,11.805442
2011-09-01,13.58,13.99,9.67,10.99,2266900,10.183815
2011-08-01,14.30,14.43,9.71,13.49,3436500,12.500424
2011-07-01,16.290001,16.99,13.86,14.15,1914200,13.060701
2011-06-01,16.91,17.23,14.04,16.309999,1964400,15.05442
2011-05-02,17.18,17.25,15.40,17.02,1930400,15.709764
2011-04-01,15.14,18.540001,14.03,17.00,2939300,15.64902
2011-03-01,14.57,15.20,13.49,14.90,1956100,13.715906
2011-02-01,14.70,16.50,14.30,14.53,2856300,13.37531
2011-01-03,17.959999,20.16,14.01,14.46,4704800,13.27272
2010-12-01,17.360001,19.10,16.98,17.700001,1573500,16.246693
2010-11-01,19.059999,20.52,16.530001,17.01,2501400,15.613346
2010-10-01,17.389999,22.299999,17.01,19.049999,3665800,17.441589
2010-09-01,15.69,18.459999,15.45,17.110001,1635300,15.665386
2010-08-02,16.25,18.639999,14.68,15.47,2695300,14.163853
2010-07-01,13.34,16.84,12.63,15.70,2533000,14.337639
2010-06-01,16.41,16.75,12.66,13.27,4064900,12.118502
2010-05-03,21.66,22.24,13.98,16.799999,5390000,15.342186
2010-04-01,22.08,24.90,21.43,21.549999,2887900,19.625675
2010-03-01,21.23,23.049999,19.709999,21.969999,3522700,20.008171
2010-02-01,22.84,23.32,19.309999,21.10,2887300,19.174288
2010-01-04,22.08,24.40,21.950001,22.66,2313000,20.591911
2009-12-01,21.24,23.10,19.67,21.76,3479900,19.774052
2009-11-02,16.709999,28.139999,16.25,22.68,2640000,20.610086
2009-10-01,19.43,20.66,16.309999,16.58,1309900,15.040252
2009-09-01,19.58,21.059999,17.280001,19.42,1663200,17.616508
2009-08-03,14.11,20.42,14.01,19.90,3445600,18.051931
2009-07-01,12.47,15.39,10.64,13.97,1662700,12.640162
2009-06-01,13.55,16.07,10.28,12.38,2874000,11.201518
2009-05-01,9.67,14.85,9.67,13.11,1254300,11.862027
2009-04-01,6.58,10.16,6.48,9.66,1146800,8.712185
2009-03-02,4.31,8.50,2.69,6.77,1926400,6.105745
2009-02-02,7.53,8.17,4.24,4.42,1428400,3.986321
2009-01-02,11.37,12.79,7.07,7.63,1106800,6.830766
2008-12-01,10.57,15.12,9.73,11.40,1046200,10.205861
2008-11-03,11.09,11.38,5.49,11.24,1137100,10.062621
2008-10-01,16.25,16.65,7.00,11.23,1259600,9.999227
2008-09-02,16.620001,20.639999,11.59,16.26,2057900,14.477955
2008-08-01,11.85,16.629999,11.12,16.26,1797400,14.477955
2008-07-01,17.559999,19.120001,7.95,11.46,5122800,10.171615
2008-06-02,22.99,24.91,17.940001,17.99,2316700,15.967483
2008-05-01,25.370001,27.58,21.65,23.10,1344400,20.502993
2008-04-01,23.99,26.32,23.16,25.290001,1214700,22.404146
2008-03-03,25.709999,26.98,21.09,23.74,2157300,21.031015
2008-02-01,24.059999,26.440001,20.85,25.65,2173200,22.723064
2008-01-02,26.49,26.50,16.530001,23.67,2852200,20.929274
2007-12-03,22.719999,27.99,20.75,26.540001,1991600,23.466959
2007-11-01,22.67,26.530001,13.34,22.57,1999200,19.95664
2007-10-01,27.059999,29.459999,21.91,23.07,649100,20.359461
2007-09-04,26.00,28.77,23.91,27.17,518800,23.977743
2007-08-01,24.34,30.219999,21.32,26.07,870400,23.006985
2007-07-02,29.700001,29.93,23.530001,24.34,896600,21.447515
2007-06-01,29.73,31.00,28.42,29.559999,543200,26.047186
2007-05-01,28.26,31.99,28.10,29.58,225300,26.06481
2007-04-02,27.360001,28.76,26.65,28.209999,192200,24.824766
2007-03-01,28.280001,28.40,25.90,27.32,345000,24.041569
2007-02-01,26.200001,28.389999,26.139999,28.299999,204900,24.903967
2007-01-03,26.690001,27.719999,26.01,26.24,185000,23.058184
2006-12-01,25.870001,27.43,25.50,26.60,130300,23.374531
2006-11-01,25.25,25.93,24.870001,25.85,136700,22.715475
2006-10-02,25.959999,25.98,24.40,25.17,120600,22.087259
2006-09-01,26.76,27.40,25.77,25.93,118800,22.754177
