Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.35,14.41,14.33,14.33,21800,12.590159
2013-03-01,15.06,15.08,13.77,14.37,30600,12.625303
2013-02-01,15.21,15.35,15.01,15.02,19400,13.140513
2013-01-02,14.58,15.44,14.58,15.24,27000,13.277722
2012-12-03,16.02,16.059999,14.52,14.65,34100,12.708801
2012-11-01,15.83,16.360001,15.47,15.99,19700,13.81604
2012-10-01,16.190001,16.48,15.70,15.72,15700,13.517249
2012-09-04,15.58,16.200001,15.40,16.120001,15500,13.797004
2012-08-01,15.95,16.15,15.48,15.58,17900,13.270063
2012-07-02,15.79,17.24,15.67,16.059999,30200,13.614165
2012-06-01,15.41,15.78,14.80,15.75,21100,13.288155
2012-05-01,15.44,15.44,14.95,15.41,20300,12.936035
2012-04-02,14.73,15.47,14.68,15.43,16700,12.888484
2012-03-01,15.48,15.68,13.91,14.71,25400,12.224739
2012-02-01,15.33,15.44,14.62,15.43,27300,12.760139
2012-01-03,14.46,15.60,14.41,15.40,22900,12.67248
2011-12-01,14.19,14.60,14.11,14.51,16800,11.878337
2011-11-01,13.69,14.36,13.62,14.14,16500,11.514393
2011-10-03,13.64,13.70,13.12,13.70,15200,11.094207
2011-09-01,13.72,13.90,13.52,13.57,11800,10.926468
2011-08-01,12.97,13.67,12.68,13.63,17000,10.914075
2011-07-01,13.20,13.51,12.94,12.95,15600,10.309823
2011-06-01,13.17,13.38,13.04,13.15,11300,10.40936
2011-05-02,12.81,13.37,12.77,13.25,14300,10.428358
2011-04-01,12.90,12.99,12.46,12.82,12900,10.030484
2011-03-01,12.67,12.99,12.67,12.93,16900,10.056855
2011-02-01,12.81,12.87,12.42,12.65,19000,9.780835
2011-01-03,13.15,13.25,12.01,12.80,20400,9.838371
2010-12-01,13.36,13.43,12.25,13.18,31600,10.070157
2010-11-01,14.21,14.26,12.33,13.45,39500,10.218383
2010-10-01,14.62,14.69,14.18,14.21,14300,10.73763
2010-09-01,14.55,14.73,14.42,14.56,14300,10.944714
2010-08-02,14.22,14.67,14.22,14.56,16600,10.887586
2010-07-01,13.80,14.42,13.80,14.22,13200,10.577144
2010-06-01,13.68,14.00,13.50,13.91,12400,10.290231
2010-05-03,13.47,13.66,13.32,13.63,15200,10.027484
2010-04-01,13.06,13.53,12.99,13.53,13200,9.89829
2010-03-01,13.00,13.15,12.84,13.06,17300,9.499269
2010-02-01,12.92,13.10,12.83,12.99,15900,9.393414
2010-01-04,12.79,13.07,12.64,12.92,14400,9.288592
2009-12-01,12.86,13.00,12.71,12.80,12100,9.147852
2009-11-02,12.74,13.08,12.65,12.90,10600,9.164877
2009-10-01,13.35,13.52,12.43,12.68,13400,8.95814
2009-09-01,12.49,13.49,12.31,13.44,15400,9.444424
2009-08-03,12.16,12.54,12.04,12.50,14200,8.733281
2009-07-01,11.30,12.22,10.96,12.18,15200,8.459815
2009-06-01,11.80,11.89,11.11,11.34,13100,7.82529
2009-05-01,11.53,12.02,11.45,11.73,21800,8.045023
2009-04-01,11.11,11.91,10.84,11.49,17100,7.831209
2009-03-02,10.75,12.25,9.70,11.27,22200,7.632192
2009-02-02,10.74,11.17,9.46,10.78,27200,7.249767
2009-01-02,9.47,11.18,9.47,10.74,23000,7.181631
2008-12-01,10.00,10.40,7.59,9.56,32100,6.354877
2008-11-03,11.35,11.65,9.53,10.04,22600,6.631292
2008-10-01,11.78,11.92,6.56,11.17,28900,7.337413
2008-09-02,13.95,14.22,11.55,11.91,12600,7.782781
2008-08-01,13.57,14.03,13.40,13.95,10900,9.075366
2008-07-01,13.58,13.87,13.25,13.51,10700,8.749631
2008-06-02,14.28,14.38,13.55,13.65,9000,8.800146
2008-05-01,14.27,14.46,14.11,14.35,11500,9.211493
2008-04-01,14.25,14.40,13.80,14.27,26200,9.120286
2008-03-03,13.22,14.54,13.22,14.13,18800,8.991461
2008-02-01,14.50,14.60,13.18,13.30,18500,8.424774
2008-01-02,13.56,14.76,13.52,14.40,16900,9.082583
2007-12-03,13.48,13.75,13.08,13.54,31600,8.502653
2007-11-01,13.86,14.08,13.22,13.45,15800,8.407374
2007-10-01,14.14,14.27,13.79,13.82,13200,8.600562
2007-09-04,14.06,14.59,13.99,14.15,18100,8.767427
2007-08-01,14.19,14.23,13.17,14.07,12300,8.679524
2007-07-02,14.62,14.72,13.80,14.20,18300,8.721473
2007-06-01,15.02,15.10,14.54,14.64,16600,8.953663
2007-05-01,15.08,15.17,15.01,15.04,12800,9.160354
2007-04-02,15.08,15.13,14.95,15.10,16400,9.159186
2007-03-01,14.90,15.20,14.86,15.14,13100,9.145767
2007-02-01,15.00,15.03,14.79,14.96,19400,8.999754
2007-01-03,15.50,15.54,14.98,15.04,16700,9.010483
2006-12-01,14.93,15.55,14.75,15.55,28300,9.278785
2006-11-01,14.81,14.98,14.61,14.97,31600,8.895798
2006-10-02,16.83,17.450001,14.67,14.88,47000,8.805472
2006-09-01,16.65,17.00,16.299999,16.91,16900,9.960295
2006-08-01,15.95,16.91,15.85,16.57,23300,9.713049
2006-07-03,15.96,16.15,15.15,15.94,25900,9.297152
2006-06-01,16.15,16.33,15.83,16.01,14300,9.291638
2006-05-01,16.209999,16.209999,15.69,16.040001,15200,9.263136
2006-04-03,16.07,16.27,15.49,15.91,18400,9.142118
2006-03-01,15.75,16.450001,15.59,16.07,15500,9.188429
2006-02-01,16.049999,16.360001,15.50,15.89,16700,9.039768
2006-01-03,15.35,16.40,15.31,16.200001,20700,9.170614
2005-12-01,15.10,15.45,15.04,15.39,14200,8.667233
2005-11-01,14.89,15.39,14.80,15.17,16900,8.498838
2005-10-03,15.32,15.54,14.39,14.90,21900,8.303054
2005-09-01,15.58,16.02,15.32,15.39,21700,8.531957
2005-08-01,15.07,15.50,14.90,15.49,24300,8.544215
2005-07-01,14.92,15.19,14.74,15.04,19800,8.251957
2005-06-01,14.58,15.15,14.52,14.99,19800,8.180718
2005-05-02,14.23,14.83,14.20,14.72,20400,7.989708
2005-04-01,14.06,14.49,14.00,14.27,16100,7.702487
2005-03-01,14.41,14.45,13.78,14.13,15600,7.584102
2005-02-01,14.63,14.89,14.13,14.38,17600,7.675436
2005-01-03,14.26,14.68,14.08,14.58,15300,7.740376
2004-12-01,14.30,14.32,13.90,14.16,15200,7.475523
2004-11-01,14.22,14.40,13.71,14.31,18500,7.512478
2004-10-01,13.93,14.35,13.93,14.20,15200,7.41279
2004-09-01,13.89,14.07,13.80,13.98,19900,7.256361
2004-08-02,13.55,13.99,13.40,13.87,18700,7.157741
2004-07-01,12.95,13.57,12.95,13.56,15300,6.9566
2004-06-01,13.12,13.22,12.60,13.00,17900,6.669306
2004-05-03,13.01,13.23,12.30,13.10,18200,6.638927
2004-04-01,14.47,14.47,13.02,13.02,26900,6.558363
2004-03-01,14.29,14.75,14.20,14.42,19100,7.263563
2004-02-02,14.00,14.37,13.92,14.28,13600,7.113396
2004-01-02,13.57,14.39,13.57,13.99,21800,6.929508
2003-12-01,13.53,14.05,13.22,13.62,29800,6.707131
2003-11-03,13.25,13.40,13.11,13.40,16700,6.559776
2003-10-01,13.42,13.44,13.12,13.18,14200,6.415209
2003-09-02,13.30,13.40,13.00,13.40,15000,6.485299
2003-08-01,13.60,13.61,12.98,13.22,13600,6.361206
2003-07-01,14.39,14.40,13.47,13.60,14400,6.544054
2003-06-02,14.25,14.53,14.18,14.40,13100,6.854193
2003-05-01,13.84,14.45,13.72,14.28,11600,6.761276
2003-04-01,13.73,13.85,13.50,13.85,11400,6.55768
2003-03-03,13.79,13.86,13.48,13.73,13200,6.429429
2003-02-03,13.60,13.80,13.37,13.78,12400,6.417382
2003-01-02,13.89,13.98,13.25,13.54,14100,6.270862
2002-12-02,13.70,13.89,13.21,13.88,25800,6.39313
2002-11-01,13.82,14.23,13.60,13.70,8800,6.275344
2002-10-01,14.60,14.65,13.47,13.78,12700,6.311988
2002-09-03,14.19,14.70,14.00,14.60,13800,6.616074
2002-08-01,13.99,14.30,13.77,14.20,11700,6.400347
2002-07-01,13.82,14.31,13.80,14.00,8000,6.310201
2002-06-03,14.03,14.14,13.70,13.82,10600,6.161065
2002-05-01,13.80,14.12,13.76,14.03,8900,6.221067
2002-04-01,13.70,13.82,13.33,13.79,15400,6.080949
2002-03-01,15.00,15.06,13.40,13.70,15300,6.041262
2002-02-01,15.00,15.05,15.00,15.04,12300,6.595634
2002-01-29,15.00,15.03,15.00,15.01,85400,6.582478
