Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,35.759998,35.779999,35.049999,35.380001,187200,34.813187
2013-03-01,35.09,36.860001,34.75,35.75,206000,35.177258
2013-02-01,33.889999,36.23,33.32,35.23,287200,34.665588
2013-01-02,29.809999,33.700001,28.82,33.599998,193900,32.918163
2012-12-03,29.690001,29.690001,27.940001,29.370001,193500,28.774002
2012-11-01,28.879999,30.40,27.110001,29.860001,151000,29.254059
2012-10-01,29.60,29.65,25.879999,28.93,208700,28.34293
2012-09-04,29.540001,30.969999,28.549999,29.530001,181200,28.930756
2012-08-01,32.040001,33.490002,29.07,29.620001,195900,29.018929
2012-07-02,27.74,36.43,24.08,32.040001,342400,31.38982
2012-06-14,26.18,28.02,24.50,25.17,113600,24.544573
