Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,63.75,64.50,63.34,63.599998,2729600,31.085686
2013-03-01,51.360001,64.550003,51.310001,63.959999,1628900,31.261644
2013-02-01,46.310001,51.959999,45.77,51.549999,1389600,25.196024
2013-01-02,44.029999,47.830002,43.32,46.130001,1489100,22.5469
2012-12-03,42.880001,45.150002,42.049999,43.09,1283900,21.061043
2012-11-01,38.25,43.07,37.650002,42.75,1898400,20.894861
2012-10-01,34.939999,38.59,34.57,38.240002,1284600,18.690516
2012-09-04,33.43,35.939999,32.689999,35.060001,1394500,17.13623
2012-08-01,35.060001,35.580002,33.09,33.549999,1242300,16.398188
2012-07-02,36.119999,38.459999,34.00,34.849998,1982300,17.033587
2012-06-01,33.73,36.50,32.16,35.900002,1953600,17.546797
2012-05-01,33.759998,34.549999,31.290001,34.299999,1865800,16.764765
2012-04-02,35.75,36.619999,33.400002,33.799999,1686400,16.52038
2012-03-01,68.870003,72.610001,34.41,35.82,2064400,17.507694
2012-02-01,76.480003,79.529999,67.370003,68.57,2097700,16.757433
2012-01-03,76.43,77.150002,70.900002,76.129997,1828600,18.604979
2011-12-01,68.970001,77.139999,67.129997,75.089996,2181700,18.350819
2011-11-01,64.599998,69.639999,60.560001,69.419998,1645300,16.96516
2011-10-03,55.669998,69.309998,51.099998,66.529999,1982300,16.25889
2011-09-01,57.619999,60.889999,52.650002,56.290001,1543000,13.756394
2011-08-01,62.470001,63.48,51.790001,57.73,1962500,14.108308
2011-07-01,68.669998,70.610001,59.50,61.119999,1748000,14.93677
2011-06-01,67.360001,69.629997,61.310001,68.459999,1369900,16.730551
2011-05-02,66.529999,70.07,64.720001,67.540001,1241500,16.505718
2011-04-01,63.98,66.089996,59.00,65.870003,1386400,16.097597
2011-03-01,59.549999,64.00,56.150002,63.419998,1465700,15.498854
2011-02-01,59.860001,65.00,56.279999,59.450001,1833300,14.528648
2011-01-03,57.50,64.339996,56.529999,59.240002,1782500,14.477328
2010-12-01,55.799999,59.59,54.700001,56.689999,1211800,13.854148
2010-11-01,52.790001,56.48,52.040001,55.00,1304000,13.441138
2010-10-01,51.73,53.02,44.860001,52.799999,1976900,12.903493
2010-09-01,44.93,51.849998,43.939999,51.029999,2008100,12.470932
2010-08-02,52.799999,54.66,43.889999,44.23,2473400,10.809119
2010-07-01,45.43,52.91,42.00,51.59,2215100,12.607788
2010-06-01,46.849998,54.130001,44.91,44.950001,2511300,10.985076
2010-05-03,43.299999,49.049999,37.029999,46.700001,3345600,11.412748
2010-04-01,41.59,45.720001,39.880001,41.41,2429600,10.119955
2010-03-01,35.220001,42.59,35.209999,41.23,2487100,10.075966
2010-02-01,31.370001,37.18,31.24,35.00,2626600,8.553452
2010-01-04,34.82,37.950001,31.24,31.34,2599200,7.659005
2009-12-01,30.040001,36.48,29.469999,34.560001,1968800,8.445923
2009-11-02,25.799999,30.00,24.91,29.90,1930600,7.307092
2009-10-01,26.75,28.99,25.17,25.719999,2380700,6.285565
2009-09-01,24.870001,27.99,22.43,26.790001,2222300,6.547057
2009-08-03,23.15,27.15,22.15,25.23,1969500,6.165817
2009-07-01,18.15,23.50,17.93,23.059999,2128500,5.635503
2009-06-01,15.96,18.629999,15.38,18.26,3116100,4.462458
2009-05-01,17.040001,19.08,14.53,15.57,3945400,3.805064
2009-04-01,17.49,22.08,15.87,16.780001,3464900,4.10077
2009-03-02,21.469999,22.10,13.61,17.57,4324700,4.293833
2009-02-02,26.17,29.959999,21.15,21.91,4350000,5.354461
2009-01-02,29.26,30.950001,24.52,26.360001,4278700,6.441971
2008-12-01,22.309999,29.74,20.809999,29.25,3748500,7.148242
2008-11-03,24.889999,27.74,18.57,22.950001,4605400,5.608621
2008-10-01,20.780001,26.00,12.89,24.700001,4492800,6.036293
2008-09-02,22.290001,24.68,18.620001,20.389999,4404900,4.982996
2008-08-01,18.25,23.25,16.93,21.01,4193200,5.134515
2008-07-01,15.12,19.83,10.10,17.879999,5340700,4.369592
2008-06-02,19.67,21.219999,15.34,15.34,3767300,3.748856
2008-05-01,21.60,23.00,17.33,19.530001,2271200,4.772826
2008-04-01,19.99,22.27,17.51,21.48,2664100,5.249375
2008-03-03,24.58,24.719999,17.440001,19.620001,4580200,4.794821
2008-02-01,25.41,28.559999,24.32,24.40,3135600,5.962977
2008-01-02,24.82,25.540001,21.110001,25.299999,3570600,6.182923
2007-12-03,25.129999,28.00,23.719999,25.01,2244300,6.112052
2007-11-01,24.959999,25.77,21.15,25.33,4052000,6.190255
2007-10-01,23.09,27.889999,23.09,25.40,3241400,6.207362
2007-09-04,25.08,26.00,22.60,23.09,2491600,5.642834
2007-08-01,23.469999,26.219999,21.50,24.82,3440000,6.065619
2007-07-02,28.00,29.09,23.26,23.33,3028000,5.701487
2007-06-01,29.26,29.299999,25.90,27.860001,2980100,6.808547
2007-05-01,29.559999,30.719999,27.16,29.16,3895800,7.126247
2007-04-02,38.200001,38.990002,29.51,29.60,3022400,7.233777
2007-03-01,40.099998,41.169998,36.560001,38.099998,1878000,9.311043
2007-02-01,42.959999,44.50,40.060001,41.00,1667200,10.019757
2007-01-03,40.25,44.52,39.57,42.849998,2242000,10.471869
2006-12-01,41.400002,43.299999,37.50,39.50,2741900,9.653181
2006-11-01,40.349998,44.450001,38.00,41.130001,2539400,10.051528
2006-10-02,38.27,45.849998,38.02,40.150002,3262200,9.812032
2006-09-01,38.07,39.639999,35.259998,38.040001,1878900,9.29638
2006-08-01,36.849998,39.200001,34.00,37.869999,1877100,9.254834
2006-07-03,39.549999,41.09,33.599998,37.130001,2671900,9.073991
2006-06-01,38.990002,39.990002,34.630001,39.419998,2572100,9.63363
2006-05-01,37.959999,40.540001,36.650002,38.740002,3021700,9.467449
2006-04-03,35.900002,39.369999,33.860001,37.959999,3206500,9.276829
2006-03-01,32.200001,35.950001,29.440001,35.450001,3645500,8.663424
2006-02-01,32.07,33.110001,30.35,32.049999,2192700,7.832518
2006-01-03,35.830002,36.189999,29.85,31.93,3294700,7.803192
2005-12-01,35.43,37.860001,34.040001,35.720001,2396300,8.729408
2005-11-01,31.450001,35.93,31.139999,35.23,1834400,8.60966
2005-10-03,29.389999,31.75,28.219999,31.530001,1718000,7.705438
2005-09-01,33.720001,33.790001,28.379999,29.059999,1953000,7.101809
2005-08-01,34.049999,35.720001,32.380001,33.720001,1628200,8.24064
2005-07-01,29.90,35.00,28.889999,34.98,1616700,8.548564
2005-06-01,29.549999,31.209999,28.76,29.75,1764800,7.270434
2005-05-02,27.120001,29.92,26.60,29.52,1324100,7.214226
2005-04-01,29.440001,31.50,25.549999,26.67,1752200,6.51773
2005-03-01,28.60,31.34,28.290001,29.440001,1620900,7.194675
2005-02-01,29.629999,31.92,28.10,28.360001,1288800,6.93074
2005-01-03,33.700001,34.00,27.450001,29.790001,1960900,7.28021
2004-12-01,31.40,33.669998,31.309999,33.490002,2458200,8.184432
2004-11-01,26.35,31.40,25.85,31.23,2211100,7.632123
2004-10-01,24.90,26.959999,22.93,26.34,1974500,6.437083
2004-09-01,23.549999,25.700001,22.700001,24.780001,1705400,6.055844
