Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.700001,17.84,16.85,17.00,82000,14.181646
2013-03-01,16.799999,18.200001,16.360001,17.889999,30800,14.924097
2013-02-01,17.10,17.43,16.27,16.85,22300,14.056515
2013-01-02,13.74,18.889999,13.74,17.139999,33000,13.927672
2012-12-03,16.379999,16.52,13.11,13.64,27200,11.083632
2012-11-01,19.10,19.200001,15.00,16.25,19500,13.204474
2012-10-01,19.059999,19.99,18.77,19.09,9900,15.159992
2012-09-04,19.440001,19.889999,18.559999,18.860001,17400,14.977343
2012-08-01,20.610001,22.049999,19.07,19.440001,13500,15.437939
2012-07-02,19.559999,21.879999,19.50,20.690001,9600,16.083897
2012-06-01,19.52,21.00,18.780001,19.52,13700,15.174367
2012-05-01,22.110001,23.17,18.18,19.74,14100,15.345389
2012-04-02,21.950001,22.360001,21.00,22.23,7700,16.952433
2012-03-01,21.75,23.110001,20.83,21.90,18700,16.700777
2012-02-01,20.950001,22.540001,20.34,21.90,19300,16.700777
2012-01-03,18.360001,21.200001,18.360001,21.00,19400,15.354801
2011-12-01,18.85,19.57,17.799999,18.17,22100,13.28556
2011-11-01,17.58,19.40,17.370001,18.959999,24800,13.863192
2011-10-03,18.85,19.379999,16.799999,18.42,22700,13.271667
2011-09-01,18.059999,23.370001,17.23,19.15,37900,13.797634
2011-08-01,20.90,20.93,16.00,18.16,107000,13.084336
2011-07-27,21.00,21.33,20.50,20.879999,950700,15.044104
