Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.629999,20.75,20.15,20.25,8008200,19.186123
2013-03-01,18.92,21.559999,18.66,20.620001,3890500,19.536684
2013-02-01,19.459999,20.299999,18.77,19.01,3231800,18.011269
2013-01-02,17.08,19.709999,17.07,19.389999,3825400,18.371304
2012-12-03,16.219999,17.24,16.120001,16.809999,2751400,15.853342
2012-11-01,15.70,16.540001,15.20,16.200001,3044700,14.834959
2012-10-01,15.45,16.469999,15.32,15.69,4988100,14.289609
2012-09-04,17.07,18.00,15.14,15.37,6239800,13.99817
2012-08-01,15.93,17.15,15.15,17.110001,3504900,15.58287
2012-07-02,17.08,17.16,15.09,15.92,4479000,14.499081
2012-06-01,16.93,17.440001,16.09,17.00,3008500,15.424187
2012-05-01,18.74,19.01,16.719999,17.16,3871200,15.569356
2012-04-02,19.77,20.17,18.049999,18.790001,3982000,17.048264
2012-03-01,18.690001,20.59,18.26,19.74,3710400,17.852646
2012-02-01,16.209999,18.75,16.17,18.67,4089000,16.884949
2012-01-03,15.93,17.43,15.69,16.110001,4804600,14.569713
2011-12-01,16.23,16.530001,14.87,15.65,3195400,14.101689
2011-11-01,16.200001,17.34,15.11,16.290001,4308300,14.678372
2011-10-03,14.62,17.620001,13.78,16.780001,5525400,15.119895
2011-09-01,15.43,15.59,13.43,14.71,5262400,13.209085
2011-08-01,18.59,18.719999,13.69,15.38,7981900,13.810723
2011-07-01,19.50,20.76,17.620001,18.360001,5771800,16.486664
2011-06-01,21.389999,21.41,18.440001,19.51,4214400,17.471821
2011-05-02,21.690001,21.950001,20.200001,21.549999,3107300,19.298706
2011-04-01,21.00,22.60,20.950001,21.540001,4193400,19.289751
2011-03-01,21.91,22.90,19.700001,20.870001,4419200,18.646917
2011-02-01,20.639999,21.870001,20.24,21.799999,4119700,19.477852
2011-01-03,19.200001,21.190001,18.440001,20.42,5255900,18.24485
2010-12-01,17.00,19.01,16.91,18.99,2600700,16.925993
2010-11-01,17.129999,17.77,16.73,16.73,3370800,14.911631
2010-10-01,16.290001,17.139999,15.90,17.09,3439300,15.188402
2010-09-01,14.79,16.530001,14.79,16.15,5173600,14.352995
2010-08-02,15.93,16.98,14.53,14.62,3828600,12.993237
2010-07-01,15.34,16.34,14.72,15.74,5611600,13.988615
2010-06-01,17.59,18.459999,15.18,15.30,6450400,13.597574
2010-05-03,20.049999,20.58,17.17,17.73,5181800,15.757189
2010-04-01,19.25,20.559999,19.049999,20.00,5945700,17.774607
2010-03-01,17.49,19.43,17.200001,19.059999,6279900,16.939199
2010-02-01,17.77,18.57,16.549999,17.49,9308800,15.543894
2010-01-04,19.50,20.059999,17.559999,17.76,6807300,15.783852
2009-12-01,19.790001,19.91,17.91,19.379999,4532300,17.223593
2009-11-02,19.280001,21.299999,18.73,19.639999,4702600,17.454664
2009-10-01,19.59,20.93,18.59,19.299999,4858700,17.152494
2009-09-01,19.50,20.23,18.809999,19.629999,3516700,17.445776
2009-08-03,18.67,19.969999,18.049999,19.24,4280800,17.099173
2009-07-01,17.450001,18.809999,16.450001,18.540001,4024800,16.477062
