Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.950001,29.200001,28.59,28.709999,1157600,28.709999
2013-03-01,28.200001,31.66,27.889999,29.02,1432900,29.02
2013-02-01,31.10,32.799999,26.950001,28.290001,1947900,28.290001
2013-01-02,33.50,34.299999,29.98,30.84,1624500,30.84
2012-12-03,33.82,34.849998,31.209999,33.84,1291000,33.84
2012-11-01,35.110001,36.290001,31.889999,33.549999,1317400,33.549999
2012-10-01,37.900002,38.32,33.630001,35.169998,1044900,35.169998
2012-09-04,35.639999,39.779999,35.599998,37.73,1144700,37.73
2012-08-01,27.23,36.240002,26.360001,35.580002,1415900,35.580002
2012-07-02,25.530001,27.57,24.35,27.08,752000,27.08
2012-06-01,26.360001,26.719999,23.93,25.49,1591500,25.49
2012-05-01,27.790001,28.85,25.030001,26.889999,1752400,26.889999
2012-04-02,28.50,29.809999,27.049999,27.690001,1251500,27.690001
2012-03-01,23.809999,29.76,23.809999,28.639999,1611300,28.639999
2012-02-01,24.450001,25.07,22.139999,23.889999,2085500,23.889999
2012-01-03,25.959999,26.17,22.549999,24.26,1750500,24.26
2011-12-01,23.280001,25.860001,22.959999,24.780001,1452100,24.780001
2011-11-01,25.74,26.639999,21.74,23.459999,2131300,23.459999
2011-10-03,22.59,28.309999,21.26,26.639999,2090700,26.639999
2011-09-01,23.74,25.549999,21.049999,22.84,1880700,22.84
2011-08-01,26.290001,26.290001,19.00,23.57,2971900,23.57
2011-07-01,26.290001,28.52,24.98,25.940001,2121100,25.940001
2011-06-01,28.18,28.23,25.34,26.10,2182200,26.10
2011-05-02,31.33,32.490002,27.77,28.15,1985000,28.15
2011-04-01,29.280001,32.110001,28.620001,31.209999,1364200,31.209999
2011-03-01,23.389999,29.26,22.99,29.110001,2795300,29.110001
2011-02-01,22.209999,24.959999,21.540001,23.209999,2732900,23.209999
2011-01-03,26.629999,26.93,20.969999,22.120001,2858900,22.120001
2010-12-01,27.32,28.24,25.83,27.389999,1753800,27.389999
2010-11-01,23.43,27.200001,22.15,26.91,2189800,26.91
2010-10-01,20.57,23.809999,20.139999,23.299999,2176900,23.299999
2010-09-01,15.75,20.68,15.75,20.24,1998500,20.24
2010-08-02,17.959999,18.25,14.59,15.33,2608300,15.33
2010-07-01,16.26,18.16,15.14,17.540001,2090500,17.540001
2010-06-01,21.290001,22.48,16.10,16.27,2496700,16.27
2010-05-03,22.059999,25.24,19.51,21.65,3126800,21.65
2010-04-01,20.93,24.75,20.40,21.700001,2071500,21.700001
2010-03-01,17.26,21.42,17.09,20.700001,1999900,20.700001
2010-02-01,12.60,17.370001,12.57,17.209999,2592100,17.209999
2010-01-04,13.12,14.13,11.59,12.56,2073000,12.56
2009-12-01,14.18,16.26,13.60,13.64,1699800,13.64
2009-11-02,13.01,14.92,12.61,13.98,2770200,13.98
2009-10-01,15.68,16.48,12.85,12.97,2616500,12.97
2009-09-01,13.77,17.50,12.72,15.89,3071700,15.89
2009-08-03,11.78,14.30,11.41,14.08,2561900,14.08
2009-07-01,8.07,12.26,6.87,12.07,2827400,12.07
2009-06-01,7.60,8.41,6.33,7.98,2964900,7.98
2009-05-01,7.49,9.20,6.91,7.32,2728700,7.32
2009-04-01,5.06,7.58,4.72,7.39,2371700,7.39
2009-03-02,6.45,6.72,2.41,5.20,3344500,5.20
2009-02-02,5.04,6.81,4.76,6.58,1826100,6.58
2009-01-02,5.76,6.28,4.37,4.92,1629100,4.92
2008-12-01,4.34,6.58,3.74,5.77,1984700,5.77
2008-11-03,12.54,12.88,3.88,4.49,2490500,4.49
2008-10-01,20.440001,20.459999,11.45,12.51,2110700,12.51
2008-09-02,24.780001,27.549999,19.59,20.639999,2332200,20.639999
2008-08-01,22.719999,27.49,21.92,24.280001,2347200,24.280001
2008-07-01,23.51,26.24,20.129999,22.549999,2579500,22.549999
