Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.16,8.25,7.77,7.83,17673800,7.83
2013-03-01,7.90,9.05,7.37,8.21,10930500,8.21
2013-02-01,8.96,9.90,7.85,7.98,13554300,7.98
2013-01-02,10.18,10.74,8.45,8.86,17049100,8.86
2012-12-03,7.57,10.17,7.20,9.74,16403100,9.74
2012-11-01,8.65,9.80,6.80,7.48,18982200,7.48
2012-10-01,6.69,9.74,6.22,8.59,29541600,8.59
2012-09-04,5.84,9.05,5.28,6.57,25059800,6.57
2012-08-01,7.05,7.49,5.88,5.94,19791900,5.94
2012-07-02,8.69,9.74,5.75,7.01,16910300,7.01
2012-06-01,10.04,10.75,7.46,8.71,14939000,8.71
2012-05-01,16.07,16.690001,10.05,10.48,14890300,10.48
2012-04-02,15.19,17.299999,13.80,16.129999,15282400,16.129999
2012-03-01,18.780001,18.99,14.54,15.21,12516200,15.21
2012-02-01,20.52,23.68,18.469999,18.559999,12681800,18.559999
2012-01-03,21.58,22.799999,18.74,20.120001,9686200,20.120001
2011-12-01,23.870001,25.48,18.10,20.43,8364100,20.43
2011-11-01,22.51,29.290001,18.799999,24.00,11090100,24.00
2011-10-03,17.35,27.700001,15.49,24.040001,10942100,24.040001
2011-09-01,33.34,33.639999,17.65,17.690001,9118400,17.690001
2011-08-01,43.93,44.049999,26.049999,33.07,9507000,33.07
2011-07-01,45.369999,47.25,41.799999,42.709999,4690100,42.709999
2011-06-01,54.34,55.200001,40.650002,45.439999,9298800,45.439999
2011-05-02,58.630001,59.200001,47.759998,54.790001,6739300,54.790001
2011-04-01,59.849998,61.66,52.759998,58.169998,4564700,58.169998
2011-03-01,54.720001,60.849998,49.580002,59.369999,7521500,59.369999
2011-02-01,54.66,57.900002,51.709999,54.220001,7447500,54.220001
2011-01-03,61.48,68.050003,52.799999,53.73,8214400,53.73
2010-12-01,50.700001,61.07,50.419998,60.029999,2109000,60.029999
2010-11-01,45.830002,51.75,42.650002,49.560001,3752300,49.560001
2010-10-01,41.150002,47.32,41.060001,45.169998,2166000,45.169998
2010-09-01,38.150002,42.790001,38.150002,41.150002,1831300,41.150002
2010-08-02,39.189999,44.389999,34.529999,37.130001,2900100,37.130001
2010-07-01,33.869999,40.00,32.459999,38.330002,3281000,38.330002
2010-06-01,37.009998,40.919998,32.00,33.869999,4046500,33.869999
2010-05-03,47.599998,47.630001,33.00,38.369999,5502800,38.369999
2010-04-01,50.709999,55.700001,46.450001,47.080002,3619900,47.080002
2010-03-01,46.580002,53.93,45.919998,49.889999,4137600,49.889999
2010-02-01,41.25,47.849998,38.700001,46.009998,3589000,46.009998
2010-01-04,44.330002,53.34,40.240002,40.610001,3861700,40.610001
2009-12-01,37.830002,46.52,36.119999,43.380001,3191000,43.380001
2009-11-02,34.330002,42.189999,33.23,37.00,3366800,37.00
2009-10-01,34.84,42.200001,32.619999,33.970001,3469100,33.970001
2009-09-01,32.369999,39.970001,31.59,35.099998,4083800,35.099998
2009-08-03,34.310001,37.529999,30.67,32.310001,4033500,32.310001
2009-07-01,26.60,34.799999,21.860001,33.310001,6956800,33.310001
2009-06-01,28.59,30.66,22.93,26.27,4239000,26.27
2009-05-01,20.93,32.990002,20.85,27.549999,6196200,27.549999
2009-04-01,17.24,21.10,15.95,20.48,3376500,20.48
2009-03-02,17.889999,23.00,15.05,17.75,3534600,17.75
2009-02-02,15.97,23.74,15.57,18.40,3953400,18.40
2009-01-02,16.60,22.00,14.52,16.32,3646900,16.32
2008-12-01,20.370001,23.25,13.93,16.190001,2936200,16.190001
2008-11-03,34.419998,37.490002,14.21,22.190001,4110800,22.190001
2008-10-01,49.639999,50.689999,24.709999,35.77,4888900,35.77
2008-09-02,95.800003,95.800003,42.68,51.43,5505800,51.43
2008-08-01,104.620003,109.269997,85.349998,99.099998,3528400,99.099998
2008-07-01,105.220001,119.300003,77.010002,98.949997,6465000,98.949997
2008-06-02,82.93,108.730003,80.510002,104.290001,6145200,104.290001
2008-05-01,48.400002,82.199997,45.790001,81.68,4325200,81.68
2008-04-01,41.849998,54.50,40.049999,48.650002,3329800,48.650002
2008-03-03,40.490002,44.580002,34.970001,43.439999,2975900,43.439999
2008-02-01,33.50,43.849998,32.02,40.540001,3480200,40.540001
2008-01-02,32.169998,34.25,21.92,33.419998,2513200,33.419998
2007-12-03,28.27,35.200001,27.540001,32.48,1306800,32.48
2007-11-01,26.83,28.950001,23.620001,28.10,1523900,28.10
2007-10-01,23.23,28.610001,22.780001,27.440001,1727000,27.440001
2007-09-04,19.139999,23.50,19.059999,23.23,1285200,23.23
2007-08-01,17.76,19.99,15.92,19.309999,1649300,19.309999
2007-07-02,20.790001,22.309999,17.66,17.85,1463000,17.85
2007-06-01,19.299999,21.07,17.82,20.790001,1511400,20.790001
2007-05-01,17.309999,19.709999,16.35,19.27,1528000,19.27
2007-04-02,15.52,18.52,15.43,17.370001,1272200,17.370001
2007-03-01,14.07,15.85,13.00,15.63,885700,15.63
2007-02-01,13.50,15.47,13.47,14.43,1013800,14.43
2007-01-03,14.05,14.20,12.32,13.48,997700,13.48
2006-12-01,15.60,16.40,14.09,14.23,681300,14.23
2006-11-01,15.87,16.059999,14.51,15.75,927500,15.75
