Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.89,3.91,3.76,3.82,564000,3.82
2013-03-01,3.68,4.13,3.64,3.89,254900,3.89
2013-02-01,3.65,4.01,3.46,3.73,266900,3.73
2013-01-02,3.71,3.90,3.30,3.62,221700,3.62
2012-12-03,3.28,3.71,3.19,3.64,227800,3.64
2012-11-01,3.06,3.39,2.92,3.29,171500,3.29
2012-10-01,3.26,3.39,2.87,3.04,152000,3.04
2012-09-04,2.89,3.41,2.81,3.23,291900,3.23
2012-08-01,3.30,3.37,2.66,2.90,314200,2.90
2012-07-02,3.49,3.70,3.07,3.26,270000,3.26
2012-06-01,2.83,3.48,2.62,3.46,390100,3.46
2012-05-01,3.53,3.70,2.80,2.87,252900,2.87
2012-04-02,3.77,3.90,3.25,3.54,231800,3.54
2012-03-01,3.70,3.90,3.21,3.77,308900,3.77
2012-02-01,2.92,3.92,2.90,3.69,371300,3.69
2012-01-03,2.77,3.12,2.70,2.91,391700,2.91
2011-12-01,2.83,3.15,2.66,2.72,367400,2.72
2011-11-01,2.59,2.94,2.42,2.80,476300,2.80
2011-10-03,2.41,2.87,2.17,2.67,478600,2.67
2011-09-01,3.18,3.32,2.39,2.44,448000,2.44
2011-08-01,3.31,3.50,2.93,3.19,509400,3.19
2011-07-01,3.28,3.50,3.17,3.29,505200,3.29
2011-06-01,3.88,4.04,2.93,3.23,658400,3.23
2011-05-02,3.99,4.08,3.72,3.88,316700,3.88
2011-04-01,4.04,4.24,3.83,3.99,448700,3.99
2011-03-01,3.65,4.14,3.42,4.02,611800,4.02
2011-02-01,3.83,4.01,3.47,3.63,845700,3.63
2011-01-03,4.29,4.44,3.77,3.83,797200,3.83
2010-12-01,3.95,4.39,3.90,4.24,487200,4.24
2010-11-01,4.45,4.83,3.71,3.88,735900,3.88
2010-10-01,4.19,4.61,4.06,4.42,564200,4.42
2010-09-01,3.56,4.20,3.49,4.15,683900,4.15
2010-08-02,3.81,3.84,3.17,3.50,951900,3.50
2010-07-01,3.57,3.97,3.56,3.77,506500,3.77
2010-06-01,4.12,4.23,3.56,3.56,1077600,3.56
2010-05-03,5.10,5.42,4.16,4.17,710400,4.17
2010-04-01,5.13,5.45,5.09,5.09,564100,5.09
2010-03-01,5.11,5.31,4.90,5.09,634700,5.09
2010-02-01,5.10,5.35,4.50,5.13,557500,5.13
2010-01-04,4.97,5.96,4.87,5.09,1126000,5.09
2009-12-01,4.82,5.08,4.34,4.88,577400,4.88
2009-11-02,4.42,4.98,4.25,4.77,595100,4.77
2009-10-01,4.45,5.23,4.32,4.41,1034100,4.41
2009-09-01,3.80,4.73,3.80,4.48,1274500,4.48
2009-08-03,4.17,4.22,3.61,3.83,1081200,3.83
2009-07-01,3.74,4.24,3.74,4.14,1139700,4.14
2009-06-01,4.91,5.71,3.71,3.80,1457000,3.80
2009-05-01,3.75,4.79,3.45,4.76,380100,4.76
2009-04-01,3.79,4.16,3.19,3.75,489300,3.75
2009-03-02,3.45,4.25,2.99,3.84,630900,3.84
2009-02-02,2.44,3.65,2.31,3.46,436500,3.46
2009-01-02,2.92,3.06,2.22,2.40,345900,2.40
2008-12-01,2.96,3.04,1.97,2.94,396700,2.94
2008-11-03,3.21,3.78,2.20,3.10,439300,3.10
2008-10-01,3.77,4.22,2.44,3.34,674100,3.34
2008-09-02,4.09,4.55,3.50,3.80,789600,3.80
2008-08-01,4.49,4.76,3.89,4.02,676200,4.02
2008-07-01,4.78,5.30,3.54,4.47,1254100,4.47
2008-06-02,6.00,6.52,5.07,5.11,935800,5.11
2008-05-01,6.20,6.44,5.42,6.01,524100,6.01
2008-04-01,5.83,6.60,5.76,6.15,619500,6.15
2008-03-03,4.91,6.31,4.75,6.04,810500,6.04
2008-02-01,3.80,5.66,3.50,4.90,883200,4.90
2008-01-02,4.06,4.10,3.48,3.77,762800,3.77
2007-12-03,4.11,4.60,3.93,4.07,1091000,4.07
2007-11-01,6.40,6.55,3.50,4.13,1323700,4.13
2007-10-01,6.55,7.10,6.00,6.53,613900,6.53
2007-09-04,7.65,8.55,6.32,6.54,612700,6.54
2007-08-01,8.65,9.08,5.77,7.70,1239400,7.70
2007-07-02,10.14,10.23,7.66,8.65,800000,8.65
2007-06-01,9.67,12.19,9.36,10.05,1245500,10.05
2007-05-01,9.83,10.47,9.34,9.61,535000,9.61
2007-04-02,9.21,10.40,9.14,9.81,730500,9.81
2007-03-01,8.25,9.35,8.12,9.23,825100,9.23
2007-02-01,7.70,8.66,7.06,8.42,893500,8.42
2007-01-03,7.10,7.83,6.75,7.67,769600,7.67
2006-12-01,6.48,7.31,6.36,7.06,823000,7.06
2006-11-01,4.85,6.50,4.59,6.48,1020300,6.48
2006-10-02,4.08,4.99,3.97,4.82,276700,4.82
2006-09-01,4.05,4.19,3.80,4.10,421500,4.10
2006-08-01,3.86,4.20,3.57,4.03,276700,4.03
2006-07-03,4.39,4.41,3.63,3.93,254800,3.93
2006-06-01,4.32,4.55,3.57,4.44,624700,4.44
2006-05-01,4.48,4.83,3.97,4.32,231800,4.32
2006-04-03,4.76,4.95,4.20,4.38,182900,4.38
2006-03-01,4.45,4.97,4.24,4.86,177300,4.86
2006-02-01,4.44,4.73,3.59,4.45,143800,4.45
2006-01-03,3.72,5.06,3.67,4.46,191600,4.46
2005-12-01,3.15,4.32,3.13,3.90,343000,3.90
2005-11-01,2.50,3.12,2.31,3.06,475300,3.06
2005-10-03,3.54,3.83,2.16,2.49,413100,2.49
2005-09-01,3.98,4.03,3.28,3.54,294100,3.54
2005-08-01,6.09,6.17,3.85,4.00,372600,3.970149
2005-07-01,6.00,6.30,5.67,6.06,239500,6.014776
2005-06-01,6.41,6.80,5.88,6.01,192900,5.965149
