Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,38.200001,38.41,37.93,38.369999,2314800,38.369999
2013-03-01,37.029999,39.619999,33.580002,38.490002,1355200,38.490002
2013-02-01,30.73,39.75,29.799999,36.900002,2581000,36.900002
2013-01-02,30.24,31.77,29.16,30.65,1084200,30.65
2012-12-03,32.48,33.169998,29.25,29.610001,1543800,29.610001
2012-11-01,34.27,43.93,34.16,37.52,2937600,32.369999
2012-10-01,35.380001,37.939999,34.00,34.34,1519500,29.626488
2012-09-04,33.650002,35.349998,32.57,35.23,2037400,30.394325
2012-08-01,31.809999,34.509998,31.50,33.669998,1831100,29.04845
2012-07-02,28.17,32.41,27.139999,31.860001,2343700,27.486893
2012-06-01,26.889999,28.360001,24.959999,28.08,1569100,24.225735
2012-05-01,24.940001,27.940001,23.58,27.43,1674800,23.664955
2012-04-02,19.00,27.469999,18.120001,25.040001,3028500,21.603006
2012-03-01,18.00,19.48,16.799999,18.969999,1200700,16.366175
2012-02-01,17.35,18.889999,16.709999,17.959999,1730600,15.494807
2012-01-03,15.28,16.790001,14.84,16.209999,1483400,13.985012
2011-12-01,14.30,15.50,13.51,15.10,1354700,13.027372
2011-11-01,13.56,15.82,13.14,14.34,1744300,12.37169
2011-10-03,11.98,15.32,11.17,14.12,2126300,12.181887
2011-09-01,15.66,16.690001,11.07,12.00,3047300,10.352879
2011-08-01,17.35,17.360001,10.06,15.58,4073000,13.441487
2011-07-01,19.870001,20.83,17.120001,17.18,1276000,14.821871
2011-06-01,20.610001,21.27,19.15,19.860001,1959900,17.134014
2011-05-02,20.40,22.469999,18.440001,20.57,1719300,17.746559
2011-04-01,19.66,20.83,19.40,20.379999,900100,17.582638
2011-03-01,21.15,21.52,18.51,19.530001,1531400,16.84931
2011-02-01,23.719999,24.219999,20.00,20.870001,2085600,18.005383
2011-01-03,23.889999,24.91,23.43,23.52,827200,20.291641
2010-12-01,24.34,25.969999,23.48,23.709999,732900,20.455561
2010-11-01,26.889999,27.65,23.76,24.18,959600,20.86105
2010-10-01,24.75,26.91,23.92,26.68,792600,23.0179
2010-09-01,22.559999,25.559999,22.33,24.75,757300,21.352812
2010-08-02,21.23,23.50,20.41,22.219999,1016900,19.170078
2010-07-01,20.799999,21.93,19.799999,20.92,1114400,18.048517
2010-06-01,21.450001,23.82,19.610001,20.790001,1351100,17.936363
2010-05-03,23.360001,24.50,20.110001,20.629999,2115500,17.798323
2010-04-01,25.40,29.450001,22.559999,23.41,1458700,20.196739
2010-03-01,24.90,26.530001,24.27,25.280001,1094500,21.810064
2010-02-01,24.040001,25.780001,23.299999,24.780001,1722700,21.378695
2010-01-04,23.280001,26.49,23.23,23.969999,1896600,20.679874
2009-12-01,25.450001,26.99,22.52,23.280001,3992700,20.084585
2009-11-24,27.00,27.00,22.01,24.60,3015100,21.2234
