Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,61.349998,61.84,60.970001,61.099998,2561000,59.608288
2013-03-01,60.799999,61.84,58.66,61.50,2902900,59.998524
2013-02-01,58.560001,61.869999,54.650002,61.09,2962400,59.598534
2013-01-02,56.25,58.43,55.98,57.740002,1563600,56.330322
2012-12-03,56.91,57.25,55.00,55.610001,1606800,54.103561
2012-11-01,53.939999,57.919998,53.580002,56.799999,2219100,55.261322
2012-10-01,52.639999,54.599998,51.779999,53.950001,1418300,52.488529
2012-09-04,51.830002,53.25,51.419998,52.290001,1304200,50.724205
2012-08-01,49.529999,53.349998,48.470001,51.959999,1609300,50.404083
2012-07-02,46.950001,49.950001,45.869999,49.200001,1538300,47.726734
2012-06-01,45.84,47.68,45.040001,46.779999,1951000,45.233818
2012-05-01,51.700001,52.610001,45.639999,46.50,2990700,44.963074
2012-04-02,49.009998,51.98,47.23,51.799999,2164600,50.087898
2012-03-01,46.810001,49.299999,46.740002,49.060001,1821400,47.294243
2012-02-01,48.849998,49.509998,46.259998,46.810001,3353200,45.125221
2012-01-03,47.50,48.639999,45.580002,48.43,2015700,46.686916
2011-12-01,45.759998,47.23,44.360001,46.799999,1995800,44.975002
2011-11-01,45.27,48.48,43.369999,45.970001,2677100,44.177372
2011-10-03,41.630001,51.110001,39.900002,46.619999,3812900,44.802025
2011-09-01,46.810001,47.279999,39.68,41.98,3075000,40.224167
2011-08-01,48.619999,48.759998,41.759998,46.73,3200500,44.775494
2011-07-01,51.369999,52.169998,47.709999,48.119999,1933200,46.107357
2011-06-01,51.970001,52.490002,48.66,51.299999,2035300,49.006683
2011-05-02,53.450001,53.450001,50.950001,52.150002,2091200,49.818687
2011-04-01,53.200001,54.580002,51.259998,52.169998,1994600,49.837788
2011-03-01,52.84,53.169998,49.360001,52.959999,2440600,50.592476
2011-02-01,45.889999,53.049999,45.59,52.639999,2751100,50.286781
2011-01-03,46.259998,46.330002,43.310001,45.740002,2529300,43.69524
2010-12-01,40.490002,46.240002,40.490002,46.009998,2304100,43.809559
2010-11-01,40.009998,41.939999,39.560001,40.119999,2404300,38.201252
2010-10-01,39.389999,40.98,38.720001,39.75,3461400,37.848949
2010-09-01,36.560001,40.080002,36.369999,39.110001,2704600,37.102882
2010-08-02,38.080002,38.77,35.959999,36.240002,3212600,34.380169
2010-07-01,37.009998,38.389999,35.099998,37.669998,6033500,35.736778
2010-06-01,39.25,40.040001,37.060001,37.119999,1956100,35.070877
2010-05-03,42.689999,43.029999,38.110001,39.470001,2385700,37.291153
2010-04-01,42.810001,44.34,42.09,42.459999,1573700,40.116096
2010-03-01,40.830002,43.16,40.630001,42.709999,1386900,40.213055
2010-02-01,39.099998,41.130001,38.450001,40.939999,2077800,38.546535
2010-01-04,38.450001,39.290001,37.330002,38.900002,2368400,36.625801
2009-12-01,39.450001,39.450001,37.400002,38.34,1660500,35.960335
2009-11-02,38.759998,41.00,38.16,38.73,2984300,36.32613
2009-10-01,40.82,42.32,36.810001,38.509998,2873400,36.119781
