Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.74,10.76,10.70,10.74,106000,10.74
2013-03-01,10.99,11.16,10.49,10.76,19200,10.76
2013-02-01,11.04,11.15,10.70,11.10,28500,11.10
2013-01-02,11.01,11.20,10.89,11.02,24100,11.02
2012-12-03,10.46,10.88,10.41,10.82,40200,10.82
2012-11-01,10.19,10.68,9.81,10.48,42000,10.48
2012-10-01,10.30,10.44,10.02,10.19,13500,10.19
2012-09-04,9.66,10.30,9.54,10.28,32000,10.28
2012-08-01,9.61,9.94,9.45,9.68,15000,9.68
2012-07-02,9.57,9.68,8.97,9.59,24400,9.59
2012-06-01,9.25,9.74,9.01,9.54,20400,9.54
2012-05-01,10.48,10.59,9.23,9.36,16700,9.36
2012-04-02,10.49,10.65,10.12,10.48,20500,10.48
2012-03-01,10.98,11.12,10.38,10.58,16200,10.58
2012-02-01,10.54,11.09,10.54,10.98,20500,10.98
2012-01-03,9.61,10.51,9.40,10.51,15500,10.51
2011-12-01,9.62,10.05,8.96,9.40,23300,9.40
2011-11-01,9.92,10.59,8.93,9.75,13900,9.75
2011-10-03,9.26,10.68,8.51,10.43,16300,10.43
2011-09-01,11.02,11.09,9.11,9.36,14500,9.36
2011-08-01,12.24,12.34,10.20,10.98,19000,10.98
2011-07-01,12.13,12.35,11.67,12.17,17000,12.17
2011-06-01,12.29,12.32,11.38,12.12,10700,12.12
2011-05-02,12.53,12.63,11.80,12.28,13400,12.28
2011-04-01,11.86,12.59,11.86,12.51,23300,12.51
2011-03-01,11.11,11.84,10.75,11.83,19000,11.83
2011-02-01,11.68,11.90,10.62,11.07,18600,11.07
2011-01-03,11.96,12.25,11.48,11.71,22900,11.71
2010-12-01,11.43,11.97,11.24,11.95,39100,11.95
2010-11-01,11.47,12.58,11.01,11.31,43700,11.31
2010-10-01,11.10,11.44,10.93,11.34,43600,11.34
2010-09-01,10.00,11.09,10.00,11.02,36400,11.02
2010-08-02,10.00,10.15,9.67,9.81,30100,9.81
2010-07-01,9.12,9.87,9.03,9.87,33700,9.87
2010-06-01,8.91,9.80,8.78,9.19,25000,9.19
2010-05-03,10.25,10.32,8.47,9.15,45900,9.15
2010-04-01,10.03,11.31,10.00,10.26,38700,10.26
2010-03-01,9.52,10.08,9.38,9.95,25800,9.95
2010-02-01,9.43,9.63,8.76,9.41,37200,9.41
2010-01-04,10.40,10.76,9.22,9.31,56600,9.31
2009-12-01,9.94,10.53,9.94,10.40,40800,10.40
2009-11-02,9.67,10.51,9.36,9.92,31400,9.92
2009-10-01,9.51,10.14,9.11,9.55,42600,9.55
2009-09-01,9.04,9.98,8.81,9.68,32000,9.68
2009-08-03,9.66,9.79,8.60,9.07,34800,9.07
2009-07-01,8.36,9.60,7.68,9.56,31000,9.56
2009-06-01,8.81,9.16,7.71,8.38,53600,8.38
2009-05-01,7.30,8.70,7.18,8.55,57700,8.55
2009-04-01,6.11,7.43,6.09,7.21,62900,7.21
2009-03-02,5.19,6.53,5.00,6.23,55900,6.23
2009-02-02,5.69,6.52,5.30,5.32,60500,5.32
2009-01-02,6.53,7.11,5.59,5.72,132000,5.72
2008-12-01,9.75,11.80,5.63,6.42,125000,6.42
2008-11-03,11.97,11.97,8.47,9.78,71200,5.186282
2008-10-01,13.33,13.36,8.50,11.02,74900,5.843847
2008-09-02,16.16,16.389999,12.50,13.22,61500,7.010496
2008-08-01,18.49,18.49,15.83,16.49,37300,8.744558
2008-07-01,17.90,18.940001,16.58,18.639999,61300,9.884692
2008-06-02,20.83,21.040001,17.82,17.969999,55700,9.529394
2008-05-01,21.57,22.50,20.32,20.90,40400,11.083158
2008-04-01,19.879999,21.75,19.879999,21.57,42700,11.438456
2008-03-03,21.379999,21.700001,17.629999,19.75,68000,10.473319
2008-02-01,21.75,23.42,19.709999,21.34,54800,11.316488
2008-01-02,24.059999,24.389999,16.50,21.200001,122200,11.242248
2007-12-03,31.190001,33.75,23.870001,24.27,50500,12.870252
2007-11-01,34.599998,34.84,28.57,30.860001,53800,14.373503
2007-10-01,33.00,36.139999,31.950001,35.759998,54900,16.655748
2007-09-04,28.50,32.650002,27.299999,32.450001,56200,15.114069
2007-08-01,26.950001,28.32,22.200001,28.299999,56700,13.181144
2007-07-02,25.34,29.40,25.34,27.870001,37200,12.980865
2007-06-01,23.90,25.48,23.690001,25.309999,31000,11.788507
2007-05-01,22.90,24.09,22.42,23.790001,41700,11.080545
2007-04-02,21.469999,23.15,21.15,22.459999,29000,10.461078
2007-03-01,21.25,22.15,19.209999,21.219999,57600,9.883529
2007-02-01,21.450001,23.50,21.200001,21.67,34700,10.093123
2007-01-03,23.00,23.34,20.040001,21.66,57700,10.088466
2006-12-01,23.26,25.27,22.23,22.799999,54100,10.619437
2006-11-01,21.700001,23.709999,21.200001,23.200001,25800,9.541725
2006-10-02,19.65,21.59,19.65,21.57,26800,8.871336
2006-09-01,19.049999,19.90,18.940001,19.90,21400,8.184496
2006-08-01,18.950001,19.65,18.40,19.040001,20000,7.830795
2006-07-03,19.040001,19.42,17.24,18.75,23500,7.711523
