Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.01,0.01,0.01,0.01,000,0.00
2013-03-01,0.01,0.01,0.005,0.01,2100,0.00
2013-02-01,0.01,0.01,0.01,0.01,2400,0.00
2013-01-01,0.01,0.015,0.01,0.01,100,0.00
2012-12-03,0.01,0.02,0.01,0.01,4200,0.00
2012-11-01,0.015,0.015,0.01,0.01,2400,0.00
2012-10-01,0.01,0.015,0.01,0.01,1000,0.00
2012-09-03,0.015,0.015,0.01,0.01,100,0.00
2012-08-01,0.015,0.015,0.015,0.015,700,0.00
2012-07-02,0.02,0.02,0.015,0.015,1700,0.00
2012-06-01,0.015,0.02,0.015,0.02,1100,0.00
2012-05-01,0.02,0.02,0.015,0.015,000,0.00
2012-04-02,0.035,0.035,0.02,0.02,10400,0.00
2012-03-01,0.04,0.045,0.035,0.035,1700,0.00
2012-02-01,0.04,0.055,0.04,0.04,1800,0.00
2012-01-02,0.04,0.04,0.035,0.04,600,0.00
2011-12-01,0.04,0.045,0.035,0.04,2100,0.00
2011-11-01,37.72,42.55,0.04,0.04,64100,0.00
2011-10-03,32.71,42.15,0.04,39.73,118300,0.00
2011-09-01,37.42,38.46,0.045,0.05,74800,0.00
2011-08-01,39.50,39.66,0.06,37.55,126400,0.00
2011-07-01,41.20,43.14,0.08,39.12,102200,0.00
2011-06-01,0.18,41.62,0.10,41.33,92500,0.00
2011-05-02,0.22,42.46,0.155,0.19,36700,0.00
2011-04-01,0.27,40.01,0.175,38.68,46100,0.00
2011-03-01,39.86,40.12,0.23,0.27,26200,0.00
2011-02-01,0.30,44.45,0.22,0.24,70000,0.00
2011-01-03,41.93,43.1992,0.19,0.265,53600,0.00
2010-12-01,29.65,42.38,0.165,41.52,72300,0.00
2010-11-01,25.48,29.71,0.10,0.195,118500,0.00
2010-10-01,28.12,31.10,0.095,25.32,217100,0.00
2010-09-01,25.73,28.68,0.08,0.10,99800,0.00
2010-08-02,29.30,29.98,0.10,0.115,216000,0.00
2010-07-01,25.59,31.82,0.10,28.90,152100,0.00
2010-06-01,30.06,30.68,0.10,0.115,101600,0.00
2010-05-03,30.88,33.52,0.105,30.46,118400,0.00
2010-04-01,0.105,32.35,0.105,0.115,84100,0.00
2010-03-01,21.70,27.95,0.105,0.105,181900,0.00
2010-02-01,0.17,25.53,0.12,21.50,188000,0.00
2010-01-04,23.64,29.06,0.125,0.18,250500,0.00
2009-12-01,21.73,24.76,0.09,23.42,138400,0.00
2009-11-02,0.02,22.89,0.015,21.53,133900,0.00
2009-10-01,0.01,23.84,0.01,0.02,130900,0.00
2009-09-01,0.01,0.03,0.01,0.01,800,0.00
2009-08-03,0.01,0.03,0.01,0.01,300,0.00
2009-07-01,0.015,0.015,0.01,0.01,000,0.00
2009-06-01,0.01,0.015,0.01,0.015,000,0.00
2009-05-01,0.01,0.01,0.01,0.01,000,0.00
2009-04-01,0.005,0.01,0.005,0.01,000,0.00
2009-03-02,0.005,0.01,0.005,0.005,100,0.00
2009-02-02,0.01,0.015,0.005,0.005,400,0.00
2009-01-01,0.005,0.005,0.005,0.005,000,0.00
2008-12-01,0.015,0.015,0.005,0.005,000,0.00
2008-11-03,0.01,0.015,0.01,0.015,100,0.00
2008-10-01,0.015,0.02,0.01,0.01,200,0.00
2008-09-01,0.04,0.04,0.015,0.015,400,0.00
2008-08-01,0.05,0.05,0.04,0.04,000,0.00
2008-07-01,0.06,0.06,0.05,0.05,000,0.00
2008-06-02,0.045,0.08,0.045,0.06,100,0.00
2008-05-01,0.05,0.05,0.045,0.045,100,0.00
2008-04-01,0.07,0.08,0.05,0.05,100,0.00
2008-03-03,0.08,0.08,0.07,0.07,000,0.00
2008-02-01,0.07,0.08,0.07,0.08,000,0.00
2008-01-01,0.095,0.11,0.07,0.07,000,0.00
2007-12-03,0.105,0.105,0.095,0.095,000,0.00
2007-11-01,0.12,0.12,0.105,0.105,000,0.00
2007-10-01,0.13,0.13,0.10,0.12,500,0.00
2007-09-03,0.12,0.13,0.10,0.13,000,0.00
2007-08-01,0.12,0.12,0.12,0.12,000,0.00
2007-07-02,0.12,0.12,0.12,0.12,000,0.00
2007-06-01,0.12,0.12,0.12,0.12,000,0.00
2007-05-01,0.105,0.18,0.105,0.12,000,0.00
2007-04-02,0.11,0.125,0.105,0.105,000,0.00
2007-03-01,0.10,0.11,0.10,0.11,000,0.00
2007-02-01,0.10,0.15,0.10,0.10,100,0.00
2007-01-01,0.10,0.115,0.10,0.10,100,0.00
2006-12-01,44.12,44.95,0.10,0.10,30800,0.00
2006-11-01,41.85,45.80,40.56,44.11,245000,0.00
2006-10-02,36.85,42.50,36.72,42.00,194300,0.00
2006-09-01,37.59,38.56,36.44,37.01,117700,0.00
2006-08-01,36.45,37.71,35.04,37.52,156800,0.00
2006-07-03,38.33,38.52,35.62,36.61,183000,0.00
2006-06-01,39.91,40.60,36.60,38.33,367900,0.00
2006-05-01,35.86,40.50,34.99,39.86,539800,0.00
2006-04-03,33.82,35.66,32.68,35.66,332400,0.00
2006-03-01,39.20,39.35,33.34,33.82,536700,0.00
2006-02-01,39.60,39.75,38.12,39.20,200000,0.00
2006-01-03,38.32,40.77,38.10,39.70,191500,0.00
2005-12-01,38.95,40.78,37.61,37.98,134600,0.00
2005-11-01,37.26,39.28,37.04,38.60,155200,0.00
2005-10-03,39.70,40.39,37.12,37.41,187400,0.00
2005-09-01,41.95,42.78,39.14,39.84,117100,0.00
2005-08-01,41.25,43.06,41.09,42.00,221400,0.00
2005-07-01,42.95,43.80,41.30,41.50,225000,0.00
2005-06-01,40.45,44.76,40.43,42.90,256400,0.00
2005-05-02,42.00,42.87,38.88,40.34,282100,0.00
2005-04-01,43.05,43.87,40.93,42.32,301000,0.00
2005-03-01,40.65,43.29,38.90,42.90,224600,0.00
2005-02-01,40.40,42.13,40.00,40.55,173800,0.00
2005-01-03,39.18,41.97,36.62,40.90,240400,0.00
2004-12-01,37.32,39.78,36.787,39.18,163500,0.00
2004-11-01,35.95,38.73,35.69,37.42,218400,0.00
2004-10-01,37.10,38.40,35.52,36.17,200400,0.00
2004-09-01,38.95,39.70,35.11,36.61,281000,0.00
2004-08-02,34.43,39.70,31.29,38.76,311500,0.00
2004-07-01,36.77,36.77,33.65,34.43,251200,0.00
2004-06-01,38.95,40.53,35.96,36.52,315400,0.00
2004-05-03,37.20,39.15,36.45,39.00,237500,0.00
2004-04-01,40.40,41.26,36.70,37.25,240300,0.00
2004-03-01,41.82,43.80,39.01,40.26,154800,0.00
2004-02-02,43.70,45.25,41.26,41.62,162800,0.00
2004-01-02,41.74,45.90,41.74,43.53,149300,0.00
2003-12-01,42.70,43.73,40.46,41.72,146700,0.00
2003-11-03,39.50,42.85,39.50,42.70,162000,0.00
2003-10-01,35.40,39.98,34.38,39.50,183200,0.00
2003-09-02,37.05,37.98,34.01,35.30,121000,0.00
2003-08-01,37.20,37.39,35.00,36.98,118800,0.00
2003-07-01,35.70,38.30,35.34,37.20,139100,0.00
2003-06-02,35.10,37.36,34.46,35.70,92700,0.00
2003-05-01,34.01,35.15,32.04,35.05,103400,0.00
2003-04-01,31.70,34.30,30.75,34.06,127900,0.00
2003-03-03,31.35,32.44,28.97,31.70,146000,0.00
2003-02-03,32.50,33.05,30.37,31.17,80900,0.00
2003-01-02,33.40,34.51,30.90,32.31,97500,0.00
2002-12-02,31.50,34.40,31.48,33.50,117000,0.00
2002-11-01,34.05,34.10,30.55,30.91,96200,0.00
2002-10-01,34.10,35.10,32.09,34.15,118800,0.00
2002-09-03,32.90,34.10,31.01,34.10,71400,0.00
2002-08-01,33.35,35.60,31.52,33.00,114300,0.00
2002-07-01,31.20,35.46,28.60,33.35,205400,0.00
