Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.50,17.690001,17.440001,17.690001,1303000,14.514823
2013-03-01,17.25,17.639999,16.799999,17.59,1070100,14.432772
2013-02-01,17.59,17.809999,17.049999,17.25,301100,13.824639
2013-01-02,16.51,17.68,16.49,17.459999,358300,13.992939
2012-12-03,16.74,16.99,16.10,16.23,261300,13.007182
2012-11-01,16.959999,16.99,15.10,16.690001,447800,13.057368
2012-10-01,17.35,17.530001,15.95,16.91,875400,13.229484
2012-09-04,17.52,18.27,17.15,17.34,192000,13.565893
2012-08-01,16.780001,17.66,16.450001,17.52,163200,13.404306
2012-07-02,16.09,17.00,16.030001,16.700001,134500,12.776936
2012-06-01,15.64,16.629999,15.64,16.07,194800,12.29493
2012-05-01,15.84,16.40,15.51,15.88,115100,11.852327
2012-04-02,15.67,16.23,15.28,16.129999,120000,12.038918
2012-03-01,14.98,16.299999,14.79,15.65,151900,11.680662
2012-02-01,14.85,15.37,14.75,14.95,96700,10.881154
2012-01-03,13.33,15.00,13.05,14.72,105800,10.713753
2011-12-01,13.60,14.17,13.01,13.13,137800,9.556493
2011-11-01,13.77,14.15,12.37,13.60,160100,9.615759
2011-10-03,13.08,14.50,11.79,14.01,130500,9.905645
2011-09-01,15.01,15.18,12.98,13.17,118900,9.311731
2011-08-01,15.60,16.15,13.53,15.03,160300,10.331637
2011-07-01,16.139999,16.469999,15.54,15.56,87300,10.695961
2011-06-01,16.290001,16.50,15.89,16.120001,97100,11.080906
2011-05-02,16.34,16.450001,16.02,16.33,69000,10.952139
2011-04-01,16.40,16.58,15.81,16.34,101300,10.958846
2011-03-01,17.049999,17.07,16.25,16.35,92700,10.965552
2011-02-01,16.450001,17.110001,16.360001,17.02,81800,11.143122
2011-01-03,16.42,16.59,16.219999,16.43,107000,10.756845
2010-12-01,16.52,16.92,16.209999,16.35,130200,10.704468
2010-11-01,16.370001,17.139999,16.16,16.42,169200,10.495098
2010-10-01,16.10,16.59,16.00,16.290001,155800,10.412007
2010-09-01,17.23,17.610001,15.94,16.07,612000,10.27139
2010-08-02,17.10,17.280001,16.41,17.030001,57200,10.619986
2010-07-01,16.43,17.120001,16.09,16.90,50400,10.538917
2010-06-01,16.98,17.450001,15.75,16.459999,106200,10.26453
2010-05-03,18.110001,18.129999,16.25,16.940001,91500,10.35137
2010-04-01,18.219999,18.49,17.66,18.01,51900,11.005205
2010-03-01,17.790001,18.299999,17.60,18.01,54600,11.005205
2010-02-01,17.67,18.08,17.41,17.74,58300,10.629436
2010-01-04,18.16,18.190001,17.43,17.67,78800,10.587494
2009-12-01,17.23,18.299999,17.200001,17.99,175300,10.779231
2009-11-02,17.92,18.42,17.01,17.280001,96300,10.353814
2009-10-01,18.200001,18.799999,17.559999,17.91,186800,10.731297
2009-09-24,19.049999,19.200001,18.15,18.299999,541600,10.964975
