Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.72,7.81,7.47,7.66,364800,7.66
2013-03-01,9.04,9.17,7.04,7.86,87400,7.86
2013-02-01,7.04,9.25,7.02,9.25,112800,9.25
2013-01-01,7.00,7.97,6.8268,6.99,46900,6.99
2012-12-03,6.55,7.08,6.04,7.00,49000,7.00
2012-11-01,6.44,7.09,5.70,6.48,55000,6.48
2012-10-01,6.69,6.763,5.00,6.36,89900,6.36
2012-09-03,7.10,7.20,6.40,6.63,70900,6.63
2012-08-01,6.02,7.11,5.48,7.10,124400,7.10
2012-07-02,6.00,7.49,5.88,6.01,114400,6.01
2012-06-01,6.33,6.48,5.68,6.05,153200,6.05
2012-05-01,11.21,11.45,6.26,6.47,167200,6.47
2012-04-02,11.07,11.63,9.84,11.20,89300,11.20
2012-03-01,10.98,11.84,10.40,11.14,86000,11.14
2012-02-01,12.78,13.70,10.97,10.97,251600,10.97
2012-01-02,10.24,13.89,10.24,12.67,162200,12.67
2011-12-01,9.64,10.74,9.35,10.24,170800,10.24
2011-11-01,10.50,10.99,8.23,9.64,193400,9.64
2011-10-03,9.01,11.63,8.36,10.89,244500,10.89
2011-09-01,8.77,11.15,0.03,9.10,174400,9.10
2011-08-01,14.47,14.56,7.19,8.78,333600,8.78
2011-07-01,18.22,18.96,0.047,14.30,287900,14.30
2011-06-01,18.20,18.38,16.26,18.15,216500,18.15
2011-05-02,17.76,19.64,0.05,18.23,203000,18.23
2011-04-01,18.31,19.46,17.15,17.70,84300,17.70
2011-03-01,19.71,20.36,16.44,18.21,136500,18.21
2011-02-01,15.72,19.87,0.06,19.65,211000,19.65
2011-01-03,16.45,16.62,0.06,15.69,140000,15.69
2010-12-01,14.64,16.82,14.49,16.45,233500,16.45
2010-11-01,0.06,14.81,0.06,14.45,321900,14.45
2010-10-01,0.07,0.07,0.06,0.06,000,0.06
2010-09-01,0.07,0.19,0.05,0.07,000,0.07
2010-08-02,0.07,0.07,0.07,0.07,000,0.07
2010-07-01,0.07,0.07,0.07,0.07,000,0.07
2010-06-01,0.071,0.071,0.07,0.07,000,0.07
2010-05-03,0.071,0.12,0.071,0.071,000,0.071
2010-04-01,0.09,0.09,0.071,0.071,000,0.071
2010-03-01,0.07,0.154,0.055,0.09,100,0.09
2010-02-01,0.08,0.08,0.07,0.07,000,0.07
2010-01-29,0.10,0.10,0.10,0.10,000,0.10
2009-11-03,0.11,0.11,0.11,0.11,600,0.11
2009-10-01,0.15,0.15,0.15,0.15,000,0.15
2009-09-01,0.10,0.15,0.08,0.088,600,0.088
2009-08-03,0.119,0.119,0.04,0.10,1400,0.10
2009-07-01,1.32,1.32,0.10,0.12,100,0.12
2009-06-01,1.32,1.32,1.32,1.32,000,1.32
2009-05-01,1.32,1.32,0.90,1.32,000,1.32
2009-04-01,1.22,1.32,1.17,1.32,000,1.32
2009-03-02,1.32,1.32,1.20,1.32,000,1.32
2009-02-02,0.97,1.33,0.97,1.29,000,1.29
2009-01-01,0.75,1.05,0.75,0.96,000,0.96
2008-12-01,0.91,0.91,0.66,0.75,000,0.75
2008-11-03,0.99,1.06,0.90,0.90,000,0.90
2008-10-01,1.20,1.20,0.86,0.86,000,0.86
2008-09-01,1.58,1.58,1.20,1.20,000,1.20
2008-08-08,1.90,1.90,1.59,1.59,100,1.59
2008-07-01,1.43,1.92,1.43,1.78,000,1.78
2008-06-02,1.65,1.72,1.44,1.49,100,1.49
2008-05-02,1.20,1.90,1.20,1.70,000,1.70
2008-04-01,1.86,1.99,1.86,1.87,000,1.87
2008-03-03,1.86,1.95,1.80,1.86,000,1.86
2008-02-01,1.92,2.05,1.85,1.86,000,1.86
2008-01-02,1.79,1.93,1.79,1.92,100,1.92
2007-12-03,2.00,2.00,1.74,1.91,500,1.91
2007-11-01,0.90,1.74,0.88,1.74,000,1.74
2007-10-01,0.95,0.95,0.88,0.90,000,0.90
2007-09-03,1.14,1.26,0.984,0.984,000,0.984
2007-08-01,1.80,1.80,0.913,1.21,000,1.21
2007-07-02,1.92,1.96,1.89,1.90,000,1.90
2007-06-01,2.06,2.25,1.95,1.95,000,1.95
2007-05-02,2.18,2.19,1.97,1.99,000,1.99
2007-04-02,2.06,2.16,1.91,2.16,000,2.16
2007-03-01,2.26,2.40,2.10,2.11,000,2.11
2007-02-01,2.21,2.59,2.15,2.29,000,2.29
2007-01-02,1.82,2.28,1.82,2.27,000,2.27
2006-12-01,2.09,2.50,2.03,2.05,000,2.05
2006-11-01,2.02,2.19,2.02,2.14,000,2.14
2006-10-02,1.85,2.10,1.85,1.98,000,1.98
2006-09-01,1.63,1.88,1.58,1.88,000,1.88
2006-08-01,1.65,1.75,1.55,1.69,000,1.69
2006-07-03,1.71,1.74,1.62,1.62,000,1.62
2006-06-01,1.93,1.93,1.71,1.71,000,1.71
2006-05-02,2.01,2.02,1.92,1.93,000,1.93
2006-04-03,2.05,2.05,1.92,2.01,300,2.01
2006-03-01,1.92,2.40,1.92,2.40,000,2.40
2006-02-01,2.01,2.01,1.91,1.94,000,1.94
2006-01-02,2.30,2.31,1.97,1.97,000,1.97
2005-12-01,2.35,2.37,2.27,2.30,000,2.30
2005-11-01,2.28,2.37,2.28,2.35,000,2.35
2005-10-03,2.23,2.33,2.22,2.27,000,2.27
2005-09-01,2.24,2.28,2.23,2.24,000,2.24
2005-08-01,1.98,2.35,1.98,2.23,000,2.23
2005-07-01,1.95,1.99,1.81,1.98,000,1.98
2005-06-01,2.00,2.20,1.87,1.89,400,1.89
2005-05-02,2.06,2.24,1.95,1.96,100,1.96
2005-04-01,1.78,2.23,1.77,2.05,100,2.05
2005-03-01,1.72,1.90,1.72,1.80,000,1.80
2005-02-01,1.73,2.00,1.69,1.78,000,1.78
2005-01-03,1.60,1.69,1.45,1.69,200,1.69
2004-12-01,1.45,1.61,1.41,1.52,200,1.52
2004-11-01,1.60,1.60,1.35,1.46,100,1.46
2004-10-01,1.47,1.62,1.38,1.60,000,1.60
2004-09-01,1.76,1.76,1.40,1.52,000,1.52
2004-08-02,1.93,1.93,1.61,1.75,000,1.75
2004-07-01,2.30,2.30,2.00,2.03,000,2.03
2004-06-01,2.33,2.35,2.15,2.35,400,2.35
2004-05-03,2.24,2.42,2.07,2.36,000,2.36
2004-04-01,2.00,2.35,1.98,2.25,000,2.25
2004-03-01,2.27,2.27,1.95,2.05,000,2.05
2004-02-02,2.10,2.80,2.00,2.25,000,2.25
2004-01-02,1.51,2.05,1.50,2.00,000,2.00
2003-12-01,1.41,1.68,1.40,1.50,400,1.50
2003-11-03,1.38,1.50,1.31,1.40,000,1.40
2003-10-01,1.32,1.88,1.25,1.41,100,1.41
2003-09-01,1.10,1.51,1.10,1.38,000,1.38
2003-08-01,1.12,1.12,0.97,1.00,000,1.00
2003-07-01,1.50,1.50,1.10,1.13,000,1.13
2003-06-02,0.80,1.68,0.75,1.50,000,1.50
2003-05-02,0.78,0.83,0.69,0.80,000,0.80
2003-04-01,0.55,0.70,0.45,0.70,000,0.70
2003-03-03,0.68,0.68,0.52,0.58,000,0.58
2003-02-03,0.56,0.65,0.55,0.65,000,0.65
2003-01-02,0.50,0.65,0.50,0.55,000,0.55
2002-12-02,0.72,0.76,0.55,0.55,100,0.55
2002-11-01,0.75,0.86,0.55,0.73,000,0.73
2002-10-01,0.70,0.80,0.55,0.80,000,0.80
2002-09-02,1.00,1.00,0.67,0.73,000,0.73
2002-08-01,1.03,1.03,0.66,0.92,000,0.92
2002-07-01,1.05,1.40,1.00,1.00,000,1.00
2002-06-03,1.60,1.66,0.92,1.05,100,1.05
2002-05-02,1.75,1.86,1.50,1.74,000,1.74
2002-04-02,2.43,2.43,1.82,1.82,000,1.82
2002-03-01,2.54,2.57,2.02,2.30,000,2.30
2002-02-01,2.63,2.70,2.06,2.55,000,2.55
2002-01-02,2.80,3.25,2.60,2.61,000,2.61
2001-12-03,2.98,3.59,2.66,2.66,000,2.66
2001-11-01,2.56,3.65,2.56,3.00,000,3.00
2001-10-01,2.12,2.90,2.01,2.51,300,2.51
2001-09-03,2.38,2.38,1.40,2.14,1400,2.14
2001-08-01,3.13,3.21,2.35,2.38,000,2.38
2001-07-02,3.26,3.40,2.22,2.56,000,2.56
2001-06-01,4.45,4.55,3.21,3.46,000,3.46
2001-05-02,3.86,5.43,3.86,4.30,500,4.30
2001-04-02,5.41,5.41,3.91,3.91,000,3.91
2001-03-01,6.96,7.56,5.37,5.37,000,5.37
2001-02-01,9.60,10.39,6.65,6.65,000,6.65
2001-01-02,7.20,11.62,6.15,10.80,3500,10.80
2000-12-01,11.25,11.25,5.50,6.20,000,6.20
2000-11-01,15.12,15.45,10.60,10.60,000,10.60
2000-10-02,16.30,17.12,11.10,17.12,000,17.12
2000-09-01,21.00,22.60,15.30,17.80,000,17.80
2000-08-01,23.20,25.50,21.00,21.00,000,21.00
2000-07-03,25.20,26.00,20.70,22.10,000,22.10
2000-06-01,26.00,29.50,25.00,25.00,000,25.00
2000-05-01,38.40,41.80,26.35,27.20,000,27.20
2000-04-03,41.50,43.20,36.60,38.40,000,38.40
2000-03-01,59.20,59.50,42.10,42.10,200,42.10
2000-02-01,47.00,74.50,44.50,59.10,100,59.10
2000-01-03,43.00,57.00,39.50,45.00,100,45.00
