Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,137.369995,138.699997,137.369995,138.559998,84200,128.423889
2013-03-01,131.100006,137.720001,129.270004,136.669998,91600,126.672142
2013-02-01,121.00,132.179993,117.839996,131.869995,95000,122.223274
2013-01-02,115.75,122.830002,115.75,119.410004,60100,110.674774
2012-12-03,102.620003,116.059998,100.589996,114.00,79800,105.66053
2012-11-01,96.669998,105.480003,95.970001,101.790001,107000,94.343727
2012-10-01,88.269997,101.489998,88.269997,96.57,51900,89.505592
2012-09-04,84.419998,89.050003,82.480003,88.599998,59400,82.118622
2012-08-01,90.089996,90.309998,82.940002,83.980003,58600,77.836594
2012-07-02,78.459999,92.279999,76.120003,89.110001,84500,82.591316
2012-06-01,71.00,81.160004,67.75,78.07,71900,72.358925
2012-05-01,82.379997,83.529999,68.870003,71.620003,89100,66.380768
2012-04-02,68.739998,82.32,68.580002,81.910004,51400,73.217514
2012-03-01,69.330002,72.730003,68.379997,68.519997,50400,61.248489
2012-02-01,66.209999,72.50,65.57,68.830002,52300,61.525593
2012-01-03,57.279999,66.32,56.860001,65.870003,46700,58.879719
2011-12-01,56.07,58.93,52.509998,55.939999,54900,50.00351
2011-11-01,56.610001,57.43,51.68,56.369999,72400,50.387878
2011-10-03,49.220001,59.07,47.790001,57.599998,50500,51.487347
2011-09-01,57.959999,58.549999,48.189999,49.720001,72800,44.443592
2011-08-01,59.889999,59.950001,49.66,57.50,91700,51.397961
2011-07-01,59.240002,60.540001,57.740002,59.619999,74600,53.29298
2011-06-01,60.610001,61.50,55.860001,58.939999,83100,52.685143
2011-05-02,59.220001,63.43,56.34,60.110001,99500,53.73098
2011-04-01,59.580002,59.599998,55.549999,59.16,92000,50.70747
2011-03-01,54.919998,59.029999,52.939999,58.77,105900,50.373192
2011-02-01,52.880001,56.130001,51.450001,54.68,113000,46.867554
2011-01-03,56.689999,60.02,51.169998,52.279999,140200,44.810455
2010-12-01,52.439999,56.630001,52.07,56.450001,84500,48.384666
2010-11-01,50.50,51.759998,46.73,51.709999,87300,44.321896
2010-10-01,47.470001,50.400002,47.450001,50.400002,94300,43.199066
2010-09-01,42.349998,48.720001,41.389999,47.48,132300,40.696259
2010-08-02,54.060001,54.060001,40.560001,41.529999,312400,35.596371
2010-07-01,45.540001,54.919998,43.59,53.16,73500,45.564728
2010-06-01,50.68,52.57,45.189999,45.540001,173300,39.03344
2010-05-03,55.540001,56.23,45.560001,51.169998,85400,43.859047
