Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.94,5.01,4.65,4.66,2735000,3.927701
2013-03-01,6.19,7.32,4.56,4.93,3032200,4.155272
2013-02-01,12.22,12.33,9.90,9.97,1131200,8.346316
2013-01-02,11.63,13.03,11.43,12.29,803800,10.19603
2012-12-03,11.76,11.85,10.72,11.43,780100,9.412178
2012-11-01,15.05,15.18,11.41,11.80,931600,9.63389
2012-10-01,14.99,15.17,14.76,15.02,327300,12.163539
2012-09-04,14.17,15.05,14.08,14.96,400100,12.114949
2012-08-01,13.85,14.50,13.45,14.11,382300,11.351444
2012-07-02,12.90,13.90,12.86,13.78,529900,11.011024
2012-06-01,13.24,13.74,12.55,12.81,831300,10.164437
2012-05-01,14.24,14.49,13.30,13.34,360600,10.510908
2012-04-02,13.80,14.34,13.42,14.28,355700,11.175066
2012-03-01,14.61,14.61,13.57,13.84,458900,10.757924
2012-02-01,14.89,15.22,14.40,14.49,435300,11.185635
2012-01-03,14.43,14.90,14.05,14.83,390900,11.37354
2011-12-01,13.15,14.55,12.85,14.30,658800,10.896313
2011-11-01,13.25,13.99,12.52,13.15,654200,9.955212
2011-10-03,14.12,14.47,12.97,13.50,1088000,10.146014
2011-09-01,15.49,15.50,13.59,14.19,344300,10.596612
2011-08-01,15.76,16.280001,13.12,15.48,524500,11.489118
2011-07-01,15.21,16.34,15.10,15.61,337200,11.51478
2011-06-01,15.42,16.18,14.87,15.22,701600,11.159622
2011-05-02,15.30,15.62,14.95,15.45,241700,11.259876
2011-04-01,15.19,15.42,14.33,15.18,203200,10.99501
2011-03-01,15.45,15.75,14.72,15.13,190300,10.890527
2011-02-01,15.34,15.67,15.15,15.46,160400,11.059704
2011-01-03,15.00,15.40,14.73,15.31,185700,10.886669
2010-12-01,13.99,14.98,13.90,14.76,196200,10.432173
2010-11-01,13.43,14.00,13.31,13.87,208900,9.742652
2010-10-01,13.86,14.38,13.26,13.38,458100,9.336946
2010-09-01,12.83,14.00,12.65,13.85,171100,9.600734
2010-08-02,13.15,13.48,12.30,12.50,164600,8.609079
2010-07-01,11.87,12.97,11.35,12.93,87400,8.843961
2010-06-01,11.76,12.53,11.49,11.60,75300,7.879046
2010-05-03,12.55,12.59,10.38,11.95,176000,8.116776
2010-04-01,12.00,12.89,11.29,12.50,113100,8.490352
2010-03-01,12.02,13.55,11.86,12.02,211100,8.164323
2010-02-01,11.42,12.08,10.74,12.05,130400,8.184699
2010-01-04,11.07,11.97,11.06,11.29,169800,7.668486
2009-12-03,10.36,11.27,9.63,10.95,149500,7.437548
