Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,57.419998,57.419998,56.720001,56.970001,227000,54.816521
2013-03-01,53.66,57.470001,52.970001,57.349998,214200,55.182156
2013-02-01,52.009998,53.990002,51.419998,53.939999,248700,51.901054
2013-01-02,48.950001,52.389999,48.139999,51.529999,266800,49.582153
2012-12-03,48.02,48.549999,46.610001,47.720001,302000,45.695549
2012-11-01,51.389999,53.360001,45.189999,47.669998,359100,45.647667
2012-10-01,51.709999,53.060001,49.970001,51.279999,169000,48.88623
2012-09-04,50.720001,53.189999,50.07,51.709999,278200,49.296158
2012-08-01,50.119999,51.139999,48.080002,50.650002,179300,48.285645
2012-07-02,51.07,52.740002,47.560001,50.009998,282500,47.46566
2012-06-01,49.560001,53.259998,49.360001,51.049999,220900,48.452747
2012-05-01,54.400002,55.389999,49.630001,50.669998,436500,48.092079
2012-04-02,54.759998,55.490002,52.029999,54.509998,255900,51.736713
2012-03-01,53.009998,55.00,51.959999,54.77,242500,51.77272
2012-02-01,52.75,53.82,51.150002,52.779999,221400,49.891621
2012-01-03,53.18,53.439999,51.009998,52.419998,209100,49.551319
2011-12-01,50.529999,52.869999,48.799999,52.169998,215000,49.107479
2011-11-01,47.41,50.830002,45.98,50.790001,250000,47.808491
2011-10-03,44.349998,49.849998,41.98,47.970001,194800,44.950302
2011-09-01,50.650002,50.970001,44.66,44.669998,263200,41.858036
2011-08-01,51.529999,51.66,44.959999,50.48,290600,47.302299
2011-07-01,52.580002,54.66,47.610001,51.049999,224500,47.836414
2011-06-01,53.32,53.48,49.93,52.34,198600,48.834637
2011-05-02,52.540001,53.799999,51.029999,53.400002,222300,49.823647
2011-04-01,50.41,52.75,48.849998,52.450001,123300,48.937267
2011-03-01,48.209999,50.189999,46.50,50.130001,176000,46.608757
2011-02-01,48.23,50.060001,46.950001,48.169998,184300,44.786427
2011-01-03,47.779999,49.139999,46.75,48.060001,150300,44.684158
2010-12-01,46.450001,48.450001,46.360001,47.57,160500,44.062057
2010-11-01,45.029999,46.919998,44.540001,45.669998,137000,42.302166
2010-10-01,46.09,47.610001,44.400002,44.880001,170400,41.403702
2010-09-01,42.32,46.549999,41.93,45.669998,159900,42.132507
2010-08-02,43.779999,44.049999,40.310001,41.650002,142700,38.423889
2010-07-01,37.810001,43.82,36.91,43.07,185300,39.733898
2010-06-01,39.720001,41.119999,37.41,37.82,192000,34.744465
2010-05-03,43.290001,44.119999,37.34,39.860001,272700,36.618572
2010-04-01,38.860001,44.360001,38.630001,43.040001,230700,39.539974
2010-03-01,38.560001,40.849998,38.34,39.349998,185900,36.024635
2010-02-01,35.41,38.650002,34.459999,38.529999,249000,35.273933
2010-01-04,35.889999,37.009998,35.48,35.48,165800,32.344357
2009-12-01,36.299999,37.09,35.740002,35.740002,160900,32.581383
2009-11-02,35.380001,37.299999,34.52,36.119999,189800,32.927795
2009-10-01,37.110001,38.959999,35.040001,35.310001,244900,32.189384
2009-09-01,34.310001,38.09,33.580002,37.360001,191400,33.919987
2009-08-03,35.34,36.209999,34.299999,34.380001,141200,31.214376
2009-07-01,33.889999,36.490002,32.139999,34.919998,225300,31.704653
2009-06-01,31.549999,34.259998,31.549999,33.77,280500,30.533003
2009-05-01,30.780001,31.93,30.01,31.01,312600,28.037561
2009-04-01,30.709999,33.549999,28.610001,31.030001,434000,28.055645
2009-03-02,27.620001,32.509998,24.950001,31.139999,431600,28.015625
2009-02-02,30.379999,30.93,26.25,28.059999,623000,25.244652
2009-01-02,35.389999,36.080002,29.040001,30.82,546100,27.727732
2008-12-01,32.490002,35.490002,29.25,35.240002,541500,31.54767
2008-11-03,30.309999,33.439999,27.84,33.439999,453000,29.936266
2008-10-01,39.02,39.75,23.74,30.32,675800,27.143171
2008-09-02,40.790001,44.029999,37.650002,39.110001,433600,34.818817
2008-08-01,39.040001,41.110001,37.689999,40.389999,308200,35.958374
2008-07-01,41.439999,43.639999,36.540001,38.700001,606500,34.453804
2008-06-02,44.889999,46.189999,40.740002,41.950001,711000,37.198181
2008-05-01,44.16,45.889999,42.490002,44.720001,434700,39.654411
2008-04-01,39.369999,45.419998,38.98,44.150002,486900,39.148979
2008-03-03,37.290001,39.759998,34.509998,38.93,592000,34.420429
2008-02-01,37.82,40.07,33.869999,37.48,827300,33.138393
2008-01-02,40.68,42.720001,32.869999,37.700001,613600,33.332912
2007-12-03,42.060001,44.009998,39.689999,40.91,328000,36.044937
2007-11-01,44.23,44.450001,39.830002,42.209999,413000,37.190338
2007-10-01,37.790001,44.75,37.75,44.700001,418200,39.384228
2007-09-04,36.099998,38.220001,33.369999,37.869999,415900,33.268738
2007-08-01,36.25,40.09,34.84,36.330002,503800,31.915854
2007-07-02,35.860001,39.419998,34.990002,36.400002,496600,31.977348
2007-06-01,37.810001,38.299999,35.00,35.560001,332400,31.12632
2007-05-01,73.580002,75.550003,35.990002,37.560001,380000,32.876957
2007-04-02,67.199997,76.980003,66.68,73.25,383600,32.058533
2007-03-01,65.00,68.559998,64.50,66.93,397400,29.192049
2007-02-01,61.299999,70.339996,60.299999,65.790001,625600,28.69483
2007-01-03,59.50,62.00,57.450001,61.009998,340200,26.609993
2006-12-01,61.09,62.290001,57.84,59.040001,332800,25.657892
2006-11-01,54.98,61.27,53.759998,61.259998,392100,26.622669
2006-10-02,50.57,56.75,49.389999,54.91,317900,23.863056
2006-09-01,51.700001,52.240002,48.900002,50.880001,317300,22.023441
2006-08-01,51.349998,52.75,49.869999,51.50,243200,22.291809
2006-07-03,50.360001,51.919998,46.860001,51.50,382100,22.291809
2006-06-01,52.50,53.099998,49.610001,49.610001,571100,21.379894
2006-05-01,52.41,54.700001,50.400002,52.599998,189000,22.668461
2006-04-03,55.25,55.330002,51.02,52.41,195400,22.586578
2006-03-01,53.23,55.34,52.48,55.25,167500,23.719763
2006-02-01,56.25,57.450001,52.450001,53.049999,190700,22.775265
2006-01-03,52.369999,56.439999,51.709999,56.439999,149300,24.23065
2005-12-01,54.66,55.48,52.00,52.200001,210800,22.328527
2005-11-01,51.50,54.900002,50.27,54.849998,167100,23.462061
2005-10-03,50.049999,52.900002,47.599998,51.189999,306200,21.896498
2005-09-01,49.73,51.00,47.110001,49.810001,174700,21.22224
2005-08-01,49.959999,50.73,47.799999,49.73,170700,21.188154
2005-07-01,50.799999,52.099998,49.25,49.849998,193700,21.239281
2005-06-01,50.080002,51.380001,47.950001,50.799999,336700,21.558796
2005-05-02,48.299999,52.610001,48.18,50.00,230500,21.219288
2005-04-01,52.099998,54.869999,47.00,48.23,310300,20.468124
2005-03-01,51.619999,53.349998,49.32,51.98,226400,21.990635
2005-02-01,48.41,51.98,48.130001,51.619999,208300,21.838333
2005-01-03,52.950001,54.889999,47.279999,48.490002,203400,20.514158
2004-12-01,51.650002,54.889999,50.25,52.779999,193200,22.258644
2004-11-01,47.00,53.07,46.599998,52.549999,193100,22.161648
2004-10-01,44.209999,48.009998,44.099998,46.919998,234400,19.787334
2004-09-01,45.299999,46.900002,43.330002,43.970001,166700,18.483803
2004-08-02,42.110001,45.700001,40.91,45.439999,187000,19.101749
2004-07-01,43.939999,44.860001,41.549999,42.310001,264100,17.785984
2004-06-01,40.349998,44.200001,40.099998,43.689999,310100,18.302399
2004-05-03,39.099998,40.919998,37.599998,40.650002,187700,17.028898
2004-04-01,38.400002,42.580002,38.150002,39.299999,173600,16.463362
2004-03-01,40.650002,41.07,36.709999,38.400002,152100,16.058189
2004-02-02,40.099998,42.00,39.16,40.450001,130800,16.915462
2004-01-02,38.990002,41.060001,38.299999,40.07,184800,16.72728
2003-12-01,35.00,39.48,34.900002,39.00,270200,16.280605
2003-11-03,35.799999,37.18,34.50,34.91,159200,14.57323
2003-10-01,36.75,39.799999,35.599998,35.799999,146100,14.944761
2003-09-02,39.00,39.700001,35.709999,36.689999,141500,15.286527
2003-08-01,37.150002,39.200001,35.599998,39.16,99100,16.315628
2003-07-01,36.00,37.950001,35.150002,37.25,140700,15.519846
2003-06-02,35.110001,36.50,34.00,36.00,125500,14.97086
2003-05-01,34.200001,35.330002,33.900002,35.00,154700,14.555003
2003-04-01,32.25,34.709999,30.65,34.419998,167000,14.313805
2003-03-03,30.27,33.02,29.450001,32.349998,174000,13.428763
2003-02-03,28.620001,30.35,26.51,30.299999,167900,12.577791
2003-01-02,31.25,31.49,27.76,28.68,97000,11.88456
2002-12-02,30.08,33.009998,29.77,31.24,206400,12.945385
2002-11-01,27.85,30.35,27.629999,29.879999,108100,12.381822
2002-10-01,26.969999,28.10,24.84,27.93,173500,11.573771
2002-09-03,32.00,32.150002,26.299999,26.870001,145900,11.11062
2002-08-01,29.799999,32.299999,28.60,32.099998,96800,13.2732
2002-07-01,31.120001,32.599998,26.60,29.92,208700,12.371781
2002-06-03,37.380001,37.400002,30.75,30.75,257400,12.687668
2002-05-01,37.139999,38.740002,35.32,37.380001,155600,15.423253
2002-04-01,35.00,38.00,34.560001,37.150002,166800,15.328354
2002-03-01,34.799999,35.189999,33.119999,35.049999,233400,14.438033
2002-02-01,32.080002,35.040001,31.34,34.599998,213200,14.252666
2002-01-02,35.029999,35.419998,29.75,32.080002,438500,13.189795
2001-12-03,32.799999,35.099998,32.439999,35.029999,198000,14.402696
2001-11-01,30.200001,33.150002,30.00,32.799999,177800,13.485825
2001-10-01,31.799999,34.740002,27.10,30.10,230700,12.375711
2001-09-04,35.790001,36.700001,28.50,31.799999,187100,13.048505
2001-08-01,33.00,37.00,32.75,35.790001,130300,14.685724
2001-07-02,32.650002,34.099998,30.50,33.00,143800,13.540902
2001-06-01,33.099998,36.00,31.82,32.43,180700,13.283265
2001-05-01,31.58,37.209999,31.00,32.959999,210100,13.500352
2001-04-02,30.469999,32.799999,29.25,31.58,168500,12.935106
2001-03-01,28.60,31.60,28.51,30.469999,245200,12.460891
2001-02-01,29.92,30.23,28.219999,28.700001,173200,11.737039
2001-01-02,29.375,30.33,26.4375,29.92,217900,12.214656
2000-12-01,25.00,30.125,25.00,29.375,190500,11.992163
2000-11-01,20.75,25.1875,19.875,25.00,310800,10.206096
2000-10-02,24.1875,24.5625,19.375,20.6875,292100,8.445544
2000-09-01,23.375,25.375,21.875,23.9375,197000,9.748281
2000-08-01,24.9375,26.1875,22.25,23.3125,190700,9.493757
2000-07-03,27.25,30.00,23.375,24.9375,227200,10.15552
2000-06-01,26.5625,29.3125,26.50,27.00,199100,10.973125
2000-05-01,28.00,28.00,25.75,26.5625,125800,10.79532
2000-04-03,26.875,28.50,23.375,28.50,163500,11.562423
2000-03-01,23.9375,27.625,20.125,26.6875,254600,10.827093
2000-02-01,22.125,26.00,21.50,23.9375,300600,9.711421
2000-01-03,25.125,28.625,22.00,22.00,205700,8.90608
