Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.620001,31.00,30.459999,30.85,1736600,30.779976
2013-03-01,30.190001,32.110001,29.700001,30.620001,495100,30.550497
2013-02-01,29.73,31.77,29.280001,30.41,433500,30.340973
2013-01-02,28.75,30.52,27.99,29.48,520500,29.413084
2012-12-03,28.99,29.82,26.200001,27.91,644900,27.846647
2012-11-01,28.379999,29.08,25.379999,28.77,590100,28.704697
2012-10-01,28.90,29.049999,27.440001,28.24,563200,28.1759
2012-09-04,28.110001,31.33,27.540001,28.620001,716200,28.555037
2012-08-01,28.620001,29.120001,26.709999,28.120001,446000,28.018652
2012-07-02,27.299999,28.780001,25.65,28.459999,676600,28.357424
2012-06-01,25.379999,27.969999,24.23,27.16,877700,27.062111
2012-05-01,27.35,27.809999,24.33,26.17,688400,26.07568
2012-04-02,28.950001,29.690001,26.450001,27.27,735000,27.171715
2012-03-01,28.25,29.969999,27.07,28.99,772600,28.885515
2012-02-01,25.389999,28.940001,25.389999,28.17,705400,28.06847
2012-01-03,23.389999,25.52,22.530001,25.35,700100,25.258635
2011-12-01,22.809999,23.98,20.049999,22.690001,893300,22.608221
2011-11-01,21.42,24.09,20.33,22.92,861200,22.837393
2011-10-03,19.48,23.92,18.129999,22.50,1122600,22.418905
2011-09-01,20.00,21.17,17.629999,19.75,1322600,19.678818
2011-08-01,25.09,25.18,17.469999,20.08,1190000,19.966417
2011-07-01,26.780001,27.65,24.17,24.709999,680400,24.570227
2011-06-01,25.129999,27.00,22.48,26.83,1053700,26.678236
2011-05-02,27.879999,28.030001,23.940001,25.139999,779900,24.997795
2011-04-01,29.18,29.290001,26.459999,27.76,564600,27.602976
2011-03-01,28.50,29.290001,25.290001,29.00,758600,28.835962
2011-02-01,27.91,30.41,27.120001,28.299999,644900,28.139921
2011-01-03,26.73,28.32,25.52,27.73,834200,27.573145
2010-12-01,24.01,28.25,23.91,26.620001,1118900,26.469425
2010-11-01,22.530001,23.969999,22.219999,23.629999,573900,23.496336
2010-10-01,23.26,23.870001,22.08,22.469999,632900,22.342897
2010-09-01,20.219999,23.26,20.059999,22.959999,754000,22.830126
2010-08-02,21.01,21.290001,18.59,19.82,530300,19.672821
2010-07-01,18.870001,21.469999,17.469999,20.620001,787500,20.466881
2010-06-01,20.00,21.74,18.690001,18.83,1043100,18.690172
2010-05-03,23.110001,23.75,18.91,20.219999,804900,20.069849
2010-04-01,19.66,23.870001,19.59,22.93,755200,22.759727
2010-03-01,18.17,21.00,18.10,19.549999,551200,19.404825
2010-02-01,16.870001,18.33,15.93,18.110001,483700,17.975519
2010-01-04,18.66,19.790001,16.690001,16.77,502700,16.64547
2009-12-01,16.469999,19.799999,16.209999,18.530001,588800,18.392401
2009-11-02,15.75,17.309999,15.27,16.33,460700,16.208736
2009-10-01,16.02,17.10,15.05,15.61,618500,15.494083
2009-09-01,13.99,16.459999,13.37,16.059999,669100,15.940742
2009-08-03,12.75,14.46,12.57,14.13,602000,13.989112
2009-07-01,12.30,12.96,10.20,12.84,862300,12.711974
2009-06-01,12.55,15.53,11.83,12.20,1345500,12.078356
2009-05-01,12.27,13.43,11.33,12.28,407400,12.157557
2009-04-01,10.34,12.67,9.94,12.26,870700,12.137757
2009-03-02,10.07,10.65,7.02,10.33,901300,10.227001
2009-02-02,16.18,17.16,9.92,10.29,865900,10.1874
2009-01-02,18.93,20.18,15.80,16.48,656700,16.31568
2008-12-01,17.74,19.870001,14.89,19.02,1330500,18.830355
2008-11-03,17.90,19.139999,14.23,17.940001,665900,17.761124
2008-10-01,23.690001,24.17,13.69,17.93,1022800,17.751223
2008-09-02,32.009998,34.099998,23.959999,25.24,740400,24.988337
2008-08-01,30.469999,33.369999,28.959999,31.549999,344200,31.188902
2008-07-01,30.969999,32.00,28.280001,30.459999,461500,30.111378
2008-06-02,36.540001,37.150002,31.07,31.35,575300,30.991192
2008-05-01,33.91,36.73,33.110001,36.509998,396300,36.092133
2008-04-01,30.370001,34.68,30.110001,33.869999,501800,33.482349
2008-03-03,26.90,31.66,26.18,30.209999,708100,29.864239
2008-02-01,27.35,29.67,26.25,26.879999,553000,26.572351
2008-01-02,33.900002,34.41,24.25,27.290001,835800,26.977661
2007-12-03,31.90,35.119999,29.65,34.009998,468400,33.620747
2007-11-01,67.269997,70.139999,29.09,31.67,512500,31.307529
2007-10-01,65.199997,70.169998,64.300003,68.980003,585200,34.095257
2007-09-04,60.66,66.50,56.130001,64.970001,583000,32.113201
2007-08-01,60.98,63.849998,54.549999,60.990002,602900,30.106777
2007-07-02,63.450001,67.860001,59.610001,60.98,580900,30.101841
2007-06-01,56.00,64.230003,54.50,63.060001,948800,31.128601
2007-05-01,53.00,55.630001,51.849998,55.630001,441900,27.460896
2007-04-02,51.09,54.400002,49.540001,53.00,539300,26.162636
2007-03-01,51.700001,55.470001,48.279999,50.810001,630600,25.081577
2007-02-01,49.849998,53.50,49.549999,52.200001,691200,25.767729
2007-01-03,48.150002,50.00,45.740002,49.790001,647500,24.57807
2006-12-01,54.060001,54.849998,45.720001,47.650002,462300,23.521692
2006-11-01,51.549999,55.139999,49.240002,54.060001,261800,26.68589
2006-10-02,50.099998,53.959999,47.93,51.34,556800,25.343203
2006-09-01,45.169998,51.150002,42.66,50.099998,716500,24.731094
2006-08-01,44.00,46.810001,42.959999,45.099998,468500,22.224621
2006-07-03,49.900002,50.349998,42.310001,44.009998,877100,21.687485
2006-06-01,59.02,60.400002,45.16,49.950001,1849000,24.614632
2006-05-01,64.099998,67.599998,55.50,59.029999,453300,29.089121
2006-04-03,61.299999,66.949997,60.75,63.950001,370100,31.513626
2006-03-01,55.169998,62.200001,54.950001,61.220001,477400,30.168322
2006-02-01,57.25,57.939999,54.060001,55.099998,353900,27.152475
2006-01-03,56.049999,57.849998,54.75,57.25,517900,28.211964
2005-12-01,53.150002,57.400002,50.25,55.799999,453200,27.497425
2005-11-01,48.599998,54.560001,47.369999,53.049999,359000,26.142265
2005-10-03,46.549999,49.299999,44.360001,48.700001,500700,23.99865
2005-09-01,42.599998,46.950001,40.91,46.799999,499800,23.062357
2005-08-01,46.73,47.669998,41.189999,42.400002,416200,20.854303
2005-07-01,47.950001,48.150002,45.389999,46.529999,471900,22.885628
2005-06-01,45.099998,50.040001,44.00,47.939999,476700,23.579132
2005-05-02,42.790001,46.349998,42.790001,45.00,529600,22.133102
2005-04-01,45.419998,46.650002,40.82,42.59,841400,20.947752
2005-03-01,54.00,59.00,44.77,44.919998,904700,22.093754
2005-02-01,52.650002,56.389999,51.279999,54.049999,448700,26.584316
2005-01-03,52.450001,52.919998,47.34,52.25,673800,25.698992
2004-12-01,46.990002,53.43,46.57,52.150002,527500,25.649809
2004-11-01,39.869999,49.00,39.150002,47.02,453200,23.126635
2004-10-01,41.299999,45.27,38.169998,39.669998,532800,19.511559
2004-09-01,37.970001,42.330002,37.68,41.209999,425800,20.269003
2004-08-02,36.360001,38.23,32.52,37.84,244000,18.611481
2004-07-01,39.400002,39.41,34.919998,36.459999,268900,17.932732
2004-06-01,34.450001,40.150002,33.720001,38.990002,447500,19.177105
2004-05-03,34.099998,35.599998,32.169998,34.23,316300,16.835915
2004-04-01,39.310001,40.599998,33.799999,34.18,355100,16.811321
2004-03-01,40.099998,42.349998,37.150002,39.23,336100,19.295147
2004-02-02,36.34,43.099998,35.209999,39.91,451300,19.629602
2004-01-02,37.400002,39.049999,35.900002,36.34,414900,17.873711
2003-12-01,31.10,37.139999,30.620001,36.200001,499800,17.804852
2003-11-03,32.400002,33.099998,27.950001,31.049999,873900,15.271841
2003-10-01,57.150002,66.839996,29.91,32.240002,744800,15.85714
2003-09-02,51.52,58.790001,51.52,56.150002,572900,13.808598
2003-08-01,48.75,53.630001,47.450001,51.490002,274300,12.662595
2003-07-01,47.32,50.299999,45.939999,48.700001,253600,11.976468
2003-06-02,43.27,48.98,41.50,47.32,409600,11.637094
2003-05-01,37.049999,43.27,36.900002,43.259998,352200,10.638644
2003-04-01,35.150002,37.450001,33.110001,37.099998,466600,9.123756
2003-03-03,37.00,40.00,32.50,35.150002,798400,8.644207
2003-02-03,40.240002,40.50,33.549999,37.00,516500,9.099165
2003-01-02,46.450001,49.349998,39.75,40.200001,394800,9.88612
2002-12-02,43.299999,47.00,42.400002,46.450001,309300,11.423141
2002-11-01,39.779999,44.799999,39.400002,43.189999,294900,10.62143
2002-10-01,36.900002,40.099998,33.099998,39.799999,421600,9.78775
2002-09-03,38.25,38.25,35.799999,36.900002,190700,9.074573
2002-08-01,37.240002,38.900002,34.25,38.25,270800,9.406569
2002-07-01,41.150002,41.150002,30.879999,37.25,366400,9.160645
2002-06-03,40.00,42.450001,38.799999,41.25,453800,10.144339
2002-05-01,43.75,43.779999,38.50,39.900002,318600,9.812343
2002-04-01,43.150002,46.150002,42.50,43.900002,273500,10.796037
2002-03-01,39.490002,43.169998,36.00,43.150002,297900,10.611594
2002-02-01,30.700001,40.00,30.65,39.509998,498300,9.716432
2002-01-02,33.560001,35.00,29.00,30.75,89900,7.562144
2001-12-03,28.00,34.130001,27.90,33.599998,108100,8.263025
2001-11-01,26.540001,31.25,25.700001,27.90,84700,6.861262
2001-10-01,18.10,27.60,17.50,26.540001,180800,6.526806
2001-09-04,21.26,22.00,17.40,18.15,159600,4.463509
2001-08-01,17.450001,21.25,17.450001,21.209999,61600,5.216034
2001-07-02,16.60,18.50,16.60,17.50,107600,4.303659
2001-06-01,14.70,16.799999,14.70,16.450001,251900,4.04544
2001-05-01,15.25,15.55,12.70,14.70,131700,3.615073
2001-04-02,16.25,16.73,15.10,15.25,122200,3.746603
2001-03-01,14.81,16.309999,12.00,16.25,201900,3.992282
2001-02-01,17.99,17.99,14.64,14.80,221600,3.636048
2001-01-02,3.00,18.15,2.812496,18.00,157200,4.422221
2000-12-01,3.562496,4.125,2.187504,3.00,147100,3.685184
2000-11-01,3.562496,4.437504,3.25,3.625,92500,4.45293
2000-10-02,4.187504,4.25,3.50,3.625,139600,4.45293
2000-09-01,5.00,5.437504,3.50,4.25,230900,5.220677
2000-08-01,3.00,5.00,3.00,4.937504,615500,6.065203
2000-07-24,4.00,4.00,3.00,3.062496,540200,3.761954
