Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.75,2.80,2.75,2.78,7200,2.78
2013-03-01,2.87,2.97,2.52,2.63,2100,2.63
2013-02-01,2.60,2.90,2.57,2.90,2100,2.90
2013-01-02,2.39,2.87,2.33,2.58,3100,2.58
2012-12-03,2.66,3.24,2.20,2.53,11400,2.53
2012-11-01,2.69,2.80,2.26,2.67,3300,2.67
2012-10-01,2.65,2.87,2.55,2.76,6400,2.76
2012-09-04,2.72,2.82,2.50,2.65,4900,2.65
2012-08-01,3.34,3.50,2.64,2.83,5300,2.83
2012-07-02,2.96,3.67,2.91,3.25,2400,3.25
2012-06-01,3.79,4.09,2.72,2.95,5400,2.95
2012-05-01,4.18,4.34,3.67,3.79,3500,3.79
2012-04-02,4.25,4.54,4.15,4.17,2900,4.17
2012-03-01,4.12,4.59,4.05,4.28,5700,4.28
2012-02-01,4.30,4.40,4.03,4.24,2900,4.24
2012-01-03,4.28,4.54,4.10,4.30,3500,4.30
2011-12-01,4.18,5.03,3.83,4.08,35200,4.08
2011-11-01,4.46,5.10,4.18,4.46,7300,4.46
2011-10-03,4.69,5.06,4.30,4.65,7700,4.65
2011-09-01,3.98,5.12,3.89,5.05,5500,5.05
2011-08-01,4.79,4.84,3.52,4.10,7100,4.10
2011-07-01,5.74,5.80,4.74,4.85,12300,4.85
2011-06-01,4.50,5.85,4.20,5.70,50100,5.70
2011-05-02,5.03,5.08,4.14,4.50,5000,4.50
2011-04-01,4.94,5.18,4.57,5.08,19800,5.08
2011-03-01,4.88,4.95,4.01,4.93,17700,4.93
2011-02-01,4.75,5.00,4.63,4.90,15500,4.90
2011-01-03,4.25,4.89,4.20,4.79,20200,4.79
2010-12-01,4.80,4.98,4.08,4.22,41300,4.22
2010-11-01,5.01,5.89,4.60,4.80,131000,4.80
2010-10-01,4.15,5.00,4.09,5.00,42300,4.414262
2010-09-01,4.45,4.68,3.92,4.12,59400,3.637352
2010-08-02,4.13,4.37,3.16,4.32,80400,3.813922
2010-07-01,3.53,4.60,3.53,4.17,25000,3.681494
2010-06-01,4.00,4.47,3.51,3.59,51300,3.16944
2010-05-03,4.51,4.57,3.04,4.10,165000,3.619694
2010-04-01,5.01,5.07,4.17,4.51,104600,3.981664
2010-03-01,6.56,6.95,4.95,4.99,297200,4.405433
2010-02-01,6.08,7.30,5.52,6.45,218900,5.694397
2010-01-04,4.89,6.23,4.83,5.94,210400,5.244143
2009-12-01,5.25,5.98,4.51,4.73,93000,4.175891
2009-11-02,5.73,6.00,5.03,5.11,62800,3.74
2009-10-01,4.25,6.76,4.19,5.73,114900,4.193777
2009-09-01,3.66,4.18,3.16,4.07,46300,2.978826
2009-08-03,4.70,4.70,3.35,3.50,71100,2.561644
2009-07-01,4.11,4.81,3.96,4.65,38300,3.403327
2009-06-01,4.48,4.86,3.71,4.10,37700,3.000783
2009-05-01,3.24,4.90,3.23,4.48,116500,3.278904
2009-04-01,3.40,3.80,2.97,3.24,29100,2.37135
2009-03-02,3.45,5.23,2.63,3.59,27600,2.627515
2009-02-02,3.48,3.95,3.45,3.90,10300,2.854403
2009-01-02,3.92,4.00,2.92,3.44,26700,2.51773
2008-12-01,1.71,4.12,1.71,3.90,54600,2.854403
2008-11-03,3.33,3.98,1.18,1.63,37000,1.192994
2008-10-01,5.51,5.84,3.57,3.68,29500,2.693386
2008-09-02,6.05,6.36,5.00,5.48,30700,4.010802
2008-08-01,7.19,7.31,5.87,5.99,36900,4.38407
2008-07-01,6.91,7.40,6.13,7.19,43900,5.262349
2008-06-02,7.95,8.07,6.90,6.97,59100,5.101331
2008-05-01,6.87,8.53,6.85,7.93,70100,5.803953
2008-04-01,7.72,8.46,6.86,6.86,40000,5.020822
2008-03-03,9.80,9.85,7.27,7.58,73000,5.547789
2008-02-01,8.51,10.42,8.31,9.90,74700,7.245792
2008-01-02,9.39,9.97,6.26,8.20,104200,6.001565
2007-12-03,10.20,11.19,8.67,9.33,169500,6.82861
2007-11-01,16.889999,16.889999,9.39,10.07,176000,7.370215
2007-10-01,19.58,25.00,16.00,16.99,283000,12.434951
2007-09-04,14.18,23.00,12.57,20.68,234100,15.135656
2007-08-01,18.00,23.00,12.55,14.00,237500,10.246575
2007-07-02,24.00,25.23,17.110001,17.66,186500,12.925323
2007-06-01,28.75,30.00,23.059999,24.190001,177800,17.704618
2007-05-03,19.90,32.330002,18.66,29.49,394400,21.583679
