Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,52.549999,52.689999,51.279999,51.459999,1120200,50.555622
2013-03-01,50.830002,52.860001,49.200001,52.540001,569500,51.616642
2013-02-01,53.18,55.490002,49.599998,51.150002,669100,50.251072
2013-01-02,46.919998,53.970001,46.18,52.77,603600,51.842602
2012-12-03,46.43,47.50,44.060001,45.790001,440100,44.985271
2012-11-01,47.919998,50.18,43.209999,46.00,580900,45.191578
2012-10-01,45.700001,49.77,43.720001,47.799999,562400,46.959946
2012-09-04,46.220001,49.75,44.34,45.450001,539700,44.651245
2012-08-01,44.75,46.59,42.740002,46.279999,349000,45.466656
2012-07-02,37.759998,45.459999,37.110001,44.529999,582500,43.747414
2012-06-01,37.099998,41.439999,34.93,37.84,719400,37.174988
2012-05-01,44.07,45.380001,37.560001,38.209999,684900,37.538483
2012-04-02,44.639999,45.849998,41.34,44.330002,668000,43.55093
2012-03-01,48.450001,48.91,44.119999,44.889999,686500,44.101086
2012-02-01,46.049999,48.860001,44.700001,47.560001,1015600,46.724163
2012-01-03,40.810001,46.310001,39.48,45.98,742800,45.171928
2011-12-01,40.759998,42.689999,37.080002,39.790001,598700,39.090717
2011-11-01,40.740002,45.639999,36.849998,41.00,889800,40.279449
2011-10-03,33.919998,45.43,30.639999,42.740002,1062500,41.988873
2011-09-01,42.32,43.41,32.860001,34.360001,1047100,33.756145
2011-08-01,47.43,47.93,35.799999,42.09,1134900,41.350296
2011-07-01,44.130001,48.84,43.68,46.700001,765400,45.879276
2011-06-01,43.290001,44.200001,37.959999,44.130001,817800,43.354443
2011-05-02,45.02,45.099998,39.810001,43.34,775500,42.578327
2011-04-01,46.630001,46.860001,41.41,44.93,583900,44.140385
2011-03-01,46.009998,46.919998,41.330002,46.43,606300,45.614021
2011-02-01,40.560001,45.959999,38.41,45.52,989400,44.720016
2011-01-03,37.619999,40.490002,34.849998,40.419998,688400,39.709641
2010-12-01,36.209999,38.299999,35.700001,37.369999,575900,36.713245
2010-11-01,32.75,37.779999,32.32,35.599998,819700,34.97435
2010-10-01,30.77,32.799999,29.48,32.509998,750700,31.938656
2010-09-01,25.67,31.290001,25.549999,30.450001,875100,29.914862
2010-08-02,27.83,29.85,23.75,25.110001,778000,24.668709
2010-07-01,25.52,28.10,25.09,27.200001,838600,26.721977
2010-06-01,26.65,28.15,23.709999,25.52,1416100,25.071503
2010-05-03,36.52,36.790001,25.459999,27.15,1664400,26.672855
2010-04-01,35.009998,38.48,35.009998,36.41,984700,35.770119
2010-03-01,33.669998,37.240002,32.389999,34.630001,899800,34.0214
2010-02-01,33.939999,36.400002,32.169998,33.459999,1050100,32.87196
2010-01-04,36.66,40.48,33.50,33.52,725800,32.930908
2009-12-01,38.439999,38.669998,33.77,35.849998,1298600,35.219955
2009-11-02,35.59,40.580002,34.549999,37.68,1064900,37.017799
2009-10-01,35.02,40.43,32.060001,35.490002,1124200,34.866287
2009-09-01,28.549999,36.650002,27.450001,35.27,1106500,34.650154
2009-08-03,29.360001,31.99,26.309999,28.48,772200,27.979481
2009-07-01,25.35,29.309999,21.40,28.84,948800,28.333155
2009-06-01,27.110001,28.950001,22.83,24.91,1295200,24.472221
2009-05-01,22.360001,28.450001,21.77,26.459999,1418500,25.994982
2009-04-01,16.10,23.35,15.96,22.32,1627500,21.92774
2009-03-02,15.09,19.860001,13.03,16.59,1408400,16.298441
2009-02-02,16.200001,19.309999,13.94,15.28,1232800,15.011463
2009-01-02,15.64,20.549999,14.05,16.65,1322100,16.357386
2008-12-01,17.299999,17.299999,12.60,15.28,1246700,15.011463
2008-11-03,27.52,29.08,15.10,18.10,1247900,17.781904
2008-10-01,36.360001,36.360001,19.790001,27.48,1683000,26.997055
2008-09-02,39.68,42.299999,32.25,36.400002,1705800,35.760296
2008-08-01,45.509998,47.259998,36.540001,40.66,1335500,39.945427
2008-07-01,123.099998,126.919998,41.509998,45.91,1880900,45.103161
2008-06-02,101.50,125.889999,100.300003,124.339996,1887000,61.0774
2008-05-01,100.010002,111.980003,96.410004,101.910004,1173500,50.059502
2008-04-01,92.00,113.559998,89.110001,100.690002,1205900,49.46022
2008-03-03,94.00,95.010002,81.779999,91.720001,1278200,45.054039
2008-02-01,83.209999,99.709999,81.440002,93.089996,1374700,45.726997
2008-01-02,101.389999,105.400002,72.779999,83.089996,1498300,40.814873
2007-12-03,87.839996,103.68,84.32,100.239998,1036600,49.23917
2007-11-01,82.989998,89.50,74.050003,87.25,1334500,42.858318
2007-10-01,76.050003,85.489998,71.50,84.239998,1117700,41.379768
2007-09-04,76.120003,81.599998,74.870003,76.559998,1082500,37.60725
2007-08-01,68.150002,76.360001,61.02,75.989998,1646300,37.327259
2007-07-02,69.00,75.389999,67.019997,68.599998,1319000,33.697197
2007-06-01,65.940002,70.120003,63.00,68.620003,990700,33.707024
2007-05-01,63.00,67.690002,60.00,65.639999,1387800,32.24321
2007-04-02,58.689999,65.860001,58.110001,62.900002,936000,30.897287
2007-03-01,49.700001,58.970001,49.50,58.689999,1114300,28.829279
2007-02-01,48.57,52.799999,46.970001,50.529999,1095700,24.820984
2007-01-03,48.970001,48.970001,43.77,48.369999,875000,23.759964
2006-12-01,49.50,52.119999,48.240002,48.970001,754100,24.054691
2006-11-01,46.25,50.139999,44.470001,49.57,695700,24.349419
2006-10-02,44.599998,48.720001,40.720001,46.200001,1028400,22.694033
2006-09-01,43.299999,47.240002,39.860001,44.970001,1116400,22.089842
2006-08-01,46.84,46.84,40.549999,43.00,611200,21.12215
2006-07-03,49.639999,50.639999,41.549999,46.93,856700,23.052618
2006-06-01,48.77,49.990002,42.880001,49.599998,1061800,24.364155
2006-05-01,51.75,53.459999,42.290001,48.77,1515000,23.95645
2006-04-03,101.580002,110.300003,52.220001,53.349998,1180400,26.206203
2006-03-01,91.980003,103.309998,88.769997,101.010002,1577500,24.808704
2006-02-01,97.379997,99.32,85.769997,90.18,1395200,22.148787
2006-01-03,79.800003,103.00,79.800003,97.129997,1939500,23.855749
2005-12-01,71.349998,85.279999,71.32,78.029999,1541700,19.164667
2005-11-01,70.419998,75.900002,65.919998,70.989998,1325800,17.435598
2005-10-03,84.75,85.489998,65.089996,70.419998,1440200,17.295603
2005-09-01,77.199997,86.120003,75.779999,84.209999,1221000,20.682516
2005-08-01,68.800003,77.400002,68.00,75.230003,1330500,18.476971
2005-07-01,61.639999,68.910004,58.790001,68.169998,1608000,16.742989
2005-06-01,57.50,64.75,57.00,61.560001,1100400,15.119531
2005-05-02,57.07,60.049999,50.130001,57.290001,1262900,14.070791
2005-04-01,67.099998,69.900002,56.650002,57.07,964200,14.016758
2005-03-01,68.75,69.300003,61.439999,66.540001,1034000,16.342651
2005-02-01,61.00,71.25,60.900002,68.75,1148300,16.885441
2005-01-03,52.099998,61.919998,47.049999,61.00,1423700,14.981991
2004-12-01,52.330002,53.98,47.599998,52.099998,616200,12.796093
2004-11-01,48.200001,53.50,44.799999,52.43,815300,12.877144
2004-10-01,47.720001,52.619999,45.98,47.950001,1457200,11.776828
2004-09-01,41.799999,48.75,41.669998,47.540001,526800,11.676128
2004-08-02,38.669998,41.799999,36.48,41.77,447200,10.25898
2004-07-01,41.75,44.43,37.75,38.66,407700,9.495144
2004-06-01,40.02,42.900002,37.700001,41.75,453100,10.254067
2004-05-03,36.75,40.400002,35.560001,39.82,383300,9.780047
2004-04-01,35.59,38.970001,33.639999,36.650002,348800,9.001475
2004-03-01,37.330002,40.27,33.009998,35.59,508300,8.741132
2004-02-02,33.139999,37.50,33.119999,37.330002,387500,9.168488
2004-01-02,31.98,34.490002,31.530001,33.09,451900,8.127116
2003-12-01,25.700001,33.689999,25.440001,31.940001,319500,7.844669
2003-11-03,25.889999,27.15,24.950001,25.690001,261100,6.309629
2003-10-01,24.24,25.889999,23.299999,25.889999,507000,6.35875
2003-09-02,24.879999,25.129999,23.450001,23.99,296200,5.892097
2003-08-01,24.57,25.73,23.780001,25.00,336100,6.14016
2003-07-01,27.299999,28.200001,23.059999,24.57,717400,6.034549
2003-06-02,29.860001,30.10,26.860001,27.15,358300,6.668214
2003-05-01,26.049999,30.299999,25.40,29.75,305900,7.306791
2003-04-01,25.120001,28.35,24.809999,26.049999,274100,6.398046
2003-03-03,27.549999,27.700001,24.450001,25.24,366600,6.199106
2003-02-03,27.25,30.049999,25.889999,27.60,442900,6.778737
2003-01-02,30.35,31.10,26.969999,27.700001,373600,6.803298
2002-12-02,29.90,32.119999,28.75,30.10,273700,7.392753
2002-11-01,29.549999,31.35,24.389999,29.83,438600,7.326439
2002-10-01,29.25,32.959999,25.85,29.799999,311000,7.319071
2002-09-03,30.18,32.009998,27.49,29.25,368900,7.183988
2002-08-01,32.799999,34.25,28.639999,30.43,393000,7.473803
2002-07-01,37.509998,37.73,27.90,32.799999,423800,8.05589
2002-06-03,45.299999,45.299999,37.50,37.50,344400,9.21024
2002-05-01,45.75,50.32,44.91,45.060001,349300,11.067025
2002-04-01,46.50,48.470001,42.00,45.950001,361700,11.285615
2002-03-01,40.099998,47.139999,39.700001,45.900002,353700,11.273335
2002-02-01,35.00,40.549999,35.00,39.950001,373500,9.811976
2002-01-02,34.799999,35.630001,29.809999,34.599998,323900,8.497981
2001-12-03,32.25,35.990002,29.34,34.849998,474600,8.559383
2001-11-01,30.42,33.349998,26.76,32.099998,412100,7.883965
2001-10-01,26.200001,32.689999,24.23,30.51,410100,7.493452
2001-09-04,31.280001,32.41,23.76,26.00,374700,6.385767
2001-08-01,32.900002,33.57,28.35,31.08,343300,7.633447
2001-07-02,34.900002,35.950001,29.700001,32.900002,576600,8.080451
2001-06-01,42.880001,44.610001,33.599998,35.099998,455400,8.620785
2001-05-01,44.849998,46.860001,39.599998,42.880001,361100,10.531603
2001-04-02,40.900002,45.450001,36.799999,44.650002,444300,10.966327
2001-03-01,43.669998,49.900002,39.759998,40.919998,362500,10.050214
2001-02-01,42.310001,47.950001,41.200001,43.57,315700,10.701071
2001-01-02,44.060001,44.75,39.50,42.110001,280500,10.342486
2000-12-01,31.562481,45.00,30.200001,43.810001,479800,10.760017
2000-11-01,33.937519,36.125,30.562481,31.562481,379800,7.751947
2000-10-02,41.937519,42.125,32.25,33.562481,334800,8.24316
2000-09-01,45.625,50.937519,38.187519,41.687519,540700,10.238722
2000-08-01,41.75,47.50,38.75,45.375,365800,11.144391
2000-07-03,44.375,45.937519,35.50,42.00,873200,10.315469
2000-06-01,54.937519,55.187519,41.562481,44.35936,426200,10.894943
2000-05-01,60.50,65.125,53.75,54.687519,232200,13.431605
2000-04-03,66.062477,69.875,56.812481,60.625,354700,14.889889
2000-03-01,53.125,66.687523,51.625,66.312477,383400,16.28677
2000-02-01,40.812481,53.25,40.125,53.125,293200,13.04784
2000-01-03,38.625,48.875,36.062481,40.812481,432600,10.023807
