Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.31,6.31,6.11,6.17,4429000,5.853106
2013-03-01,6.35,6.89,5.93,6.29,3283100,5.966943
2013-02-01,7.15,7.37,6.15,6.29,3399500,5.966943
2013-01-02,8.29,8.41,6.88,7.05,4077700,6.687909
2012-12-03,7.94,8.51,7.24,8.18,2574800,7.759872
2012-11-01,8.44,8.53,7.29,7.88,2720100,7.47528
2012-10-01,7.11,8.44,6.41,8.35,4124100,7.921141
2012-09-04,7.01,7.49,5.25,6.99,4003500,6.630991
2012-08-01,6.53,7.23,6.06,6.93,2145000,6.574072
2012-07-02,7.98,8.62,6.09,6.50,2869900,6.166157
2012-06-01,7.59,8.79,7.51,8.01,2653400,7.598603
2012-05-01,9.26,9.50,6.69,7.42,2798600,7.038906
2012-04-02,8.93,9.32,8.01,9.17,2625700,8.699025
2012-03-01,9.85,10.16,8.48,8.87,2473200,8.414433
2012-02-01,9.58,10.36,8.59,9.79,2179100,9.287181
2012-01-03,8.26,9.81,8.08,9.45,1976300,8.964643
2011-12-01,10.02,10.29,7.28,8.01,4192700,7.598603
2011-11-01,9.29,11.20,9.09,9.99,2130700,9.476909
2011-10-03,9.54,10.60,8.65,9.73,2115700,9.230263
2011-09-01,11.73,12.79,9.22,9.40,2776200,8.917212
2011-08-01,12.23,14.17,11.11,11.71,2501200,11.108569
2011-07-01,10.88,13.60,10.60,12.13,1480300,11.506998
2011-06-01,10.29,11.05,8.89,10.99,1472400,10.425549
2011-05-02,10.58,10.89,8.61,10.34,2183300,9.808933
2011-04-01,10.44,11.20,9.68,10.91,2621900,10.349658
2011-03-01,9.00,10.50,8.08,10.45,1967800,9.913283
2011-02-01,7.65,9.60,7.54,8.86,1457100,8.404946
2011-01-03,8.35,8.42,7.05,7.53,1423400,7.143256
2010-12-01,6.69,8.30,6.59,8.19,1950500,7.769358
2010-11-01,6.88,7.20,6.15,6.69,1624500,6.346399
2010-10-01,7.09,7.48,6.57,6.83,1291600,6.479208
2010-09-01,7.21,7.59,6.59,7.01,1300200,6.649963
2010-08-02,5.96,7.32,5.61,7.14,928000,6.773286
2010-07-01,5.39,5.95,5.09,5.95,943400,5.644405
2010-06-01,7.42,7.92,5.42,5.46,2281300,5.179572
2010-05-03,7.50,8.12,6.70,7.34,1981800,6.963015
2010-04-01,7.41,7.80,6.68,7.42,2121300,7.038906
2010-03-01,9.80,10.31,7.12,7.19,1573500,6.820719
2010-02-01,8.72,10.47,8.40,9.75,1008800,9.249236
2010-01-04,11.41,12.50,8.62,8.63,1333300,8.18676
2009-12-01,11.93,12.63,10.20,11.01,1367800,10.444522
2009-11-02,8.39,12.04,8.18,11.55,2155700,10.956787
2009-10-01,8.59,10.24,7.70,8.14,1878900,7.721926
2009-09-01,6.63,8.79,6.42,8.51,1216800,8.072923
2009-08-03,7.00,7.19,6.07,6.73,801700,6.384344
2009-07-01,6.88,8.00,6.32,6.98,607800,6.621504
2009-06-01,8.39,8.89,6.47,6.67,982200,6.327426
2009-05-01,6.65,8.64,6.35,8.24,755400,7.81679
2009-04-01,6.63,7.50,5.81,6.75,772400,6.403317
2009-03-02,7.79,8.06,6.15,6.47,1224100,6.137698
2009-02-02,6.38,8.16,6.15,7.76,1372400,7.361444
2009-01-02,5.50,6.94,4.22,6.55,1413000,6.213589
2008-12-01,2.95,5.59,2.27,5.47,832900,5.189058
2008-11-03,3.40,4.41,2.08,3.03,904700,2.874378
2008-10-01,7.48,7.66,2.64,3.33,819800,3.15897
2008-09-02,8.49,9.51,6.35,7.40,1066700,7.019933
2008-08-01,10.28,10.28,8.00,9.11,619400,8.642106
2008-07-01,10.76,11.27,8.79,10.20,718400,9.676124
2008-06-02,10.28,11.01,8.58,10.85,535800,10.29274
2008-05-01,7.50,10.47,7.21,10.23,709800,9.704582
2008-04-01,7.20,8.81,6.87,7.64,930000,7.247606
2008-03-03,8.96,10.55,7.32,7.51,1310900,7.124283
2008-02-01,6.99,9.67,6.01,8.67,1182900,8.224705
2008-01-02,8.09,9.79,5.63,6.90,1039100,6.545613
2007-12-03,7.50,9.15,7.14,8.01,853900,7.598603
2007-11-01,10.33,11.86,6.64,7.40,1081700,7.019933
2007-10-01,11.96,12.04,9.07,10.33,603800,9.799447
2007-09-04,7.90,11.99,7.14,11.84,1058700,11.231893
2007-08-01,11.09,11.12,7.53,7.90,813100,7.494253
2007-07-02,13.12,13.43,11.21,11.22,554600,10.643736
2007-06-01,13.19,14.50,12.21,12.62,389600,11.971831
2007-05-01,16.10,16.780001,12.85,13.08,591900,12.408206
2007-04-02,17.50,18.15,16.049999,16.15,388400,15.320529
2007-03-01,17.00,18.07,15.03,17.67,414000,16.762461
2007-02-01,16.190001,18.879999,15.31,17.25,604600,16.364033
2007-01-03,16.290001,16.799999,14.19,15.82,407900,15.007478
2006-12-01,14.92,17.00,14.87,16.290001,355000,15.45334
2006-11-01,13.30,15.38,12.83,15.19,353700,14.409835
2006-10-02,11.50,13.23,9.41,13.09,396700,12.417692
2006-09-01,12.88,13.90,10.50,11.43,341600,10.842951
2006-08-01,14.11,15.06,10.79,12.87,330500,12.208991
2006-07-03,14.00,14.74,12.68,13.90,245200,13.18609
2006-06-01,12.30,13.88,9.19,13.79,391700,13.081739
2006-05-01,16.00,17.00,11.73,12.81,447100,12.152073
2006-04-03,18.50,18.50,14.55,15.49,377800,14.694427
2006-03-01,16.09,18.66,15.26,18.10,417100,17.170376
2006-02-01,14.21,17.379999,13.51,16.040001,586100,15.21618
2006-01-03,12.14,14.61,11.52,14.21,356000,13.480168
2005-12-01,8.97,12.25,8.79,11.90,325200,11.288811
2005-11-01,7.68,8.99,7.45,8.97,148100,8.509297
2005-10-03,8.15,8.33,7.11,7.79,172900,7.389902
2005-09-01,7.52,8.45,7.52,8.15,221100,7.731412
2005-08-01,6.84,7.75,6.70,7.51,134100,7.124283
2005-07-01,6.65,6.95,6.51,6.84,65800,6.488695
2005-06-01,5.98,7.13,5.98,6.73,90700,6.384344
2005-05-02,6.04,6.40,5.37,5.98,97500,5.672864
2005-04-01,5.95,7.26,5.85,6.04,172900,5.729783
2005-03-01,5.75,6.40,5.44,5.83,135000,5.530569
