Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.35,15.41,15.07,15.11,8665000,14.472175
2013-03-01,14.83,15.66,13.60,15.35,7278100,14.702044
2013-02-01,16.549999,17.00,14.39,14.71,6603600,14.028731
2013-01-02,17.59,18.23,16.08,16.35,6067100,15.592778
2012-12-03,18.91,19.040001,16.280001,17.209999,6119500,16.412947
2012-11-01,20.10,20.59,17.93,18.799999,5629100,17.860064
2012-10-01,19.299999,20.209999,18.35,20.209999,5668000,19.199568
2012-09-04,17.200001,19.65,16.809999,19.110001,7238800,18.154566
2012-08-01,14.70,17.190001,14.47,17.129999,5776900,16.216503
2012-07-02,15.39,16.450001,13.78,14.81,5447000,14.020224
2012-06-01,14.95,16.620001,14.67,15.40,6787100,14.57876
2012-05-01,14.75,15.08,12.68,14.57,7950300,13.743439
2012-04-02,15.64,16.16,13.62,14.70,6749100,13.866064
2012-03-01,17.57,17.76,14.94,15.62,7808800,14.733872
2012-02-01,17.440001,18.16,15.87,17.360001,8134200,16.31834
2012-01-03,15.13,17.969999,14.73,17.27,7214100,16.23374
2011-12-01,16.77,17.00,13.78,14.69,6436500,13.808549
2011-11-01,14.43,16.85,14.15,16.83,7478200,15.766804
2011-10-03,13.93,15.82,12.35,14.97,12226600,14.024305
2011-09-01,15.88,17.469999,13.11,13.66,13814800,12.797061
2011-08-01,13.06,16.18,12.69,15.81,14764800,14.7637
2011-07-01,11.57,13.69,11.29,12.98,9791000,12.120988
2011-06-01,12.79,13.02,11.10,11.63,7683500,10.860331
2011-05-02,12.59,12.98,11.62,12.85,10084300,11.967818
2011-04-01,12.24,13.43,12.06,12.71,11149500,11.83743
2011-03-01,12.80,13.18,11.80,12.31,8574600,11.46489
2011-02-01,11.38,12.77,11.33,12.73,7505500,11.82671
2011-01-03,12.82,12.90,10.88,11.30,9282100,10.498179
2010-12-01,11.83,13.13,11.72,12.80,7592100,11.891743
2010-11-01,11.06,12.50,10.66,11.68,11300800,10.825684
2010-10-01,11.61,11.93,10.41,10.99,9366200,10.177599
2010-09-01,10.27,11.70,10.00,11.40,8989600,10.557291
2010-08-02,9.54,10.44,9.33,10.11,7001300,9.345628
2010-07-01,10.23,10.28,9.16,9.42,7685500,8.707795
2010-06-01,10.82,11.14,10.20,10.30,8871200,9.521263
2010-05-03,11.07,11.83,9.87,10.76,15774600,9.932592
2010-04-01,9.97,11.09,9.83,10.87,12693400,10.034134
2010-03-01,10.65,11.20,9.61,9.85,12368000,9.092568
2010-02-01,10.22,11.28,9.72,10.54,13317400,9.719632
2010-01-04,11.85,13.06,10.05,10.07,16295800,9.286214
2009-12-01,13.69,14.37,11.05,11.38,16324600,10.494252
2009-11-02,10.93,13.90,10.50,13.33,20722800,12.281951
2009-10-01,10.80,12.76,9.98,10.65,22474400,9.812661
2009-09-01,9.14,11.49,8.97,10.71,18502200,9.867945
2009-08-03,9.71,9.99,8.42,9.20,10057300,8.468265
2009-07-01,9.13,9.97,8.22,9.49,10963800,8.735199
2009-06-01,11.90,12.00,8.25,8.84,16346900,8.136898
2009-05-01,7.91,11.84,7.82,11.77,13982200,10.822294
2009-04-01,9.32,9.58,7.36,7.91,12210400,7.273096
2009-03-02,8.80,9.75,7.27,9.25,18155800,8.505201
2009-02-02,7.89,9.68,7.50,8.66,22620500,7.954245
2009-01-02,7.67,8.39,5.80,8.06,19214000,7.403143
2008-12-01,5.38,7.80,4.43,7.72,19961800,7.090851
2008-11-03,4.84,5.84,3.49,5.81,18565800,5.32883
2008-10-01,8.27,8.80,3.31,4.63,25624500,4.238341
2008-09-02,10.29,10.95,7.27,8.33,23517400,7.606753
2008-08-01,12.26,12.79,9.26,10.82,12906600,9.870333
2008-07-01,16.959999,17.00,11.66,12.37,12877800,11.273704
2008-06-02,15.15,16.99,13.46,16.540001,9995200,15.062287
2008-05-01,12.43,16.459999,12.24,15.28,11536200,13.886343
2008-04-01,14.21,15.44,12.42,12.82,13706800,11.650714
2008-03-03,18.51,19.93,14.41,14.62,16387500,13.28654
2008-02-01,16.84,18.690001,14.40,17.99,11882900,16.339157
2008-01-02,13.21,17.67,13.17,16.50,16265900,14.985887
2007-12-03,12.66,13.94,11.59,12.94,6121700,11.752567
2007-11-01,14.75,15.88,12.46,12.86,8658700,11.670855
2007-10-01,11.80,15.14,11.04,15.02,8622200,13.631124
2007-09-04,11.26,13.04,11.19,11.78,9818600,10.690721
2007-08-01,11.02,11.40,8.40,11.06,6945800,10.028941
2007-07-02,11.30,12.93,11.03,11.07,7155700,10.038008
2007-06-01,13.63,14.28,11.02,11.12,7781400,10.083347
2007-05-01,13.83,14.66,12.75,13.45,6510800,12.185764
2007-04-02,14.35,15.25,13.95,13.97,5814900,12.656887
2007-03-01,14.36,14.90,12.60,14.36,8246800,13.010228
2007-02-01,13.79,15.44,13.16,14.65,7284400,13.263746
2007-01-03,13.17,13.63,11.33,13.48,7226800,12.204457
2006-12-01,12.90,13.81,12.16,13.18,5319300,11.932845
2006-11-01,10.13,12.93,9.94,12.84,5319100,11.615828
2006-10-02,9.31,9.93,7.82,9.91,3330900,8.965175
2006-09-01,10.22,11.12,8.79,9.25,3491600,8.3681
2006-08-01,10.18,11.38,9.25,10.25,2403900,9.262614
2006-07-03,10.07,10.49,8.75,10.18,2095900,9.199357
2006-06-01,9.81,10.40,7.79,9.86,2245300,8.910183
2006-05-01,11.34,12.42,8.36,10.22,2637700,9.235504
2006-04-03,9.48,11.64,9.33,11.02,2174500,9.95844
2006-03-01,9.01,9.75,8.03,9.26,1346400,8.367981
2006-02-01,8.07,9.13,7.23,8.96,1822800,8.09688
2006-01-03,6.81,8.64,6.60,8.05,2021100,7.274541
2005-12-01,4.83,6.76,4.78,6.61,1600000,5.973257
2005-11-01,3.81,5.04,3.74,4.78,722400,4.319541
2005-10-03,4.30,4.30,3.65,3.82,641700,3.452018
2005-09-01,3.91,4.70,3.77,4.32,785300,3.903853
2005-08-01,3.71,4.14,3.52,3.86,349900,3.488165
2005-07-01,3.66,4.17,3.55,3.71,324200,3.352614
2005-06-01,3.26,3.95,3.20,3.69,390200,3.334541
2005-05-02,2.87,3.28,2.68,3.27,279600,2.955
2005-04-01,3.30,3.40,2.82,2.88,230900,2.602569
2005-03-01,3.32,3.78,3.01,3.31,417000,2.991147
2005-02-01,3.03,3.71,2.96,3.32,616100,3.000183
2005-01-03,2.83,3.19,2.67,3.10,216900,2.801376
2004-12-01,3.03,3.08,2.51,3.02,312800,2.729082
2004-11-01,2.84,3.30,2.63,3.07,272800,2.774266
2004-10-01,2.64,3.09,2.60,2.84,220700,2.566422
2004-09-01,2.37,2.65,2.03,2.65,229900,2.394725
2004-08-02,2.10,2.50,1.92,2.36,161500,2.13266
2004-07-01,2.19,2.57,1.95,2.11,126300,1.906743
2004-06-01,2.55,2.55,1.65,2.12,179800,1.91578
2004-05-03,2.13,2.43,1.88,2.40,259300,2.168807
2004-04-01,3.43,3.49,2.05,2.10,272000,1.897706
2004-03-01,2.47,3.39,2.34,3.39,196100,3.06344
2004-02-02,2.19,2.81,2.11,2.43,132200,2.195917
2004-01-12,2.74,2.85,2.11,2.26,160200,2.042293
