Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.309999,16.459999,16.309999,16.40,404200,12.994526
2013-03-01,16.85,17.25,15.93,16.33,327300,12.939062
2013-02-01,16.709999,17.09,16.50,16.889999,220400,13.304605
2013-01-02,16.030001,16.92,15.73,16.68,257200,13.061347
2012-12-03,15.70,16.059999,15.36,15.65,182700,12.2548
2012-11-01,16.059999,16.18,14.02,15.73,287200,11.977365
2012-10-01,15.87,16.10,15.35,16.02,201200,12.122321
2012-09-04,15.69,15.95,15.45,15.88,192200,11.941468
2012-08-01,15.83,15.98,15.56,15.70,169900,11.730624
2012-07-02,15.02,15.89,14.96,15.87,191100,11.782927
2012-06-01,14.72,15.14,14.43,14.99,157900,11.055949
2012-05-01,15.22,15.30,14.23,14.88,190600,10.900058
2012-04-02,14.95,15.40,14.72,15.24,163600,11.090755
2012-03-01,15.27,15.45,14.73,15.02,184100,10.859397
2012-02-01,14.92,15.34,14.77,15.23,184800,10.938448
2012-01-03,14.28,15.14,14.13,15.00,234000,10.701436
2011-12-01,14.47,14.75,13.97,14.17,199300,10.10929
2011-11-01,14.24,14.66,13.98,14.45,175900,9.940092
2011-10-03,13.03,14.64,12.43,14.63,227800,9.994507
2011-09-01,14.34,14.50,12.99,13.00,185300,8.81126
2011-08-01,14.93,15.24,12.81,14.38,315400,9.676338
2011-07-01,15.25,15.41,14.60,14.65,195000,9.792824
2011-06-01,15.28,15.39,14.59,15.31,198800,10.1672
2011-05-02,14.82,15.38,14.80,15.33,175500,10.114073
2011-04-01,14.88,15.02,14.64,14.79,195600,9.692925
2011-03-01,14.61,14.98,14.36,14.90,184800,9.699873
2011-02-01,14.40,14.66,14.27,14.60,174300,9.439784
2011-01-03,14.40,14.43,13.98,14.37,199300,9.226777
2010-12-01,14.70,14.72,13.31,14.30,340600,9.118113
2010-11-01,15.32,15.48,13.49,14.72,336100,9.322154
2010-10-01,14.88,15.31,14.71,15.25,216400,9.595251
2010-09-01,14.30,14.96,14.16,14.80,218100,9.249658
2010-08-02,14.54,14.66,14.16,14.32,220700,8.887171
2010-07-01,13.37,14.53,12.91,14.50,208700,8.937414
2010-06-01,12.71,13.73,12.68,13.43,190500,8.216486
2010-05-03,14.31,14.55,10.96,12.83,507300,7.788129
2010-04-01,14.26,14.86,14.07,14.35,242500,8.650441
2010-03-01,13.56,14.34,13.52,14.23,243900,8.518575
2010-02-01,13.65,13.98,12.10,13.50,425900,8.023008
2010-01-04,13.36,13.95,13.17,13.59,280200,8.018723
2009-12-01,13.08,13.50,13.01,13.29,245200,7.785295
2009-11-02,12.26,13.08,12.26,13.07,263400,7.598459
2009-10-01,12.65,13.17,12.01,12.22,261600,7.051569
2009-09-01,11.63,12.98,11.56,12.61,210100,7.223708
2009-08-03,11.56,12.25,10.64,11.77,240800,6.68928
2009-07-01,10.31,11.64,10.15,11.54,171800,6.507945
2009-06-01,10.65,10.78,10.01,10.27,172800,5.740434
2009-05-01,9.42,10.50,9.09,10.21,209200,5.657479
2009-04-01,8.20,9.60,8.14,9.58,186200,5.258014
2009-03-02,7.45,8.64,6.50,8.29,276400,4.49895
2009-02-02,9.10,9.55,7.25,7.87,317800,4.215696
2009-01-02,7.69,9.50,7.66,9.25,411000,4.903716
2008-12-01,7.06,7.88,6.06,7.61,446400,3.987401
2008-11-03,8.54,9.09,5.66,7.16,265100,3.499508
2008-10-01,9.93,10.34,5.30,8.41,380100,4.067601
2008-09-02,12.59,12.72,8.20,10.03,425100,4.806153
2008-08-01,12.10,12.50,11.97,12.47,134400,5.931659
2008-07-01,12.50,12.59,11.25,12.08,217500,5.702664
2008-06-02,14.03,14.07,12.72,12.78,196000,5.989214
2008-05-01,13.98,14.25,13.49,14.03,186300,6.531367
2008-04-01,13.18,13.96,13.07,13.85,167100,6.404247
2008-03-03,13.37,13.46,12.72,13.10,132900,6.018879
2008-02-01,13.28,13.48,12.50,13.37,161600,6.103405
2008-01-02,12.68,13.48,12.20,13.19,175000,5.982491
2007-12-03,13.22,13.35,12.50,12.61,146600,5.719425
2007-11-01,13.37,13.60,12.30,13.14,145200,5.883186
2007-10-01,13.65,13.74,12.99,13.34,131000,5.93521
2007-09-04,12.77,13.67,12.62,13.60,167000,6.013126
2007-08-01,12.75,12.98,10.65,12.84,276200,5.602802
2007-07-02,13.53,13.88,12.85,12.88,168300,5.583167
2007-06-01,14.18,14.28,13.14,13.53,172100,5.828404
2007-05-01,13.92,14.25,13.82,14.20,151700,6.08046
2007-04-02,13.89,15.46,13.07,13.94,151800,5.935251
2007-03-01,13.95,13.98,13.27,13.85,136700,5.712204
2007-02-01,14.02,14.15,13.72,14.03,167600,5.752506
2007-01-03,13.65,14.07,13.44,14.04,194400,5.724307
2006-12-01,13.70,13.82,13.62,13.70,218000,5.585684
2006-11-01,13.49,13.71,13.28,13.69,179500,5.498609
2006-10-02,13.08,13.57,13.07,13.55,221100,5.410647
2006-09-01,12.93,13.15,12.73,13.04,171600,5.175883
2006-08-01,12.46,12.92,12.34,12.92,180900,5.096896
2006-07-03,12.08,12.49,11.90,12.48,231100,4.892177
2006-06-01,12.22,12.35,11.98,12.01,150100,4.677071
2006-05-01,12.47,12.51,12.21,12.25,117100,4.741303
2006-04-03,12.59,12.72,12.18,12.45,135000,4.789707
2006-03-01,13.10,13.13,12.45,12.59,140100,4.814963
2006-02-01,12.70,13.24,12.44,13.16,188000,5.004273
2006-01-03,12.45,12.92,12.37,12.72,122000,4.808437
2005-12-01,12.36,12.44,12.23,12.43,83800,4.698811
2005-11-01,12.10,12.38,11.98,12.34,100700,4.607619
2005-10-03,12.62,12.75,11.88,12.09,96600,4.486291
2005-09-01,12.40,12.64,11.92,12.59,95800,4.644325
2005-08-01,12.36,12.66,12.28,12.37,109100,4.535878
2005-07-01,12.43,12.52,12.20,12.42,99300,4.526711
2005-06-01,12.06,12.42,11.99,12.42,104300,4.49942
2005-05-02,11.85,12.08,11.74,12.05,98900,4.338209
2005-04-01,11.90,12.09,11.49,11.84,111400,4.235558
2005-03-01,12.72,12.73,11.31,11.80,181600,4.194373
2005-02-01,12.50,12.86,12.44,12.70,162100,4.487581
2005-01-03,12.36,12.56,12.05,12.56,187100,4.438112
2004-12-01,12.03,12.39,12.01,12.38,147700,4.358439
2004-11-01,12.32,12.43,11.85,12.16,184500,4.244548
2004-10-01,12.24,12.40,12.09,12.34,126000,4.281674
2004-09-01,11.77,12.27,11.58,12.14,162600,4.186666
2004-08-02,11.59,11.77,11.38,11.77,152800,4.033546
2004-07-01,10.94,11.51,10.94,11.50,125300,3.914495
2004-06-01,11.00,11.10,10.67,11.04,142500,3.757915
2004-05-03,11.02,11.15,9.71,10.91,330100,3.661208
2004-04-01,12.87,13.04,11.04,11.05,306600,3.68199
2004-03-01,12.68,13.08,12.58,12.91,118200,4.301764
2004-02-02,12.74,12.88,12.23,12.62,154800,4.1497
2004-01-02,13.01,13.51,12.63,12.74,210600,4.161275
2003-12-01,13.04,13.18,12.64,13.03,186800,4.243633
2003-11-03,12.57,13.03,12.46,13.00,233200,4.185888
2003-10-01,12.36,12.64,12.00,12.59,168400,4.024091
2003-09-02,11.85,12.36,11.66,12.36,182300,3.920852
2003-08-01,11.23,11.84,10.69,11.84,170300,3.726421
2003-07-01,11.78,12.02,11.15,11.27,252400,3.547024
2003-06-02,12.00,12.58,11.71,12.03,253400,3.726777
2003-05-01,11.46,12.13,11.10,12.07,287900,3.710618
2003-04-01,10.96,11.62,10.86,11.42,234500,3.510792
2003-03-03,10.45,10.96,10.24,10.95,267400,3.312732
2003-02-03,10.17,10.52,9.97,10.45,167800,3.136475
2003-01-02,9.74,10.32,9.70,10.11,185200,3.009686
2002-12-02,9.65,9.89,9.35,9.74,161600,2.899539
2002-11-01,9.10,9.58,9.02,9.56,141600,2.810308
2002-10-01,9.00,9.13,8.38,9.02,132800,2.651567
2002-09-03,9.27,9.35,8.81,8.97,133100,2.58875
2002-08-01,8.60,9.49,8.31,9.37,137700,2.680004
2002-07-01,9.59,9.72,8.00,8.70,185100,2.488371
2002-06-03,10.59,10.60,8.61,9.54,238100,2.677894
2002-05-01,10.22,10.59,10.09,10.59,132600,2.947126
2002-04-01,10.33,10.35,10.06,10.28,149100,2.835809
2002-03-01,10.05,10.33,9.98,10.32,149800,2.821944
2002-02-01,9.88,10.14,9.70,10.04,168300,2.745379
2002-01-02,9.57,10.35,9.50,9.81,287200,2.658655
2001-12-03,9.81,9.85,9.45,9.67,193600,2.59696
