Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,67.419998,67.75,67.010002,67.260002,6025200,65.524239
2013-03-01,61.84,67.480003,61.509998,67.459999,5286100,65.719078
2013-02-01,59.330002,63.00,59.209999,62.150002,5927400,60.546112
2013-01-02,58.330002,61.970001,58.310001,58.810001,6126600,57.292309
2012-12-03,56.09,58.349998,55.470001,57.48,5448500,55.801792
2012-11-01,56.150002,57.48,53.02,55.900002,5648200,54.267925
2012-10-01,57.18,59.400002,54.950001,55.970001,5517900,54.33588
2012-09-04,58.310001,59.369999,56.049999,56.860001,5675300,55.006821
2012-08-01,57.52,58.439999,55.369999,58.299999,4532700,56.399887
2012-07-02,58.509998,59.73,54.349998,57.709999,5745100,55.829113
2012-06-01,54.619999,58.209999,53.18,58.209999,5758000,56.122089
2012-05-01,59.950001,61.419998,54.799999,55.830002,6201500,53.827457
2012-04-02,57.900002,60.959999,56.139999,60.209999,6897300,58.05035
2012-03-01,53.029999,59.259998,51.540001,57.860001,6581700,55.592316
2012-02-01,50.369999,54.450001,50.27,52.889999,6513600,50.817101
2012-01-03,48.299999,51.00,47.400002,50.139999,6710600,48.174881
2011-12-01,47.700001,49.389999,45.889999,47.169998,6117600,45.152699
2011-11-01,49.580002,51.82,44.700001,48.040001,7484800,45.985497
2011-10-03,44.52,52.349998,41.299999,50.619999,10689100,48.455154
2011-09-01,49.639999,50.529999,44.869999,44.900002,8971300,42.801647
2011-08-01,50.490002,50.610001,42.029999,49.709999,11359400,47.386856
2011-07-01,51.689999,53.799999,49.540001,50.040001,6463400,47.701435
2011-06-01,51.310001,51.82,46.919998,51.700001,7396800,49.283855
2011-05-02,49.369999,51.970001,49.169998,51.599998,7398500,49.010807
2011-04-01,45.700001,49.150002,45.099998,49.080002,7046800,46.61726
2011-03-01,43.700001,46.290001,42.189999,45.200001,7299900,42.76181
2011-02-01,43.540001,46.93,43.009998,43.57,9052500,41.219734
2011-01-03,43.299999,46.709999,43.110001,43.380001,9587700,41.039986
2010-12-01,43.84,46.779999,41.25,42.919998,9411200,40.438496
2010-11-01,41.490002,44.27,41.349998,43.220001,9288500,40.721153
2010-10-01,42.369999,42.560001,37.330002,41.459999,18719300,39.062908
2010-09-01,40.549999,43.93,39.759998,42.029999,10774900,39.41375
2010-08-02,45.009998,45.200001,39.139999,39.869999,8602700,37.388203
2010-07-01,39.549999,45.68,38.419998,44.639999,9678000,41.861282
2010-06-01,39.18,43.139999,37.130001,39.700001,11683300,37.228786
2010-05-03,46.209999,47.369999,37.360001,39.869999,16456900,37.220333
2010-04-01,41.68,49.189999,41.360001,46.119999,11359300,43.054974
2010-03-01,38.200001,42.279999,37.860001,41.259998,8255900,38.517956
