Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.90,13.97,13.82,13.94,14200,12.504869
2013-03-01,14.43,14.43,13.40,13.86,26500,12.433105
2013-02-01,14.74,14.79,14.33,14.35,11700,12.82659
2013-01-02,14.44,14.88,14.43,14.72,18500,13.111723
2012-12-03,15.72,15.72,14.24,14.37,25800,12.754536
2012-11-01,15.51,16.08,15.30,15.75,11000,13.932616
2012-10-01,15.84,15.97,15.39,15.47,6600,13.622601
2012-09-04,15.53,15.78,15.42,15.76,6500,13.81596
2012-08-01,15.85,15.86,14.87,15.54,9300,13.561094
2012-07-02,15.69,16.07,15.58,15.90,7800,13.813293
2012-06-01,15.50,15.65,15.14,15.65,6400,13.534538
2012-05-01,15.48,15.78,14.97,15.50,11800,13.343173
2012-04-02,14.79,15.50,14.60,15.48,7800,13.265615
2012-03-01,15.53,15.65,14.22,14.81,21300,12.630075
2012-02-01,15.58,15.93,15.35,15.58,13000,13.22607
2012-01-03,15.30,15.68,14.86,15.64,18200,13.216733
2011-12-01,13.83,15.45,13.83,15.27,16500,12.843745
2011-11-01,13.65,13.95,13.63,13.86,11600,11.59941
2011-10-03,14.01,14.08,13.50,13.69,17700,11.397933
2011-09-01,13.96,14.15,13.79,13.99,5900,11.588167
2011-08-01,13.93,14.06,13.11,13.95,7200,11.496433
2011-07-01,14.21,14.38,13.72,13.92,6700,11.413781
2011-06-01,13.86,14.24,13.84,14.21,6500,11.593473
2011-05-02,13.69,13.90,13.59,13.90,4800,11.282628
2011-04-01,13.68,13.77,13.49,13.70,5000,11.062825
2011-03-01,13.72,14.02,13.51,13.71,8500,11.013776
2011-02-01,13.61,13.80,13.50,13.68,10300,10.932805
2011-01-03,14.25,14.25,12.96,13.60,18300,10.812378
2010-12-01,14.75,15.07,13.93,14.27,24800,11.286677
2010-11-01,14.79,14.84,12.97,14.77,19700,11.62599
2010-10-01,14.67,14.82,14.65,14.75,8500,11.554624
2010-09-01,15.02,15.08,14.48,14.64,8200,11.413436
2010-08-02,14.40,15.18,14.34,15.07,16800,11.693315
2010-07-01,13.97,14.47,13.93,14.35,9100,11.080309
2010-06-01,14.07,14.28,13.86,14.02,9500,10.770718
2010-05-03,14.13,14.25,13.37,14.06,8000,10.746824
2010-04-01,13.80,13.91,13.56,13.88,9300,10.555474
2010-03-01,13.66,13.84,13.55,13.70,9600,10.364435
2010-02-01,13.69,13.74,13.35,13.65,9300,10.272896
2010-01-04,13.10,13.72,13.05,13.63,7800,10.204838
2009-12-01,13.16,13.25,13.03,13.11,5200,9.763504
2009-11-02,13.08,13.21,12.50,13.20,11400,9.777331
2009-10-01,13.55,13.74,12.71,13.08,8800,9.639409
2009-09-01,13.29,13.64,12.89,13.55,8700,9.937638
2009-08-03,12.91,13.28,12.70,13.28,6400,9.690623
2009-07-01,11.98,12.86,11.97,12.82,6200,9.307129
2009-06-01,12.14,12.35,11.67,12.08,8200,8.721585
2009-05-01,11.85,12.39,11.82,12.07,8800,8.667106
2009-04-01,10.82,11.83,10.82,11.83,11500,8.448203
2009-03-02,11.29,11.29,10.42,11.00,6800,7.808339
2009-02-02,11.12,11.55,10.35,11.31,10000,7.979375
2009-01-02,9.60,11.39,9.60,11.26,9500,7.902548
2008-12-01,9.44,9.84,7.80,9.68,19900,6.755272
2008-11-03,10.70,11.00,9.10,9.47,6800,6.566477
2008-10-01,10.85,11.38,6.93,10.65,25200,7.34453
2008-09-02,13.41,13.50,10.90,10.99,8000,7.538315
2008-08-01,13.20,13.54,12.95,13.39,4800,9.144216
2008-07-01,13.51,13.62,13.07,13.23,4200,8.994869
2008-06-02,13.80,13.86,13.40,13.60,3700,9.206314
2008-05-01,13.68,14.19,13.68,13.83,5000,9.321954
2008-04-01,13.43,14.20,13.32,13.67,9100,9.175304
2008-03-03,13.10,13.83,13.00,13.46,6500,8.994722
2008-02-01,14.10,14.16,13.10,13.25,15400,8.81511
2008-01-02,13.40,14.33,13.31,14.05,8600,9.30809
2007-12-03,13.85,13.90,13.06,13.40,11200,8.83992
2007-11-01,13.74,13.89,13.01,13.85,8500,9.097349
2007-10-01,13.85,14.00,13.67,13.81,6100,9.03201
2007-09-04,13.80,14.20,13.77,13.85,6100,9.019942
2007-08-01,13.80,14.00,13.05,13.77,7400,8.929777
2007-07-02,14.50,14.73,13.76,13.90,6400,8.975821
2007-06-01,14.47,14.52,13.82,14.43,7400,9.280279
2007-05-01,14.67,14.74,14.22,14.47,8100,9.267742
2007-04-02,14.89,15.00,14.60,14.67,7100,9.358178
2007-03-01,14.48,14.81,14.48,14.81,6000,9.410102
2007-02-01,14.48,14.80,14.39,14.48,6100,9.163192
2007-01-03,14.50,14.60,14.30,14.41,7100,9.081559
2006-12-01,14.47,14.75,14.33,14.44,8800,9.063282
2006-11-01,14.70,14.75,14.37,14.52,7300,9.077041
2006-10-02,14.95,14.99,14.63,14.76,6600,9.190191
2006-09-01,14.67,14.99,14.43,14.85,10000,9.206726
2006-08-01,14.50,14.85,14.23,14.60,6600,9.01216
2006-07-03,13.90,14.60,13.75,14.58,5700,8.960309
2006-06-01,13.75,14.18,13.63,13.96,9800,8.540174
2006-05-01,13.99,14.05,13.60,13.71,5600,8.348836
2006-04-03,14.13,14.17,13.85,13.99,6500,8.4804
2006-03-01,14.32,14.33,13.79,14.06,10200,8.484202
2006-02-01,13.87,14.29,13.84,14.29,7900,8.584371
2006-01-03,13.81,14.22,13.78,13.98,5500,8.359699
2005-12-01,13.65,13.88,13.37,13.75,10900,8.185055
2005-11-01,13.67,13.79,13.46,13.70,10000,8.117249
2005-10-03,14.21,14.33,13.50,13.64,9700,8.044191
2005-09-01,15.11,15.42,14.12,14.12,8900,8.289872
2005-08-01,15.10,15.26,14.73,15.20,9700,8.879001
2005-07-01,14.95,15.28,14.84,15.00,9100,8.717579
2005-06-01,14.50,15.05,14.29,15.00,11800,8.673125
2005-05-02,14.24,14.65,13.93,14.52,8200,8.351064
2005-04-01,13.78,14.39,13.66,14.17,6100,8.105726
2005-03-01,14.38,14.55,13.40,13.78,7700,7.838586
2005-02-01,14.13,14.50,14.10,14.48,9000,8.192972
2005-01-03,13.59,14.41,13.58,14.19,7500,7.985288
2004-12-01,13.53,13.89,13.29,13.57,11500,7.594388
2004-11-01,13.87,14.00,13.30,13.71,12100,7.629646
2004-10-01,13.73,13.90,13.46,13.82,9300,7.648134
2004-09-01,13.58,13.80,13.45,13.73,9400,7.555244
2004-08-02,13.56,13.86,13.31,13.64,8800,7.463349
2004-07-01,12.76,13.46,12.76,13.43,7000,7.306468
2004-06-01,12.75,12.95,12.52,12.71,8000,6.914759
2004-05-03,12.92,12.93,12.10,12.74,10500,6.847485
2004-04-01,14.49,14.49,12.65,12.92,14400,6.902781
2004-03-01,14.35,14.76,14.24,14.43,12400,7.70953
2004-02-02,13.86,14.42,13.79,14.35,12100,7.585127
2004-01-02,13.48,13.85,13.48,13.85,10100,7.280311
2003-12-01,13.39,13.55,13.19,13.50,14300,7.056095
2003-11-03,13.26,13.43,13.17,13.33,11400,6.927085
2003-10-01,13.16,13.46,13.12,13.23,8100,6.835285
2003-09-02,13.19,13.34,13.03,13.23,7800,6.795503
2003-08-01,13.34,13.34,12.85,13.17,11300,6.725284
2003-07-01,14.50,14.52,13.10,13.25,8200,6.766136
2003-06-02,14.32,14.51,14.19,14.49,5500,7.318231
2003-05-01,13.77,14.35,13.64,14.32,9300,7.193428
2003-04-01,13.63,13.75,13.35,13.74,6900,6.902074
2003-03-03,13.46,13.63,13.30,13.63,7200,6.770013
2003-02-03,13.43,13.64,13.28,13.41,8900,6.622916
2003-01-02,13.79,13.79,13.25,13.33,8700,6.545801
2002-12-02,13.35,13.78,13.08,13.77,21900,6.724055
2002-11-01,13.73,13.93,13.24,13.28,7600,6.447407
2002-10-01,14.43,14.57,13.63,13.63,8500,6.617331
2002-09-03,14.13,14.60,14.12,14.45,8200,6.938873
2002-08-01,14.00,14.24,13.85,14.11,10200,6.738838
2002-07-01,13.83,14.18,13.75,13.91,7400,6.64332
2002-06-03,13.78,14.05,13.72,13.84,8200,6.537198
2002-05-01,13.95,14.03,13.58,13.75,9000,6.458475
2002-04-01,13.65,13.95,13.24,13.95,5800,6.516249
2002-03-01,15.11,15.11,13.43,13.69,14500,6.394799
2002-02-01,15.01,15.09,15.00,15.09,11100,7.009543
2002-01-29,15.00,15.03,15.00,15.00,103700,6.967737
