Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.05,4.05,3.66,3.80,162400,3.724813
2013-03-01,3.67,4.38,3.65,4.09,102000,4.009075
2013-02-01,3.21,3.83,3.02,3.68,73100,3.598055
2013-01-02,3.07,3.55,2.97,3.23,72900,3.158075
2012-12-03,2.87,3.20,2.70,2.98,95100,2.913642
2012-11-01,3.39,3.45,2.76,2.89,130400,2.825646
2012-10-01,3.26,3.55,3.03,3.41,62500,3.324261
2012-09-04,3.09,3.66,3.01,3.23,63700,3.148787
2012-08-01,3.19,3.48,2.98,3.08,52300,3.002558
2012-07-02,3.44,3.73,3.18,3.18,46900,3.054589
2012-06-01,3.60,3.74,3.11,3.44,204400,3.304335
2012-05-01,4.63,4.65,3.59,3.70,113100,3.554081
2012-04-02,4.18,4.77,3.93,4.65,134300,4.412541
2012-03-01,4.59,4.64,3.79,4.15,155400,3.938074
2012-02-01,4.26,4.86,4.02,4.58,254200,4.346115
2012-01-03,4.90,4.97,4.04,4.23,116700,3.905277
2011-12-01,5.09,5.24,4.40,4.75,99600,4.385358
2011-11-01,5.44,5.87,4.39,5.14,102700,4.745419
2011-10-03,4.59,6.20,4.17,5.56,146900,5.020153
2011-09-01,5.12,5.50,4.42,4.65,156500,4.198509
2011-08-01,5.57,5.69,3.64,5.14,230600,4.640932
2011-07-01,5.74,5.86,4.71,5.49,217700,4.85781
2011-06-01,6.35,6.56,5.68,5.74,178000,5.079022
2011-05-02,8.04,8.18,6.15,6.36,257800,5.627627
2011-04-01,9.20,9.37,7.87,8.01,165000,7.028561
2011-03-01,9.53,9.59,8.40,9.12,145500,8.002557
2011-02-01,8.31,9.52,8.26,9.47,254800,8.156789
2011-01-03,10.31,11.07,8.25,8.29,249800,7.14042
2010-12-01,11.97,12.37,10.14,10.21,193600,8.794172
2010-11-01,11.38,12.69,11.28,11.73,231200,10.103393
2010-10-01,11.11,11.58,10.80,11.30,169400,9.604321
2010-09-01,11.35,11.53,10.76,11.01,155500,9.357838
2010-08-02,11.63,12.00,10.20,11.18,226900,9.502328
2010-07-01,11.34,11.59,9.90,11.43,171800,9.573506
2010-06-01,12.32,12.84,11.17,11.37,269600,9.523251
2010-05-03,13.86,13.97,11.07,12.49,282900,10.461337
2010-04-01,13.60,14.50,13.14,13.92,431900,11.659073
2010-03-10,14.00,14.27,13.05,13.55,930300,11.349169
