Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.31,15.39,15.22,15.27,23800,13.222312
2013-03-01,16.110001,16.110001,14.64,15.22,23700,13.179017
2013-02-01,16.17,16.26,15.95,16.030001,13500,13.816335
2013-01-02,16.049999,16.700001,16.00,16.200001,16300,13.900801
2012-12-03,16.75,16.76,15.50,15.87,24200,13.558855
2012-11-01,16.17,16.690001,15.75,16.65,23500,14.163377
2012-10-01,16.040001,16.24,15.87,16.120001,17100,13.652622
2012-09-04,15.99,16.049999,15.72,16.040001,12300,13.523888
2012-08-01,16.33,16.65,15.51,15.96,12800,13.396033
2012-07-02,15.78,16.459999,15.78,16.24,15600,13.572071
2012-06-01,15.56,15.94,15.35,15.82,17800,13.162848
2012-05-01,15.36,15.90,15.03,15.49,20800,12.829581
2012-04-02,14.64,15.44,14.48,15.19,20200,12.519515
2012-03-01,15.16,15.21,13.89,14.59,18900,11.963813
2012-02-01,15.00,15.25,14.61,15.15,20100,12.361063
2012-01-03,14.29,15.00,13.84,14.99,26100,12.17009
2011-12-01,14.08,14.30,13.94,14.30,10500,11.549592
2011-11-01,13.99,14.25,13.90,14.03,12200,11.27184
2011-10-03,13.90,14.00,13.54,14.00,10800,11.187868
2011-09-01,13.36,14.05,13.30,13.87,12100,11.024002
2011-08-01,12.90,13.55,12.20,13.25,13800,10.473819
2011-07-01,13.36,13.60,12.70,12.73,9000,10.004537
2011-06-01,13.15,13.48,12.79,13.27,11000,10.370685
2011-05-02,12.68,13.11,12.61,13.11,9800,10.186487
2011-04-01,12.25,12.72,12.03,12.58,13600,9.717403
2011-03-01,12.11,12.40,11.96,12.20,16500,9.366873
2011-02-01,12.01,12.17,11.74,12.06,17800,9.20288
2011-01-03,12.35,12.48,11.13,11.93,25800,9.046301
2010-12-01,13.58,13.63,11.91,12.34,35300,9.299483
2010-11-01,14.39,14.53,12.10,13.58,21600,10.172105
2010-10-01,14.34,14.60,14.16,14.33,11600,10.677199
2010-09-01,14.56,14.60,14.06,14.30,13000,10.599352
2010-08-02,13.95,14.53,13.85,14.53,13200,10.713699
2010-07-01,13.70,14.07,13.64,13.90,7800,10.195112
2010-06-01,13.87,13.99,13.50,13.68,7700,9.979883
2010-05-03,13.87,13.95,13.32,13.83,10300,10.033916
2010-04-01,13.65,13.98,13.45,13.73,7300,9.906831
2010-03-01,13.10,13.57,12.35,13.57,11800,9.738285
2010-02-01,13.11,13.28,12.91,13.06,12400,9.319639
2010-01-04,12.87,13.14,12.78,13.10,10100,9.295109
2009-12-01,12.75,13.19,12.74,12.80,12100,9.030007
2009-11-02,12.80,12.98,12.45,12.75,15700,8.943588
2009-10-01,13.81,14.40,12.55,12.75,16500,8.891225
2009-09-01,12.84,13.99,12.76,13.80,8400,9.569741
2009-08-03,12.60,13.02,12.11,12.76,7200,8.799385
2009-07-01,11.79,12.55,11.69,12.40,9800,8.499322
2009-06-01,12.10,13.06,11.30,11.74,9900,7.996729
2009-05-01,11.70,12.17,11.67,12.03,4400,8.143806
2009-04-01,11.56,12.20,11.16,11.90,13500,8.00716
2009-03-02,10.69,11.91,10.11,11.45,11800,7.656867
2009-02-02,11.60,12.50,10.13,10.68,13600,7.091087
2009-01-02,9.76,12.45,9.76,11.65,14900,7.688994
2008-12-01,10.30,10.40,7.85,9.76,27600,6.400988
2008-11-03,10.88,11.40,8.46,10.25,15400,6.667149
2008-10-01,10.91,11.74,6.17,10.81,32300,6.985035
2008-09-02,13.57,14.06,10.51,10.90,17700,6.983749
2008-08-01,13.70,13.82,13.39,13.53,7400,8.622728
2008-07-01,13.97,14.19,13.48,13.68,12400,8.671937
2008-06-02,14.88,14.97,13.57,13.88,15800,8.75261
2008-05-01,14.79,15.08,14.45,14.78,8100,9.271786
2008-04-01,14.30,14.95,14.06,14.67,9700,9.157994
2008-03-03,13.65,14.51,13.56,14.31,12000,8.888377
2008-02-01,15.16,15.55,13.65,13.65,17900,8.434628
2008-01-02,13.87,16.15,13.87,15.16,16100,9.323023
2007-12-03,14.15,14.36,13.46,13.82,23600,8.458353
2007-11-01,15.16,15.29,13.80,14.02,14500,8.536926
2007-10-01,14.99,15.76,14.74,15.10,10700,9.148577
2007-09-04,15.27,15.28,14.62,14.92,7900,8.995268
2007-08-01,15.66,15.66,13.81,15.13,9100,9.077015
2007-07-02,15.92,15.98,15.31,15.51,7800,9.259821
2007-06-01,16.23,16.23,15.02,15.77,15000,9.370411
2007-05-01,16.65,16.91,16.01,16.23,11200,9.595998
2007-04-02,16.33,16.690001,16.25,16.60,9400,9.770997
2007-03-01,16.389999,16.860001,16.16,16.25,8700,9.521636
2007-02-01,16.15,16.719999,16.120001,16.35,9500,9.536658
2007-01-03,16.83,17.110001,15.88,16.10,8500,9.3481
2006-12-01,16.549999,17.030001,16.24,17.030001,6900,9.843677
2006-11-01,16.40,16.940001,15.87,16.469999,5900,9.476972
2006-10-02,16.40,16.42,15.57,16.299999,7000,9.335216
2006-09-01,15.99,16.42,15.90,16.27,8800,9.273179
2006-08-01,15.95,16.389999,15.55,15.99,6100,9.071294
2006-07-03,15.25,15.95,14.90,15.95,8700,9.006186
2006-06-01,15.37,15.80,14.70,15.15,8300,8.512116
2006-05-01,16.049999,16.200001,15.20,15.29,8200,8.549421
