Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,58.200001,58.209999,57.52,57.759998,1027600,52.992977
2013-03-01,61.84,63.98,58.040001,58.060001,750600,53.268223
2013-02-01,69.610001,69.940002,62.540001,63.189999,581700,56.928089
2013-01-02,72.290001,72.400002,65.190002,68.639999,643100,61.838013
2012-12-03,63.580002,70.559998,62.549999,70.370003,447800,63.39658
2012-11-01,64.449997,65.50,59.240002,63.130001,596100,56.874035
2012-10-01,63.080002,66.25,61.00,63.98,683300,57.639805
2012-09-04,58.189999,66.650002,56.16,62.459999,970400,56.270428
2012-08-01,59.23,62.919998,57.130001,58.77,812400,51.903996
2012-07-02,57.560001,59.360001,53.610001,58.259998,902400,51.453575
2012-06-01,51.389999,59.389999,51.34,57.189999,1388900,50.508583
2012-05-01,64.379997,66.080002,51.540001,52.50,1241900,46.366508
2012-04-02,61.50,64.400002,57.84,64.360001,1199500,56.840927
2012-03-01,65.279999,65.699997,59.150002,61.380001,995900,54.209076
2012-02-01,68.330002,69.959999,63.290001,64.809998,1172300,57.23835
2012-01-03,61.939999,69.589996,60.009998,67.330002,1223600,58.488255
2011-12-01,61.290001,63.810001,55.349998,58.389999,1417100,50.722248
2011-11-01,60.34,65.940002,53.880001,61.75,1572900,53.641014
2011-10-03,52.139999,68.580002,49.900002,62.970001,2123300,54.700806
2011-09-01,68.199997,68.889999,52.50,53.080002,1908100,46.109558
2011-08-01,75.959999,76.019997,57.599998,68.120003,2905400,58.160618
2011-07-01,78.510002,80.989998,73.290001,75.150002,1723500,64.162804
2011-06-01,79.029999,79.080002,71.370003,78.43,1592800,66.963257
2011-05-02,83.559998,84.529999,73.940002,79.400002,1887000,67.791443
2011-04-01,79.769997,86.959999,79.190002,84.18,1952800,71.872589
2011-03-01,79.800003,81.860001,69.709999,79.599998,2045400,67.962196
2011-02-01,78.190002,82.480003,75.419998,79.309998,2265200,66.925919
2011-01-03,81.029999,81.470001,74.769997,76.709999,1387200,64.731911
2010-12-01,73.419998,81.400002,73.330002,80.50,1153900,67.930107
2010-11-01,71.779999,80.330002,70.010002,71.160004,1767600,60.048531
2010-10-01,65.300003,71.32,63.740002,70.800003,1617600,59.744743
2010-09-01,57.540001,65.160004,57.490002,63.919998,1616600,53.939037
2010-08-02,63.93,65.400002,54.00,55.900002,1887800,46.44389
2010-07-01,52.23,63.099998,50.639999,61.540001,2574400,51.129822
2010-06-01,54.209999,60.41,49.439999,51.439999,3505600,42.738346
2010-05-03,61.189999,61.290001,49.169998,54.889999,3840100,45.60474
2010-04-01,70.269997,71.269997,60.919998,61.00,1894600,50.681168
2010-03-01,61.77,69.620003,61.549999,68.43,1622000,56.854298
2010-02-01,59.75,63.470001,56.09,61.759998,1777400,50.634144
2010-01-04,66.110001,69.660004,58.240002,58.580002,1354100,48.027012
2009-12-01,63.43,65.309998,59.560001,63.849998,1125900,52.347637
2009-11-02,54.360001,64.25,53.200001,61.939999,1300500,50.781715
2009-10-01,53.889999,61.689999,51.200001,54.200001,1847800,44.436054
2009-09-01,52.25,59.150002,49.93,55.099998,1675600,45.17392
2009-08-03,54.720001,55.790001,48.860001,52.220001,2026600,42.124249
2009-07-01,47.09,53.299999,41.240002,52.900002,1483300,42.672783
2009-06-01,50.950001,52.59,43.419998,45.459999,2111600,36.671165
2009-05-01,42.130001,48.669998,41.939999,48.099998,1541700,38.80077
2009-04-01,38.439999,45.400002,38.330002,41.84,1655200,33.751022
2009-03-02,29.940001,44.93,28.309999,39.549999,1733000,31.903751
2009-02-02,32.59,42.169998,30.299999,31.370001,1825700,25.305201
2009-01-02,39.639999,43.849998,31.10,33.830002,1383600,26.634146
2008-12-01,33.540001,40.799999,27.950001,38.580002,1179600,30.373791
2008-11-03,34.099998,38.50,21.059999,36.50,1662900,28.736219
2008-10-01,45.630001,45.689999,25.07,34.330002,1760900,27.027794
2008-09-02,56.82,57.209999,42.009998,45.91,1287600,36.144653
2008-08-01,64.169998,64.559998,55.860001,62.52,681600,48.514244
2008-07-01,74.589996,75.220001,61.189999,66.260002,815400,51.416409
2008-06-02,76.290001,78.360001,70.330002,77.480003,779500,60.122902
2008-05-01,73.110001,86.129997,69.43,76.360001,613500,59.253799
2008-04-01,58.220001,76.769997,57.790001,72.080002,660400,55.93261
2008-03-03,64.900002,67.669998,53.709999,58.75,529000,45.588799
2008-02-01,65.07,66.910004,57.00,64.300003,600600,49.895489
2008-01-02,62.23,63.689999,47.599998,63.00,550500,48.454483
2007-12-03,65.769997,69.870003,59.00,61.299999,315500,47.14698
2007-11-01,74.410004,76.279999,61.099998,66.760002,585000,51.346371
2007-10-01,73.07,78.339996,69.349998,77.739998,339100,59.791294
2007-09-04,57.48,71.980003,57.470001,71.910004,286300,55.307335
2007-08-01,57.970001,59.220001,45.25,58.599998,236800,44.669865
2007-07-02,57.099998,63.990002,54.68,59.299999,203200,45.203465
2007-06-01,49.57,57.330002,49.540001,56.200001,250600,42.840385
2007-05-01,45.34,50.669998,44.889999,49.040001,82700,37.382427
2007-04-02,44.849998,47.77,44.439999,45.48,80800,34.668694
2007-03-01,40.00,45.040001,36.290001,44.650002,87000,34.035999
2007-02-01,38.869999,44.18,38.50,40.450001,68700,30.834404
2007-01-03,37.02,38.459999,34.290001,37.970001,71100,28.661905
2006-12-01,38.450001,39.23,35.860001,37.200001,46900,28.080666
2006-11-01,40.00,40.919998,36.049999,38.330002,56800,28.933655
2006-10-02,35.09,39.119999,32.689999,38.900002,62300,29.363922
2006-09-01,38.540001,39.900002,32.07,34.700001,73600,26.193523
2006-08-01,37.759998,40.279999,37.080002,38.400002,63900,28.717695
2006-07-03,39.27,40.509998,36.110001,38.139999,53000,28.523251
2006-06-01,38.16,39.630001,32.75,39.16,89400,29.286064
2006-05-01,43.099998,46.75,35.900002,39.349998,66300,29.428156
2006-04-03,38.50,43.549999,38.50,41.950001,48600,31.372585
2006-03-01,33.779999,38.049999,31.549999,37.25,30000,27.857658
2006-02-01,37.849998,37.950001,32.900002,33.880001,34200,25.075634
2006-01-03,33.00,38.139999,33.00,37.700001,34000,27.902933
2005-12-01,30.209999,32.990002,30.139999,32.82,21100,24.291094
2005-11-01,29.950001,31.01,28.92,30.40,14800,22.499977
2005-10-03,31.950001,31.969999,27.629999,29.75,23600,22.018892
2005-09-01,30.709999,32.700001,30.10,32.50,16200,24.054253
2005-08-01,28.450001,31.59,28.139999,30.02,13400,22.01
2005-07-01,25.709999,28.92,25.709999,28.879999,16400,21.174177
2005-06-01,24.309999,27.030001,24.25,25.799999,16500,18.915989
2005-05-02,24.549999,25.450001,22.91,24.42,9700,17.904205
2005-04-01,27.75,27.84,23.65,24.549999,10800,17.999517
2005-03-01,29.200001,29.52,25.690001,27.18,14900,19.927776
2005-02-01,25.42,30.299999,24.450001,30.23,11900,21.960142
2005-01-03,23.200001,25.10,21.90,25.09,13700,18.226265
2004-12-01,23.450001,23.620001,21.459999,23.370001,9200,16.976797
2004-11-01,20.709999,23.809999,20.65,23.360001,11600,16.969532
2004-10-01,21.25,22.450001,20.15,20.43,12300,14.841076
2004-09-01,18.950001,21.459999,18.42,21.15,15200,15.364109
2004-08-02,18.299999,19.74,18.209999,18.889999,11200,13.584342
2004-07-01,17.530001,18.950001,17.40,18.25,11300,13.124101
2004-06-01,17.01,17.700001,16.120001,17.459999,22300,12.555988
2004-05-03,16.00,17.27,15.22,17.10,9600,12.297103
2004-04-01,18.65,19.50,15.75,16.00,21300,11.506061
2004-03-01,19.299999,19.77,17.290001,18.450001,22500,13.146985
2004-02-02,16.68,19.65,16.42,18.700001,14300,13.325129
2004-01-02,17.59,18.309999,16.35,16.68,8300,11.88573
2003-12-01,15.70,17.66,15.70,17.450001,12100,12.434412
2003-11-03,15.85,15.90,14.66,15.33,5900,10.923755
2003-10-01,13.15,16.15,13.15,15.70,12000,11.069334
2003-09-02,13.40,14.09,13.25,13.25,3200,9.341954
2003-08-01,11.91,13.25,11.70,13.20,38000,9.306702
2003-07-01,10.44,12.35,10.21,11.70,2800,8.249122
2003-06-25,10.55,10.75,10.40,10.75,7500,7.579321
