Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.41,31.42,30.700001,30.889999,6605800,29.111135
2013-03-01,30.209999,31.809999,30.01,31.389999,4611900,29.582342
2013-02-01,30.540001,31.360001,29.860001,30.360001,4166200,28.611658
2013-01-02,29.690001,31.219999,29.540001,30.280001,4451200,28.324682
2012-12-03,28.309999,29.77,27.52,29.110001,4275300,27.04315
2012-11-01,29.00,29.559999,26.860001,28.17,5539900,26.169889
2012-10-01,33.360001,33.889999,28.60,28.950001,5668700,26.89451
2012-09-04,31.51,34.369999,31.34,33.16,4145400,30.618893
2012-08-01,31.549999,32.00,30.780001,31.540001,3288100,29.123035
2012-07-02,31.26,32.73,30.41,31.370001,4607000,28.966064
2012-06-01,29.57,30.85,27.40,30.85,5424900,28.302782
2012-05-01,32.130001,32.669998,29.52,30.219999,4290700,27.724798
2012-04-02,31.219999,32.740002,29.93,32.040001,5857200,29.394526
2012-03-01,29.40,31.940001,28.24,31.389999,5727000,28.616444
2012-02-01,27.50,30.40,27.42,29.25,6663300,26.665531
2012-01-03,25.639999,27.90,25.26,27.190001,6448200,24.787548
2011-12-01,23.00,25.57,22.620001,25.17,4563200,22.804062
2011-11-01,22.32,24.27,21.030001,23.17,5830900,20.992058
2011-10-03,21.26,24.299999,19.76,23.34,10639700,21.146078
2011-09-01,22.209999,22.90,20.09,21.33,7072200,19.186979
2011-08-01,26.02,26.110001,18.92,22.290001,8852300,20.050528
2011-07-01,26.780001,27.360001,24.59,25.68,5209100,23.099936
2011-06-01,27.379999,27.42,25.24,26.84,6217400,24.001003
2011-05-02,27.10,27.559999,25.870001,27.540001,5921400,24.626963
2011-04-01,27.639999,27.809999,25.299999,26.92,5953900,24.072542
2011-03-01,27.559999,27.93,26.17,27.450001,6125700,24.394464
2011-02-01,27.870001,29.60,27.40,27.60,5343100,24.527767
2011-01-03,26.639999,28.50,25.950001,27.639999,7451300,24.563313
2010-12-01,23.540001,27.57,23.440001,26.290001,6619000,23.233015
2010-11-01,23.48,25.870001,22.49,23.200001,6761800,20.502317
2010-10-01,24.209999,24.610001,22.15,23.41,7373100,20.687899
2010-09-01,22.440001,24.879999,22.35,24.08,6805700,21.145987
2010-08-02,25.370001,25.549999,21.719999,22.120001,6196100,19.424803
2010-07-01,26.360001,28.690001,24.389999,24.83,8174100,21.804604
2010-06-01,29.93,30.98,26.18,26.309999,7835600,22.973642
2010-05-03,33.57,35.720001,29.049999,30.24,8543700,26.405281
2010-04-01,32.619999,35.400002,32.169998,33.240002,6976300,29.024855
2010-03-01,28.549999,32.93,27.35,32.389999,6623400,28.156115
2010-02-01,28.00,28.690001,26.610001,28.530001,6440100,24.800678
2010-01-04,25.690001,29.85,25.40,27.870001,9205300,24.226952
2009-12-01,25.57,26.700001,25.129999,25.370001,5086400,21.927383
2009-11-02,24.959999,25.719999,23.75,24.90,6072800,21.521158
2009-10-01,27.09,28.66,23.790001,23.91,9935500,20.665499
2009-09-01,27.85,29.809999,26.030001,27.24,7305900,23.416458
2009-08-03,23.219999,28.58,22.370001,27.940001,12556800,24.018204
2009-07-01,22.07,23.00,19.83,22.879999,8453600,19.668449
2009-06-01,22.620001,23.200001,21.16,21.98,8661300,18.75878
2009-05-01,23.67,28.67,20.23,22.42,18705600,19.134296
2009-04-01,16.58,24.75,16.27,23.34,14672100,19.91947
2009-03-02,15.53,19.57,12.90,16.92,14548900,14.04938
2009-02-02,20.01,20.15,13.04,16.129999,16206400,13.39341
2009-01-02,27.389999,27.719999,17.559999,19.790001,11943000,16.432463
2008-12-01,29.57,30.879999,24.809999,27.459999,6199200,22.383869
2008-11-03,35.50,36.599998,21.469999,29.969999,8342100,24.429884
2008-10-01,37.50,40.00,26.50,35.849998,8273700,29.222933
