Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.129999,22.459999,21.639999,21.68,12180400,20.355129
2013-03-01,17.379999,23.459999,16.120001,22.15,15453600,20.796408
2013-02-01,16.379999,17.76,13.83,16.41,9237500,15.288825
2013-01-02,12.14,16.360001,11.38,16.26,10708600,15.149074
2012-12-03,13.11,14.48,11.20,11.85,11243300,11.040377
2012-11-01,15.25,16.25,11.41,13.11,10946900,12.046293
2012-10-01,17.200001,18.530001,14.71,15.21,5347600,13.975906
2012-09-04,17.719999,18.790001,16.780001,17.200001,5922300,15.804444
2012-08-01,18.17,21.60,16.25,17.74,12867200,16.148705
2012-07-02,21.879999,23.57,16.969999,18.09,10054500,16.46731
2012-06-01,18.290001,21.59,17.92,20.959999,10340800,19.079866
2012-05-01,22.059999,22.690001,17.530001,18.719999,7975700,16.902395
2012-04-02,23.24,23.98,21.129999,22.07,9731800,19.92713
2012-03-01,24.84,27.950001,23.389999,23.68,8837400,21.224243
2012-02-01,24.129999,26.290001,23.76,24.700001,5008500,22.138464
2012-01-03,23.700001,25.99,22.85,23.950001,6122100,21.466244
2011-12-01,26.860001,28.530001,22.48,23.370001,7967500,20.946392
2011-11-01,25.52,28.42,25.33,27.09,6599600,24.111698
2011-10-03,23.190001,27.60,21.790001,26.23,6171100,23.346247
2011-09-01,25.59,26.10,22.74,23.299999,8846900,20.738375
2011-08-01,27.959999,28.030001,23.25,25.59,7745200,22.627132
2011-07-01,31.379999,32.650002,27.25,27.60,6587100,24.404409
2011-06-01,31.76,32.849998,28.309999,31.41,9371900,27.773279
2011-05-02,31.40,32.400002,30.18,31.76,6226800,27.949747
2011-04-01,28.860001,31.33,28.09,31.219999,8891600,27.474529
2011-03-01,32.310001,33.220001,28.52,28.719999,9931100,25.150196
2011-02-01,34.139999,35.450001,32.00,32.240002,7058500,28.232674
2011-01-03,34.099998,36.330002,33.599998,34.00,7308700,29.773909
2010-12-01,43.330002,43.75,33.400002,34.290001,10732300,30.027864
2010-11-01,42.98,45.630001,42.00,42.720001,5039800,37.246441
2010-10-01,41.07,43.849998,39.700001,42.98,5839500,37.473125
2010-09-01,31.780001,41.209999,31.77,40.830002,7279300,35.467819
2010-08-02,35.110001,36.209999,30.90,31.389999,5750300,27.267567
2010-07-01,33.68,37.040001,32.810001,34.66,7187700,30.10812
