Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.36,8.38,8.13,8.22,3725000,8.22
2013-03-01,7.22,8.55,7.16,8.35,2546900,8.35
2013-02-01,7.36,8.11,7.15,7.28,2220200,7.28
2013-01-02,6.45,7.41,6.44,7.31,2530200,7.31
2012-12-03,6.30,6.45,6.13,6.40,1045100,6.40
2012-11-01,5.51,6.58,5.45,6.23,2884900,6.23
2012-10-01,6.02,6.20,5.44,5.49,1782300,5.49
2012-09-04,6.11,6.63,6.01,6.01,1604900,6.01
2012-08-01,6.10,6.37,5.68,6.10,2083500,6.10
2012-07-02,6.47,6.70,5.73,6.06,1053700,6.06
2012-06-01,6.03,6.48,5.76,6.46,1665800,6.46
2012-05-01,6.79,7.01,5.68,6.23,1640100,6.23
2012-04-02,6.53,6.98,6.03,6.81,2195300,6.81
2012-03-01,6.26,6.83,5.79,6.58,1193000,6.58
2012-02-01,6.26,6.62,6.00,6.23,1450900,6.23
2012-01-03,5.55,6.54,5.38,6.21,1919200,6.21
2011-12-01,4.97,5.64,4.76,5.37,1380500,5.37
2011-11-01,5.26,5.84,4.33,5.02,1761300,5.02
2011-10-03,4.25,5.82,3.76,5.69,1791300,5.69
2011-09-01,4.78,5.10,4.05,4.31,1902600,4.31
2011-08-01,6.96,7.09,4.05,4.78,2770300,4.78
2011-07-01,7.11,7.62,6.59,6.80,1286000,6.80
2011-06-01,6.67,7.14,6.13,7.08,1562900,7.08
2011-05-02,6.88,7.00,6.35,6.69,1585100,6.69
2011-04-01,6.53,6.94,5.93,6.82,1038400,6.82
2011-03-01,6.54,6.72,5.65,6.45,1580300,6.45
2011-02-01,5.57,6.92,5.54,6.50,1886900,6.50
2011-01-03,5.36,5.94,5.23,5.51,1614100,5.51
2010-12-01,4.79,5.33,4.68,5.29,1411000,5.29
2010-11-01,4.57,5.29,4.40,4.67,1550600,4.67
2010-10-01,4.26,4.96,4.16,4.56,1429600,4.56
2010-09-01,3.66,4.42,3.57,4.24,1464800,4.24
2010-08-02,4.72,4.78,3.33,3.57,1801900,3.57
2010-07-01,4.42,4.72,3.62,4.61,2875300,4.61
2010-06-01,4.95,5.07,3.82,4.39,3544400,4.39
2010-05-03,6.52,6.97,4.01,4.90,9111600,4.90
2010-04-01,4.29,6.60,4.12,6.42,3183400,6.42
2010-03-01,2.75,4.82,2.66,4.25,2456500,4.25
2010-02-01,2.30,2.89,1.96,2.70,1057700,2.70
2010-01-04,1.86,2.75,1.84,2.30,1856200,2.30
2009-12-01,1.74,2.18,1.61,1.86,1100400,1.86
2009-11-02,1.84,1.88,1.43,1.70,1529900,1.70
2009-10-01,2.56,2.84,1.50,1.77,3490300,1.77
2009-09-01,1.36,3.07,1.18,2.59,4521500,2.59
2009-08-03,1.23,1.60,1.05,1.37,2227300,1.37
2009-07-01,1.18,1.26,0.94,1.18,1095300,1.18
2009-06-01,1.18,1.74,0.94,1.11,2027800,1.11
2009-05-01,0.86,1.78,0.86,1.15,3179500,1.15
2009-04-01,0.69,1.05,0.66,0.84,1344600,0.84
2009-03-02,0.80,1.02,0.61,0.69,1731500,0.69
2009-02-02,1.36,1.59,0.77,0.82,1400800,0.82
2009-01-02,1.68,2.29,1.25,1.37,1342400,1.37
2008-12-01,0.95,1.86,0.77,1.68,2128500,1.68
2008-11-03,4.90,5.36,0.78,1.00,1993200,1.00
2008-10-01,7.57,7.65,2.30,4.95,1510000,4.95
2008-09-02,9.46,11.01,6.48,7.55,1351100,7.55
2008-08-01,7.90,9.81,7.60,9.22,1060200,8.959671
2008-07-01,9.28,9.43,6.63,7.89,1574200,7.667223
2008-06-02,13.77,14.12,9.26,9.37,1093800,9.105435
2008-05-01,14.44,15.68,13.28,13.75,721300,13.054303
2008-04-01,13.23,15.50,13.06,14.41,695800,13.68091
2008-03-03,14.15,15.35,13.00,13.13,889100,12.465673
2008-02-01,14.44,16.90,14.13,14.24,658800,13.301161
2008-01-02,16.73,16.84,12.94,14.29,960700,13.347864
2007-12-03,18.209999,19.950001,16.15,16.73,800400,15.626995
2007-11-01,21.50,21.50,16.440001,18.309999,893800,16.878036
2007-10-01,20.559999,22.74,20.48,21.84,532600,20.131968
2007-09-04,20.52,21.76,20.209999,20.59,582700,18.979725
2007-08-01,21.280001,22.52,18.709999,20.57,1076200,18.741871
2007-07-02,22.629999,24.35,20.120001,21.280001,967300,19.388773
2007-06-01,23.450001,24.24,21.48,22.49,893400,20.491234
2007-05-01,21.60,23.379999,21.10,23.32,1075300,21.01931
2007-04-02,22.99,23.530001,21.610001,21.65,620500,19.514067
2007-03-01,21.030001,24.309999,19.76,22.870001,1110900,20.613707
2007-02-01,21.610001,22.25,20.25,21.00,688600,18.737722
2007-01-03,21.950001,22.030001,20.09,21.52,604600,19.201704
2006-12-01,21.709999,22.18,20.889999,21.790001,522700,19.442617
2006-11-01,21.200001,22.01,19.34,21.75,849500,19.202551
2006-10-02,19.809999,21.40,19.57,21.27,436700,18.77877
2006-09-01,20.50,21.48,19.83,19.879999,482000,17.551571
2006-08-01,19.85,20.52,18.43,20.40,635700,17.807205
2006-07-03,20.74,21.360001,19.00,19.950001,531900,17.4144
2006-06-01,20.700001,21.639999,19.24,20.74,670300,18.103992
2006-05-01,22.75,23.299999,19.67,20.52,740400,17.704412
2006-04-03,23.18,23.559999,21.889999,22.68,270300,19.568033
2006-03-01,21.74,23.299999,21.41,23.280001,469700,20.085707
2006-02-01,21.40,22.00,19.85,21.60,536300,18.44183
2006-01-03,20.73,21.92,20.15,21.40,486300,18.271072
2005-12-01,18.540001,20.969999,18.50,20.58,269900,17.570967
2005-11-01,16.90,18.620001,16.309999,18.469999,212400,15.599742
2005-10-03,18.25,18.34,16.32,16.99,214300,14.349736
2005-09-01,18.60,18.90,17.32,18.26,235000,15.422377
2005-08-01,19.10,20.299999,17.549999,18.440001,536800,15.387885
2005-07-01,18.10,19.299999,17.41,18.950001,158700,15.813472
2005-06-01,16.32,19.48,16.32,18.00,213200,15.020712
2005-05-02,14.20,16.32,13.25,16.309999,412800,13.442498
2005-04-01,14.86,15.02,13.90,14.11,64400,11.629286
2005-03-01,16.549999,17.15,13.94,14.70,130100,12.115557
2005-02-01,15.37,16.50,14.88,16.43,101200,13.331013
2005-01-03,16.43,17.26,15.14,15.37,90100,12.470946
2004-12-01,15.12,16.559999,14.96,16.50,122000,13.387809
2004-11-01,14.29,15.34,13.90,15.10,174900,12.088515
2004-10-01,13.60,14.48,13.10,14.34,160200,11.480087
2004-09-01,14.20,14.60,13.35,13.52,284100,10.823625
2004-08-02,14.42,14.78,13.00,14.10,60200,11.108258
2004-07-26,15.50,15.54,14.41,14.45,255200,11.383995
