Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.75,15.92,15.72,15.86,18600,14.548431
2013-03-01,15.81,15.98,15.16,15.72,10000,14.42001
2013-02-01,15.62,15.84,15.48,15.73,8800,14.377285
2013-01-02,15.82,16.15,15.52,15.60,8800,14.207704
2012-12-03,16.34,16.34,15.55,15.64,9100,14.194091
2012-11-01,15.84,16.290001,15.61,16.200001,10100,14.651277
2012-10-01,16.030001,16.10,15.48,15.74,8700,14.186013
2012-09-04,15.81,16.16,15.67,15.99,11700,14.361049
2012-08-01,15.60,15.96,15.54,15.68,14200,14.03331
2012-07-02,15.58,15.86,15.33,15.60,14100,13.912446
2012-06-01,15.39,15.60,15.37,15.49,9400,13.741591
2012-05-01,15.63,15.64,15.40,15.46,9700,13.665298
2012-04-02,15.43,15.64,15.28,15.62,6900,13.75697
2012-03-01,15.63,15.64,14.87,15.43,12600,13.540912
2012-02-01,15.41,15.67,15.34,15.55,6900,13.596436
2012-01-03,15.40,15.44,15.01,15.35,9400,13.373134
2011-12-01,14.95,15.20,14.89,15.20,7600,13.193599
2011-11-01,14.51,15.05,14.51,14.95,8300,12.928282
2011-10-03,14.88,15.14,14.38,14.80,11800,12.75069
2011-09-01,14.90,15.30,14.63,14.82,7100,12.719804
2011-08-01,14.24,15.23,13.79,14.75,9800,12.611725
2011-07-01,14.46,14.83,13.91,13.96,10200,11.889277
2011-06-01,13.94,14.47,13.90,14.22,6600,12.064067
2011-05-02,13.72,13.93,13.49,13.91,10000,11.753963
2011-04-01,13.61,13.63,13.30,13.60,6800,11.445107
2011-03-01,13.74,14.14,13.44,13.49,5500,11.305092
2011-02-01,13.84,14.09,13.34,13.65,9300,11.392691
2011-01-03,13.65,14.09,13.11,13.67,6300,11.362576
2010-12-01,14.20,14.32,13.01,13.62,14500,11.274158
2010-11-01,14.62,14.64,13.44,14.20,14000,11.706736
2010-10-01,14.75,14.84,14.40,14.52,18800,11.923998
2010-09-01,14.80,14.90,14.28,14.66,17500,11.993259
2010-08-02,14.36,14.80,14.05,14.72,15700,11.99587
2010-07-01,13.95,14.30,13.70,14.30,7800,11.607606
2010-06-01,13.95,14.03,13.74,13.95,7100,11.277916
2010-05-03,13.93,14.26,13.53,13.85,8600,11.152058
2010-04-01,13.80,14.00,13.75,13.85,6900,11.107258
2010-03-01,13.45,14.01,13.40,13.69,33400,10.934995
2010-02-01,13.47,13.61,13.25,13.46,11900,10.70781
2010-01-04,13.25,13.51,13.10,13.35,7000,10.57641
2009-12-01,13.20,13.35,13.03,13.35,9600,10.53154
2009-11-02,13.05,13.75,12.85,13.17,11300,10.345862
2009-10-01,13.32,13.63,12.79,12.94,12900,10.121628
2009-09-01,12.53,13.39,12.40,13.32,10500,10.373981
2009-08-03,12.40,12.79,12.10,12.51,4600,9.700438
2009-07-01,11.90,12.31,11.63,12.26,6900,9.463653
2009-06-01,12.68,12.68,11.09,11.85,5700,9.104195
2009-05-01,11.62,11.98,11.40,11.93,3800,9.122813
2009-04-01,12.01,12.29,10.96,11.62,6500,8.847025
2009-03-02,11.58,12.59,10.70,11.25,7900,8.5268
2009-02-02,12.76,12.76,11.15,11.46,10700,8.645512
2009-01-02,10.11,11.93,10.06,11.51,16100,8.645056
2008-12-01,9.77,10.07,8.69,9.95,39200,7.439803
2008-11-03,10.22,10.76,9.40,9.63,16000,7.162518
2008-10-01,11.17,11.33,8.15,10.24,26100,7.579083
2008-09-02,12.89,13.00,10.55,10.89,9100,8.013144
2008-08-01,12.97,12.97,12.38,12.79,5000,9.372847
2008-07-01,12.62,12.96,12.38,12.50,4000,9.1236
2008-06-02,13.01,13.04,12.40,12.40,5800,9.014995
2008-05-01,12.93,13.01,12.82,12.91,7400,9.348579
2008-04-01,12.93,13.03,12.63,12.91,6400,9.31182
2008-03-03,12.55,12.98,12.21,12.82,9200,9.21029
2008-02-01,13.48,13.70,12.30,12.54,12300,8.972692
2008-01-02,12.90,13.95,12.90,13.41,6700,9.558816
2007-12-03,12.91,13.14,12.69,12.93,19200,9.182104
2007-11-01,13.23,13.32,12.36,12.91,18000,9.106503
2007-10-01,13.54,13.63,12.90,13.16,10300,9.246006
2007-09-04,13.30,13.50,13.16,13.43,8200,9.399549
2007-08-01,13.47,13.49,12.99,13.15,4700,9.168602
2007-07-02,13.37,13.79,13.15,13.40,8400,9.307112
2007-06-01,13.90,14.00,13.31,13.49,8100,9.334408
2007-05-01,14.04,14.09,13.66,13.80,8900,9.512945
2007-04-02,14.16,14.55,13.72,13.90,8300,9.547025
2007-03-01,13.93,14.29,13.79,14.11,9300,9.656256
2007-02-01,13.81,13.98,13.69,13.93,12000,9.498296
2007-01-03,13.75,14.10,13.62,13.80,9700,9.375178
2006-12-01,14.03,14.22,13.45,13.85,18600,9.374992
2006-11-01,14.10,14.24,13.77,14.24,10300,9.603691
2006-10-02,14.37,14.55,13.98,14.00,5500,9.404438
2006-09-01,13.98,14.45,13.81,14.36,9300,9.607955
2006-08-01,13.60,13.87,13.20,13.85,7500,9.230052
