Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.15,16.219999,16.030001,16.129999,33000,13.976428
2013-03-01,16.84,16.950001,15.42,16.139999,13000,13.985093
2013-02-01,17.34,17.50,16.82,16.83,8300,14.514725
2013-01-02,17.190001,17.99,16.90,17.26,9300,14.81888
2012-12-03,17.85,17.860001,16.16,17.18,15100,14.684825
2012-11-01,17.370001,17.790001,16.33,17.790001,14800,15.137591
2012-10-01,17.25,17.40,17.049999,17.32,7100,14.672424
2012-09-04,16.639999,17.25,16.559999,17.24,8900,14.53892
2012-08-01,16.85,17.209999,16.24,16.530001,13500,13.873583
2012-07-02,16.809999,16.950001,16.60,16.85,8300,14.074376
2012-06-01,16.57,16.799999,16.17,16.799999,9300,13.964832
2012-05-01,16.530001,16.959999,16.139999,16.540001,10200,13.680682
2012-04-02,15.43,16.469999,15.25,16.40,13300,13.498773
2012-03-01,16.18,16.299999,14.90,15.36,15500,12.57694
2012-02-01,16.60,16.60,15.79,16.18,11700,13.182205
2012-01-03,15.19,16.559999,15.19,16.559999,11700,13.423837
2011-12-01,14.95,15.28,14.49,15.17,19700,12.23335
2011-11-01,14.60,15.21,14.60,14.86,6700,11.917864
2011-10-03,14.67,14.67,14.18,14.60,4800,11.646696
2011-09-01,14.28,15.08,14.21,14.57,5200,11.557113
2011-08-01,13.70,14.37,13.28,14.20,3800,11.200485
2011-07-01,14.27,14.35,13.51,13.58,5400,10.64885
2011-06-01,13.83,14.53,13.79,14.20,4400,11.071956
2011-05-02,13.42,13.90,13.39,13.74,5700,10.651124
2011-04-01,13.20,13.48,13.00,13.41,7300,10.33434
2011-03-01,13.01,13.26,12.83,13.17,4700,10.087526
2011-02-01,12.95,13.07,12.30,13.00,8600,9.895512
2011-01-03,13.25,13.59,12.11,12.87,8900,9.736563
2010-12-01,14.26,14.26,12.66,13.28,13900,9.986703
2010-11-01,15.05,15.53,12.79,14.08,13100,10.527031
2010-10-01,15.40,15.52,14.94,14.98,7400,11.142245
2010-09-01,15.63,15.76,14.78,15.30,7500,11.321733
2010-08-02,14.88,15.80,14.85,15.66,8500,11.528833
2010-07-01,14.70,15.10,14.62,14.89,3500,10.904613
2010-06-01,14.57,15.10,14.41,14.71,4500,10.715326
2010-05-03,14.89,14.89,14.15,14.58,5400,10.563396
2010-04-01,14.26,14.70,14.10,14.60,6900,10.520572
2010-03-01,13.63,14.32,13.47,14.26,25700,10.218445
2010-02-01,13.62,13.98,13.25,13.62,6900,9.704483
2010-01-04,13.33,13.86,13.27,13.65,6300,9.673363
2009-12-01,13.20,13.55,13.02,13.33,4400,9.394537
2009-11-02,13.35,13.35,12.65,13.11,9400,9.188616
2009-10-01,14.03,14.40,12.90,13.35,9300,9.303649
