Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,38.139999,38.200001,37.709999,37.849998,350600,34.059647
2013-03-01,39.450001,40.880001,36.139999,38.060001,418000,34.248619
2013-02-01,37.529999,40.049999,37.029999,39.650002,267300,35.679394
2013-01-02,35.68,37.939999,35.599998,37.34,281700,33.23494
2012-12-03,34.00,35.25,33.150002,35.25,219500,31.374708
2012-11-01,34.349998,34.77,32.52,33.970001,282900,30.235428
2012-10-01,35.91,36.16,33.529999,34.349998,285900,30.23344
2012-09-04,34.110001,36.07,34.029999,35.549999,237700,31.289631
2012-08-01,33.330002,37.00,33.200001,34.18,313000,30.083815
2012-07-02,33.560001,34.389999,32.41,33.27,348000,28.973457
2012-06-01,30.82,33.93,30.74,33.57,537500,29.234713
2012-05-01,31.60,31.76,30.01,31.299999,231500,27.257864
2012-04-02,31.73,32.209999,29.50,31.540001,280700,27.137796
2012-03-01,29.83,31.66,29.43,31.60,355800,27.189421
2012-02-01,29.290001,30.25,28.10,29.709999,391000,25.563217
2012-01-03,27.940001,29.299999,27.76,29.17,344800,24.785067
2011-12-01,25.84,27.98,25.43,27.700001,309900,23.536043
2011-11-01,24.60,26.690001,24.50,25.65,408400,21.794205
2011-10-03,24.49,25.76,22.16,25.09,692800,21.024397
2011-09-01,26.57,28.00,24.27,24.34,569100,20.395927
2011-08-01,25.959999,27.25,23.42,26.51,517500,22.2143
2011-07-01,25.209999,26.23,25.030001,25.15,189400,20.794212
2011-06-01,24.879999,25.57,23.65,25.049999,264900,20.711533
2011-05-02,23.50,25.309999,22.77,24.75,248300,20.46349
2011-04-01,22.35,23.59,22.35,23.50,220200,19.183729
2011-03-01,22.690001,23.25,21.32,22.219999,266200,18.138826
2011-02-01,21.77,23.790001,21.65,22.58,280800,18.432707
2011-01-03,21.280001,22.139999,20.799999,21.719999,176800,17.487455
2010-12-01,21.32,22.299999,20.15,21.049999,286100,16.948017
2010-11-01,21.52,23.34,20.719999,21.030001,108800,16.931915
2010-10-01,19.469999,21.49,19.309999,21.15,126800,16.814409
2010-09-01,17.23,19.530001,17.219999,19.40,243600,15.423145
2010-08-02,17.540001,17.75,16.52,17.120001,221100,13.61053
2010-07-01,15.97,17.969999,15.80,17.389999,58500,13.606804
2010-06-01,15.67,17.41,15.00,15.87,79400,12.41748
2010-05-03,17.639999,17.82,14.95,15.65,136500,12.245341
2010-04-01,17.690001,18.66,17.450001,17.65,97300,13.561368
2010-03-01,16.610001,18.50,16.459999,17.59,102800,13.515267
2010-02-01,16.10,17.120001,15.85,16.450001,115100,12.639349
2010-01-04,17.030001,17.27,15.90,15.98,122900,12.078784
2009-12-01,15.54,17.35,15.28,16.77,208200,12.675921
2009-11-02,14.97,17.030001,14.39,15.40,198400,11.64038
2009-10-01,16.51,18.450001,14.26,14.50,163400,10.778004
2009-09-01,15.15,18.639999,14.75,16.459999,66800,12.234891
2009-08-03,13.31,16.25,12.52,15.20,83900,11.298321
2009-07-01,12.36,13.54,11.30,13.31,61300,9.723108
2009-06-01,12.60,12.71,11.78,12.33,57000,9.007207
2009-05-01,13.48,14.00,11.91,12.49,71100,9.124088
2009-04-01,13.00,14.37,11.51,13.65,57300,9.781651
2009-03-02,11.54,14.31,7.15,13.21,193900,9.466345
2009-02-02,13.48,14.30,11.23,11.62,192100,8.326943
2009-01-02,11.30,15.00,11.30,13.20,68900,9.267537
2008-12-01,11.70,12.20,10.22,11.20,57300,7.863365
2008-11-03,15.10,16.17,9.82,11.75,50900,8.249513
2008-10-01,15.78,16.549999,9.58,15.00,83300,10.287342
2008-09-02,18.02,18.200001,15.00,15.73,48300,10.787992
2008-08-01,18.84,19.110001,17.110001,18.00,44000,12.34481
2008-07-01,19.530001,19.809999,18.32,18.809999,35300,12.706088
2008-06-02,19.00,20.16,18.559999,19.60,49600,13.239731
2008-05-01,20.02,21.00,18.33,18.860001,132000,12.739863
2008-04-01,16.950001,20.09,16.950001,19.870001,73500,13.241288
2008-03-03,18.75,19.309999,14.60,16.950001,157400,11.295412
2008-02-01,21.60,21.60,18.50,18.799999,366100,12.528244
2008-01-10,22.00,22.00,18.35,20.950001,384200,13.897175
