Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.15,16.15,16.00,16.01,20800,14.821857
2013-03-01,16.030001,16.40,15.74,16.049999,10900,14.858888
2013-02-01,16.15,16.16,15.84,15.99,8500,14.756739
2013-01-02,16.209999,16.34,16.00,16.08,9300,14.786502
2012-12-03,16.450001,16.459999,15.80,16.209999,11600,14.853004
2012-11-01,16.23,16.809999,16.040001,16.40,8200,14.972729
2012-10-01,16.23,16.40,16.030001,16.33,6200,14.8559
2012-09-04,16.08,16.25,15.79,16.23,11000,14.711967
2012-08-01,16.120001,16.360001,15.80,16.01,10900,14.459772
2012-07-02,15.88,16.16,15.65,16.07,10500,14.462475
2012-06-01,16.620001,16.620001,15.24,15.83,25700,14.194284
2012-05-01,16.51,16.940001,16.42,16.58,5300,14.811794
2012-04-02,16.540001,16.93,16.370001,16.440001,3400,14.624267
2012-03-01,16.700001,17.129999,16.110001,16.450001,9800,14.570634
2012-02-01,16.57,16.879999,16.34,16.629999,8000,14.665908
2012-01-03,16.34,16.59,16.25,16.57,5900,14.54892
2011-12-01,16.40,16.559999,16.09,16.34,6400,14.283832
2011-11-01,16.309999,16.549999,16.15,16.280001,5000,14.168171
2011-10-03,16.33,16.40,15.87,16.25,5700,14.079975
2011-09-01,15.72,16.90,15.55,16.280001,9000,14.043469
2011-08-01,15.85,16.15,15.42,15.66,9900,13.446851
2011-07-01,15.75,16.190001,15.63,15.80,5600,13.505006
2011-06-01,15.84,15.94,15.40,15.75,8700,13.402287
2011-05-02,15.68,15.79,15.23,15.79,7400,13.374784
2011-04-01,15.54,15.95,15.40,15.65,4300,13.19414
2011-03-01,15.01,15.47,15.00,15.44,3600,12.957475
2011-02-01,15.08,15.20,14.86,15.00,4800,12.528396
2011-01-03,15.26,15.37,14.08,15.04,16700,12.501427
2010-12-01,15.54,15.63,14.69,15.38,10600,12.723879
2010-11-01,15.80,15.98,15.25,15.45,7800,12.72064
2010-10-01,16.00,16.049999,15.26,15.75,8300,12.907946
2010-09-01,15.84,16.27,15.45,15.99,5100,13.044731
2010-08-02,15.67,16.200001,15.51,15.84,4200,12.864643
2010-07-01,15.48,15.85,15.33,15.74,7000,12.724876
2010-06-01,15.16,15.50,15.10,15.48,6700,12.456736
2010-05-03,15.27,15.45,14.80,15.15,5300,12.134002
2010-04-01,15.61,15.61,15.04,15.33,6500,12.22095
