Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.68,16.76,16.530001,16.76,123800,15.001006
2013-03-01,16.870001,16.870001,15.93,16.530001,45500,14.795145
2013-02-01,16.940001,17.00,16.59,16.84,26800,15.015489
2013-01-02,16.77,17.299999,16.68,16.860001,35200,14.97817
2012-12-03,17.120001,17.17,16.190001,16.700001,48600,14.782518
2012-11-01,16.91,17.27,16.43,17.139999,41700,15.11627
2012-10-01,17.00,17.139999,16.68,16.83,31200,14.78937
2012-09-04,16.51,17.040001,16.49,17.00,27200,14.883887
2012-08-01,16.77,16.77,16.15,16.42,41900,14.323187
2012-07-02,16.26,17.049999,16.23,16.610001,30100,14.43481
2012-06-01,16.280001,16.379999,15.94,16.209999,32100,14.034129
2012-05-01,16.10,16.280001,16.01,16.27,26700,14.032366
2012-04-02,15.97,16.200001,15.79,16.059999,25100,13.798366
2012-03-01,16.15,16.209999,15.42,15.88,42300,13.591009
2012-02-01,16.27,16.35,15.78,16.09,32200,13.71761
2012-01-03,15.76,16.24,15.67,16.18,35600,13.741548
2011-12-01,15.58,15.88,15.55,15.77,19100,13.340981
2011-11-01,15.50,15.70,15.34,15.57,22500,13.119902
2011-10-03,15.53,15.58,15.18,15.46,22700,12.975036
2011-09-01,15.38,15.70,15.25,15.45,31500,12.914235
2011-08-01,15.20,15.59,14.85,15.35,31200,12.779226
2011-07-01,15.36,15.50,14.88,14.99,30100,12.429275
2011-06-01,15.13,15.32,15.02,15.25,17500,12.59318
2011-05-02,15.23,15.23,14.88,15.05,23800,12.376961
2011-04-01,14.81,15.06,14.40,15.06,24600,12.333925
2011-03-01,14.81,14.82,14.52,14.57,24300,11.881598
2011-02-01,14.73,14.90,14.38,14.71,25300,11.945138
2011-01-03,14.75,14.99,14.27,14.64,32900,11.837708
2010-12-01,15.03,15.25,13.89,14.67,62400,11.812272
2010-11-01,15.67,15.67,13.88,15.15,40200,12.147491
2010-10-01,15.63,15.63,15.30,15.38,32100,12.28124
2010-09-01,15.49,15.61,15.25,15.49,26400,12.319409
2010-08-02,15.18,15.44,15.02,15.39,39100,12.190344
2010-07-01,15.16,15.16,14.78,15.03,31100,11.856883
2010-06-01,15.08,15.09,14.77,15.02,26600,11.800018
2010-05-03,14.90,15.10,14.71,14.99,27600,11.727611
2010-04-01,14.79,14.97,14.74,14.89,34700,11.600574
2010-03-01,14.45,14.96,14.41,14.81,39700,11.490203
2010-02-01,15.07,15.07,14.18,14.36,42500,11.09418
2010-01-04,14.54,15.00,14.44,14.97,32600,11.516904
2009-12-01,14.80,14.90,14.33,14.60,24000,11.185575
2009-11-02,14.63,14.64,13.75,14.61,34500,11.146091
2009-10-01,14.81,14.81,13.81,14.52,34700,11.029063
2009-09-01,13.69,14.76,13.59,14.76,25000,11.162651
2009-08-03,13.76,13.90,13.43,13.67,19800,10.292195
