Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.23,7.24,7.20,7.24,609200,6.250442
2013-03-01,7.14,7.29,6.97,7.21,340300,6.224542
2013-02-01,7.19,7.30,7.09,7.12,310800,6.111447
2013-01-02,7.37,7.45,7.12,7.19,388300,6.136486
2012-12-03,7.51,7.53,7.22,7.35,179700,6.273041
2012-11-01,7.65,7.70,7.07,7.54,233600,6.364566
2012-10-01,7.69,7.74,7.56,7.63,173700,6.405837
2012-09-04,7.64,7.71,7.51,7.68,229900,6.413482
2012-08-01,7.69,7.73,7.52,7.63,195000,6.337354
2012-07-02,7.54,7.71,7.51,7.68,225400,6.344784
2012-06-01,7.59,7.62,7.38,7.48,170100,6.146131
2012-05-01,7.56,7.58,7.31,7.58,131300,6.194205
2012-04-02,7.46,7.60,7.37,7.55,135100,6.136141
2012-03-01,7.56,7.58,7.08,7.42,185100,5.997824
2012-02-01,7.43,7.58,7.34,7.54,184500,6.061682
2012-01-03,7.39,7.45,7.29,7.44,175600,5.948503
2011-12-01,7.29,7.42,7.25,7.33,190300,5.860555
2011-11-01,7.40,7.50,7.08,7.33,226700,5.795793
2011-10-03,7.23,7.39,7.00,7.37,202200,5.798284
2011-09-01,7.24,7.43,7.16,7.21,174300,5.643773
2011-08-01,7.10,7.25,6.94,7.18,190000,5.591567
2011-07-01,7.07,7.14,6.95,7.06,158100,5.469259
2011-06-01,6.96,7.15,6.88,7.04,177500,5.425385
2011-05-02,6.83,7.02,6.73,6.97,141300,5.343368
2011-04-01,6.75,6.82,6.68,6.80,134400,5.192554
2011-03-01,6.78,6.82,6.65,6.72,154100,5.111
2011-02-01,6.78,6.86,6.63,6.80,153100,5.151065
2011-01-03,6.88,6.88,6.70,6.79,172100,5.123411
2010-12-01,6.97,7.03,6.65,6.84,197700,5.161138
2010-11-01,7.03,7.06,6.71,6.96,153300,5.20994
2010-10-01,7.00,7.10,6.92,7.03,186300,5.244245
2010-09-01,6.92,7.02,6.88,6.98,172800,5.189119
2010-08-02,6.92,6.97,6.85,6.95,203700,5.149076
2010-07-01,6.73,6.99,6.71,6.93,155600,5.116477
2010-06-01,6.55,6.77,6.54,6.76,126600,4.973427
2010-05-03,6.55,6.61,6.18,6.60,200900,4.838136
2010-04-01,6.56,6.57,6.44,6.53,145800,4.769256
2010-03-01,6.53,6.62,6.42,6.56,153000,4.773503
2010-02-01,6.40,6.53,6.35,6.53,207500,4.734182
2010-01-04,6.33,6.45,6.26,6.41,229100,4.629892
2009-12-01,6.36,6.47,6.26,6.36,176700,4.593778
2009-11-02,6.05,6.42,6.05,6.37,222300,4.56645
2009-10-01,6.63,6.63,6.31,6.37,173200,4.548998
2009-09-01,6.53,6.64,6.47,6.63,164100,4.717216
2009-08-03,6.30,6.55,6.30,6.53,174700,4.629044
2009-07-01,6.32,6.38,6.14,6.29,156600,4.442344
2009-06-01,6.13,6.27,5.90,6.24,196500,4.390135
2009-05-01,6.10,6.23,6.01,6.13,176300,4.29575
2009-04-01,5.96,6.15,5.96,6.11,166200,4.26486
2009-03-02,5.86,6.22,5.62,5.99,199000,4.164702
2009-02-02,6.14,6.25,5.71,5.92,234500,4.099374
