Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.67,25.67,25.450001,25.549999,1478000,24.206982
2013-03-01,28.24,28.690001,24.219999,25.620001,1642900,24.273304
2013-02-01,27.01,28.459999,26.620001,28.360001,181900,26.652174
2013-01-02,24.75,27.27,24.57,26.90,256000,25.280092
2012-12-03,23.52,24.68,22.83,24.440001,206300,22.968233
2012-11-01,23.790001,24.120001,22.01,23.50,139400,21.884762
2012-10-01,24.629999,25.10,23.26,23.709999,134100,22.080326
2012-09-04,25.25,25.690001,24.17,24.610001,335900,22.918467
2012-08-01,24.379999,26.219999,24.02,25.25,216700,23.352179
2012-07-02,23.58,24.540001,22.85,24.360001,200200,22.529072
2012-06-01,23.299999,24.00,22.23,23.58,233900,21.807697
2012-05-01,24.549999,24.84,23.360001,23.59,231000,21.658985
2012-04-02,25.00,25.26,23.23,24.60,288300,22.586309
2012-03-01,23.120001,25.129999,22.40,25.00,222300,22.953568
2012-02-01,23.059999,24.24,22.74,23.030001,215100,21.001156
2012-01-03,22.41,26.33,21.66,22.91,664800,20.891727
2011-12-01,21.52,23.49,21.290001,21.99,145200,20.052774
2011-11-01,21.32,22.93,20.25,21.690001,310300,19.655584
2011-10-03,20.59,22.440001,18.92,21.790001,252000,19.746204
2011-09-01,23.370001,23.459999,20.00,20.76,296900,18.812813
2011-08-01,25.059999,25.129999,19.41,23.450001,371500,21.105804
2011-07-01,26.60,27.60,24.50,24.91,360000,22.419853
2011-06-01,28.25,28.50,26.10,26.540001,391400,23.886909
2011-05-02,28.00,28.67,26.41,28.360001,247400,25.389252
2011-04-01,28.799999,29.540001,27.91,28.09,170400,25.147535
2011-03-01,28.40,29.15,27.25,28.709999,310500,25.702587
2011-02-01,28.00,29.90,28.00,28.35,618900,25.25811
2011-01-28,29.50,29.50,28.00,28.00,15600600,24.946281
