Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,256.50,256.850006,252.470001,252.960007,779200,239.669006
2013-03-01,238.169998,259.570007,233.800003,256.880005,788300,243.383041
2013-02-01,234.639999,247.00,231.660004,239.75,853300,225.571381
2013-01-02,210.619995,238.619995,208.770004,236.279999,928400,222.306595
2012-12-03,198.130005,209.910004,190.240005,206.710007,669400,194.485336
2012-11-01,189.520004,198.880005,185.199997,197.039993,755900,185.387207
2012-10-01,179.570007,192.080002,175.490005,189.679993,994300,177.106583
2012-09-04,176.699997,185.460007,175.289993,178.300003,642200,166.480942
2012-08-01,170.759995,181.339996,166.00,176.369995,453100,164.678864
2012-07-02,169.809998,176.949997,163.850006,170.259995,790300,157.627792
2012-06-01,168.070007,177.660004,162.710007,169.820007,1153200,157.220444
2012-05-01,191.339996,193.240005,160.25,170.800003,2260000,156.690216
2012-04-02,207.699997,209.369995,184.00,191.580002,784800,175.753571
2012-03-01,198.020004,208.690002,191.880005,204.899994,589700,187.973206
2012-02-01,185.479996,202.089996,181.110001,199.00,776600,181.179306
2012-01-03,183.649994,191.679993,175.179993,182.00,759200,165.701675
2011-12-01,169.50,179.770004,165.089996,178.240005,580700,162.278397
2011-11-01,152.089996,172.529999,149.839996,172.039993,952700,155.381744
2011-10-03,146.809998,170.800003,137.00,157.789993,1138200,142.511536
2011-09-01,164.720001,166.399994,140.220001,148.009995,1023000,133.678513
2011-08-01,181.399994,181.50,144.639999,164.75,1270700,148.797623
2011-07-01,192.050003,199.100006,172.380005,178.460007,871900,159.853043
2011-06-01,207.25,207.419998,183.509995,191.809998,719700,171.811111
2011-05-02,196.860001,205.559998,187.470001,205.559998,630300,182.858932
2011-04-01,202.050003,204.50,189.059998,195.940002,1800500,174.301315
2011-03-01,209.770004,209.770004,179.520004,201.009995,1059100,178.811401
2011-02-01,199.229996,207.470001,193.580002,203.990005,647100,180.20755
2011-01-03,191.520004,202.059998,185.460007,198.020004,897100,174.933563
2010-12-01,164.50,193.740005,163.75,190.580002,1037000,168.360962
2010-11-01,171.740005,174.470001,161.529999,163.00,2478900,143.113007
2010-10-01,171.800003,181.00,165.169998,170.990005,572400,150.128189
2010-09-01,144.630005,172.869995,143.210007,170.25,530300,149.47847
2010-08-02,160.00,163.509995,139.160004,141.949997,375100,124.631241
2010-07-01,145.350006,162.639999,138.419998,157.490005,443300,137.302658
2010-06-01,165.089996,167.880005,143.009995,143.399994,443300,125.01873
2010-05-03,185.610001,187.410004,155.50,167.880005,741900,145.47258
2010-04-01,211.440002,212.270004,181.179993,184.00,885300,159.440994
2010-03-01,217.910004,227.770004,208.350006,217.759995,452000,188.694946
2010-02-01,215.25,221.889999,200.559998,218.800003,459700,188.718704
2010-01-04,236.050003,243.800003,212.660004,213.820007,301300,184.423386
2009-12-01,227.960007,241.660004,216.300003,232.199997,329900,200.276428
2009-11-02,217.020004,240.50,216.110001,227.080002,260300,195.860352
2009-10-01,214.869995,240.00,206.00,216.490005,392400,186.088577
2009-09-01,199.800003,220.169998,191.679993,216.820007,356700,186.372238
2009-08-03,192.100006,210.529999,188.50,199.570007,437900,171.544632
2009-07-01,176.100006,199.630005,159.449997,190.539993,561100,163.148849
2009-06-01,162.919998,183.800003,157.979996,175.419998,840900,150.202438
