Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.08,19.08,18.73,18.799999,233200,15.841904
2013-03-01,18.790001,19.209999,18.33,18.959999,107800,15.976727
2013-02-01,18.98,19.219999,18.459999,18.84,112200,15.782771
2013-01-02,18.360001,18.99,18.059999,18.950001,110300,15.782135
2012-12-03,18.620001,18.969999,18.01,18.17,97400,15.132526
2012-11-01,18.58,18.82,16.799999,18.68,101100,15.299407
2012-10-01,18.68,18.84,17.51,18.530001,111800,15.088902
2012-09-04,17.969999,18.639999,17.709999,18.610001,117100,15.061997
2012-08-01,17.799999,18.24,17.780001,18.00,90100,14.481125
2012-07-02,17.67,18.09,17.200001,17.799999,100600,14.234965
2012-06-01,17.10,18.10,16.77,17.73,105600,14.09173
2012-05-01,17.780001,17.99,16.68,17.34,125600,13.695824
2012-04-02,17.780001,17.84,16.700001,17.74,159300,13.928873
2012-03-01,17.01,18.129999,16.540001,17.74,185400,13.844039
2012-02-01,17.10,17.34,16.74,16.959999,212500,13.154162
2012-01-03,16.040001,17.24,16.02,17.059999,147000,13.149025
2011-12-01,16.10,16.74,15.87,15.97,101200,12.308906
2011-11-01,16.110001,16.50,15.59,16.08,88700,12.187116
2011-10-03,15.84,16.43,15.00,16.139999,94500,12.154814
2011-09-01,16.08,16.33,15.31,15.89,98700,11.887836
2011-08-01,17.76,17.780001,14.30,16.01,180800,11.900361
2011-07-01,17.98,18.02,16.530001,16.84,172600,12.432708
2011-06-01,18.190001,18.41,17.43,17.950001,102000,13.173666
2011-05-02,17.51,18.24,17.440001,18.190001,89400,13.272339
2011-04-01,17.33,17.74,17.00,17.440001,77300,12.653611
2011-03-01,16.99,17.59,16.040001,17.32,94500,12.493314
2011-02-01,16.90,17.17,16.58,17.00,119700,12.190485
2011-01-03,16.379999,16.90,16.10,16.90,113400,12.050934
2010-12-01,17.049999,17.049999,15.56,16.299999,132700,11.62309
2010-11-01,17.50,17.84,15.61,16.969999,243500,11.895046
