Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.74,24.74,24.02,24.40,378600,21.859585
2013-03-01,24.02,25.389999,23.879999,24.74,112400,22.164186
2013-02-01,23.370001,24.780001,23.200001,24.18,214800,21.662491
2013-01-02,21.84,23.459999,21.790001,23.200001,162200,20.784525
2012-12-03,22.120001,22.120001,20.41,21.559999,164300,19.065828
2012-11-01,22.65,22.68,20.799999,21.60,152900,19.101202
2012-10-01,22.129999,23.16,21.209999,22.50,199500,19.897085
2012-09-04,20.870001,23.190001,20.870001,22.09,135400,19.26692
2012-08-01,20.48,21.700001,20.08,21.059999,98600,18.368551
2012-07-02,21.450001,22.41,19.49,20.32,166300,17.723124
2012-06-01,19.08,21.67,18.469999,21.43,147800,18.461758
2012-05-01,20.84,21.309999,18.950001,19.50,155300,16.79908
2012-04-02,21.10,21.99,19.690001,20.85,187000,17.962093
2012-03-01,19.620001,21.52,18.93,21.110001,228900,17.971926
2012-02-01,18.58,20.40,18.42,19.51,181400,16.60977
2012-01-03,16.35,19.16,16.00,18.51,151700,15.758424
2011-12-01,16.299999,16.83,15.45,16.049999,110000,13.479859
2011-11-01,15.84,17.00,14.84,16.360001,120400,13.740219
2011-10-03,15.17,17.26,14.81,16.25,174700,13.647833
2011-09-01,16.700001,17.18,15.14,15.23,133600,12.635653
2011-08-01,17.940001,18.940001,15.35,16.709999,215100,13.863544
2011-07-01,17.32,18.65,17.15,17.690001,109100,14.676607
2011-06-01,17.98,18.02,16.57,17.32,99400,14.212588
2011-05-02,17.360001,18.389999,16.809999,18.059999,110500,14.819823
2011-04-01,17.530001,18.040001,16.75,17.360001,81400,14.245412
2011-03-01,16.85,17.889999,16.51,17.459999,102400,14.161355
2011-02-01,17.32,18.110001,16.41,16.799999,119200,13.626046
2011-01-03,18.549999,19.049999,17.00,17.290001,119300,13.861259
2010-12-01,16.49,19.00,16.42,18.459999,94900,14.799237
2010-11-01,15.51,16.99,15.13,16.24,124100,13.019481
2010-10-01,14.59,15.68,14.15,15.41,130100,12.354076
2010-09-01,12.90,15.00,12.78,14.45,147800,11.453685
2010-08-02,12.53,12.90,11.87,12.69,189100,10.058634
2010-07-01,12.50,12.90,11.85,12.37,169300,9.804988
2010-06-01,12.78,13.51,11.87,12.49,169400,9.780346
2010-05-03,14.21,14.79,12.79,12.92,243500,10.117059
2010-04-01,14.41,16.48,14.16,14.16,178100,11.088046
2010-03-01,14.19,15.15,14.06,14.36,141800,11.136811
2010-02-01,14.27,14.57,13.33,14.13,109300,10.958437
2010-01-04,14.05,15.10,13.67,14.16,265500,10.981703
2009-12-01,14.16,14.69,13.44,13.90,119400,10.66862
2009-11-02,14.24,15.00,13.72,13.96,108500,10.714672
2009-10-01,14.13,14.59,13.10,14.11,120200,10.829801
2009-09-01,14.09,15.00,13.89,14.22,121500,10.799904
2009-08-03,12.97,15.10,12.86,14.21,124600,10.792309
2009-07-01,12.51,13.42,11.80,12.87,128600,9.774596
2009-06-01,12.95,13.50,11.88,12.43,117200,9.33141
2009-05-01,12.31,13.89,11.90,12.67,225400,9.511582
