Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.860001,31.34,30.860001,30.99,59200,24.769041
2013-03-01,30.60,32.380001,30.07,31.02,25000,24.79302
2013-02-01,29.809999,31.27,29.51,30.559999,22000,24.124355
2013-01-02,28.51,31.01,28.120001,29.790001,25800,23.51651
2012-12-03,28.07,30.200001,27.25,28.02,24000,22.119255
2012-11-01,27.99,28.73,26.290001,28.129999,31900,21.292376
2012-10-01,28.530001,29.200001,27.66,27.83,13800,21.065296
2012-09-04,27.309999,28.52,27.049999,28.52,18300,21.587578
2012-08-01,28.58,28.85,27.030001,27.34,14500,20.406897
2012-07-02,28.85,28.85,27.25,28.58,12300,21.332447
2012-06-01,26.719999,29.00,26.35,28.82,14200,21.511585
2012-05-01,28.219999,28.299999,26.200001,27.209999,12700,20.02387
2012-04-02,27.65,28.26,26.92,28.26,15000,20.796568
2012-03-01,27.00,27.84,26.17,27.469999,16100,20.215204
2012-02-01,26.700001,27.50,26.360001,26.610001,19200,19.303827
2012-01-03,25.17,27.24,24.82,26.700001,20900,19.369118
2011-12-01,25.51,26.190001,24.92,25.129999,19000,18.230183
2011-11-01,25.07,26.799999,24.219999,25.57,12800,17.595346
2011-10-03,24.00,26.799999,22.77,25.809999,22500,17.760496
2011-09-01,25.84,25.940001,23.91,24.049999,17300,16.549397
2011-08-01,27.15,27.40,23.120001,25.99,30500,17.606655
2011-07-01,29.690001,29.93,26.82,26.870001,29300,18.202803
2011-06-01,29.139999,29.950001,27.76,29.82,16800,20.201248
2011-05-02,28.450001,29.33,28.18,29.16,20900,19.486475
2011-04-01,27.02,28.799999,27.02,28.43,19100,18.998646
2011-03-01,27.08,27.32,25.709999,26.92,20300,17.989571
2011-02-01,26.559999,27.65,26.559999,27.139999,17600,17.877785
2011-01-03,26.139999,27.65,26.139999,26.530001,19300,17.475964
2010-12-01,26.40,27.879999,25.559999,26.219999,20000,17.271757
2010-11-01,27.299999,27.58,25.75,26.09,62600,16.517431
2010-10-01,25.620001,27.309999,25.43,27.139999,40600,17.182178
2010-09-01,23.74,25.690001,23.74,25.450001,29400,16.112251
2010-08-02,25.09,25.50,23.67,23.700001,16600,14.773685
2010-07-01,23.690001,25.799999,23.299999,24.790001,16600,15.453149
2010-06-01,23.84,25.809999,23.52,23.73,24100,14.792384
2010-05-03,27.299999,27.35,23.00,23.99,23900,14.716674
2010-04-01,26.67,27.59,26.40,27.41,20000,16.814674
2010-03-01,26.389999,27.09,25.799999,26.43,23400,16.213493
2010-02-01,25.75,26.540001,24.389999,26.17,20600,15.821714
2010-01-04,26.620001,27.450001,25.33,25.440001,36400,15.380376
2009-12-01,24.870001,27.40,24.73,26.23,24700,15.857989
2009-11-02,22.92,25.370001,22.27,24.77,55400,14.758556
2009-10-01,23.110001,23.99,22.559999,22.610001,21300,13.471577
2009-09-01,22.90,23.50,21.99,23.379999,27600,13.930361
2009-08-03,22.33,23.889999,21.950001,22.90,16500,13.415569
2009-07-01,20.74,22.85,20.48,22.33,19600,13.081644
2009-06-01,21.450001,21.84,19.639999,20.77,19300,12.167746
2009-05-01,19.610001,21.35,19.540001,21.08,17900,12.120263
2009-04-01,18.60,20.719999,18.370001,19.719999,18700,11.33831
2009-03-02,17.809999,19.049999,15.78,18.73,34000,10.769095
2009-02-02,21.190001,21.780001,18.059999,18.059999,20600,10.146099
2009-01-02,19.82,21.98,19.719999,21.24,18700,11.932622
2008-12-01,17.40,19.91,17.18,19.889999,24000,11.174192
2008-11-03,21.450001,22.200001,15.39,17.65,22600,9.625595
2008-10-01,25.459999,26.68,15.00,21.620001,36800,11.790672
2008-09-02,27.15,27.299999,22.379999,25.290001,22000,13.792142
2008-08-01,26.09,28.139999,25.780001,26.860001,16300,14.435932
2008-07-01,24.52,26.639999,24.309999,26.049999,16500,14.000596
2008-06-02,25.139999,26.129999,24.33,24.530001,11200,13.183671
2008-05-01,24.77,26.15,24.60,25.290001,14100,13.385917
2008-04-01,24.629999,26.66,24.190001,24.690001,13700,13.068338
2008-03-03,26.24,27.040001,21.01,24.48,20300,12.957186
2008-02-01,27.02,27.549999,25.209999,26.27,17200,13.688894
2008-01-02,27.18,28.950001,26.030001,26.82,27800,13.975491
2007-12-03,26.389999,27.68,25.77,27.040001,27600,14.09013
2007-11-01,26.98,26.98,25.65,26.42,22100,13.29338
2007-10-01,26.549999,27.540001,26.309999,27.049999,16800,13.610368
2007-09-04,25.950001,26.780001,25.860001,26.450001,15300,13.308475
2007-08-01,25.799999,26.559999,23.360001,25.940001,21000,12.861154
2007-07-02,26.700001,27.49,25.799999,25.82,16200,12.801657
2007-06-01,28.00,28.25,26.15,26.58,15000,13.178468
2007-05-01,27.76,28.40,27.219999,27.76,17400,13.570907
2007-04-02,27.18,28.49,26.90,27.84,18700,13.610016
2007-03-01,26.50,27.200001,25.34,27.10,18400,13.248256
2007-02-01,27.459999,28.440001,26.50,26.60,18200,12.81539
2007-01-03,26.969999,27.59,26.09,27.459999,18500,13.229721
2006-12-01,27.40,28.65,26.67,27.059999,18600,13.037009
2006-11-01,27.440001,27.48,25.629999,27.33,31600,12.989306
2006-10-02,26.50,28.25,26.48,27.32,20300,12.984554
2006-09-01,26.85,27.889999,26.23,26.530001,22300,12.609086
2006-08-01,25.780001,28.10,25.60,26.82,28600,12.394108
2006-07-03,24.700001,26.50,24.07,25.98,18300,12.005925
2006-06-01,24.139999,24.85,23.40,24.559999,18900,11.349712
2006-05-01,24.799999,25.10,23.75,24.040001,29500,10.932397
2006-04-03,26.530001,26.65,24.65,24.98,26600,11.359869
2006-03-01,27.459999,28.10,26.379999,26.629999,21500,12.110221
2006-02-01,26.40,27.90,25.799999,27.60,22800,12.378712
2006-01-03,25.35,26.75,25.35,26.49,23300,11.880872
2005-12-01,24.40,26.50,24.40,25.35,26500,11.369577
2005-11-01,25.200001,26.200001,24.16,24.49,23300,10.823734
2005-10-03,25.610001,26.91,24.42,25.059999,31200,11.075654
2005-09-01,25.35,26.700001,24.98,25.51,42100,11.274539
2005-08-01,25.00,25.66,24.60,25.219999,32100,10.981555
2005-07-01,24.700001,25.049999,24.25,25.00,26900,10.885761
2005-06-01,24.299999,24.809999,24.10,24.50,14700,10.668046
2005-05-02,23.799999,24.700001,22.90,24.200001,21100,10.373263
2005-04-01,25.02,25.139999,23.50,23.799999,22300,10.201804
2005-03-29,25.00,25.02,25.00,25.01,289600,10.720468
