Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,53.529999,53.689999,52.290001,53.130001,177000,51.498207
2013-03-01,50.32,54.200001,49.669998,53.52,86100,51.876228
2013-02-01,49.880001,51.48,46.82,50.759998,84500,49.200993
2013-01-02,48.700001,51.330002,47.360001,49.490002,69500,47.803101
2012-12-03,45.560001,48.599998,44.139999,47.41,75800,45.793999
2012-11-01,42.91,45.880001,40.459999,45.060001,69000,43.524101
2012-10-01,36.700001,45.599998,36.25,42.84,110100,41.223721
2012-09-04,33.779999,37.889999,32.290001,36.389999,69800,35.017067
2012-08-01,34.040001,35.720001,32.619999,33.91,42000,32.630634
2012-07-02,37.549999,39.849998,33.709999,33.889999,106800,32.45018
2012-06-01,35.189999,37.779999,34.060001,37.549999,97900,35.954685
2012-05-01,36.869999,38.00,35.549999,36.110001,107700,34.575867
2012-04-02,33.91,39.73,32.610001,36.939999,174200,35.216354
2012-03-01,32.380001,34.66,30.379999,33.990002,104000,32.404007
2012-02-01,32.41,35.049999,30.57,32.169998,178100,30.668924
2012-01-03,30.50,33.09,29.299999,32.139999,100000,30.493984
2011-12-01,30.84,31.25,26.860001,29.43,110100,27.922775
2011-11-01,31.35,33.470001,27.65,31.07,114600,29.478783
2011-10-03,28.610001,35.41,26.91,32.740002,162500,30.88467
2011-09-01,35.040001,35.50,28.66,28.93,136800,27.290577
2011-08-01,36.830002,37.360001,31.360001,35.029999,122700,33.044895
2011-07-01,36.98,40.830002,36.00,36.490002,105700,34.257118
2011-06-01,37.240002,37.68,35.400002,36.990002,98100,34.726521
2011-05-02,38.139999,38.139999,35.099998,37.220001,103100,34.942448
2011-04-01,41.50,41.610001,33.98,37.91,171600,35.454086
2011-03-01,39.50,41.240002,36.439999,41.209999,96700,38.540302
2011-02-01,41.290001,42.23,38.18,39.310001,118300,36.763393
2011-01-03,44.419998,45.470001,39.790001,40.990002,96300,38.19516
2010-12-01,42.650002,45.490002,42.48,44.220001,70800,41.204926
2010-11-01,41.799999,43.279999,40.32,42.419998,58400,39.527653
2010-10-01,40.919998,43.049999,39.610001,41.529999,75400,38.573158
2010-09-01,37.82,41.419998,37.580002,40.48,61800,37.597916
2010-08-02,39.66,41.23,36.57,37.299999,76900,34.644321
2010-07-01,38.689999,42.59,37.57,39.16,129700,36.235344
2010-06-01,39.369999,43.48,37.779999,38.689999,113000,35.800446
2010-05-03,41.669998,43.73,37.150002,39.57,120200,36.614723
2010-04-01,38.619999,44.709999,38.450001,41.360001,134700,38.152061
2010-03-01,35.91,40.720001,35.91,38.509998,66400,35.523109
2010-02-01,37.950001,37.950001,32.580002,35.93,89700,33.143219
2010-01-04,40.700001,42.450001,36.700001,37.790001,97200,34.74155
2009-12-01,35.450001,41.060001,35.00,39.82,124400,36.607796
2009-11-02,37.419998,39.310001,34.880001,35.18,122300,32.342094
2009-10-01,39.060001,40.799999,36.889999,37.27,143100,34.150326
2009-09-01,36.130001,42.25,34.130001,38.689999,170100,35.451462
2009-08-03,36.849998,40.220001,34.66,36.189999,125900,33.160725
2009-07-01,41.709999,43.52,34.799999,36.849998,237300,33.656704
2009-06-01,41.549999,44.900002,37.240002,41.00,298200,37.447083
2009-05-01,39.369999,42.110001,34.310001,40.619999,135500,37.10001
2009-04-01,28.59,40.00,27.959999,38.959999,214700,35.48671
2009-03-02,24.90,33.880001,23.01,28.889999,247100,26.314451
2009-02-02,23.110001,30.540001,22.50,25.10,243600,22.862331
2009-01-02,29.110001,31.780001,22.50,23.59,219400,21.395193
2008-12-01,30.370001,34.990002,24.870001,29.02,273200,26.319988
2008-11-03,24.540001,31.370001,20.25,31.370001,203700,28.451345
2008-10-01,46.490002,47.00,17.58,25.200001,389600,22.767063
2008-09-02,46.959999,52.00,42.130001,46.950001,218400,42.417206
2008-08-01,56.130001,62.740002,45.66,46.040001,225500,41.595062
2008-07-01,50.439999,59.25,50.099998,56.330002,222800,50.770679
2008-06-02,49.43,52.349998,45.029999,50.529999,105100,45.543091
2008-05-01,51.709999,55.00,44.959999,49.150002,108700,44.299286
2008-04-01,44.900002,52.689999,41.360001,52.07,183500,46.840466
