Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.65,21.690001,21.530001,21.549999,5451000,19.251289
2013-03-01,21.120001,22.299999,20.860001,21.60,2251100,19.295958
2013-02-01,20.370001,21.60,20.129999,21.120001,2102400,18.66608
2013-01-02,19.65,20.530001,19.469999,20.35,1000400,17.985546
2012-12-03,19.379999,19.58,18.709999,19.33,993800,17.084059
2012-11-01,19.09,19.469999,18.190001,19.27,1201300,16.825573
2012-10-01,18.75,19.68,18.299999,19.120001,1475800,16.694601
2012-09-04,18.549999,19.940001,18.459999,18.719999,1148300,16.345341
2012-08-01,18.83,19.18,18.26,18.530001,879500,15.995002
2012-07-02,18.75,19.15,18.10,18.799999,937300,16.228064
2012-06-01,17.690001,18.780001,17.52,18.68,2128800,16.124481
2012-05-01,19.809999,20.299999,17.82,18.049999,1378900,15.394461
2012-04-02,19.030001,20.02,18.35,19.82,2835400,16.904057
2012-03-01,18.50,19.65,18.18,18.98,1394500,16.187637
2012-02-01,18.780001,19.52,18.299999,18.42,1492200,15.532908
2012-01-03,18.49,18.68,17.719999,18.57,1637200,15.659397
2011-12-01,17.73,18.75,17.129999,18.08,1579700,15.246199
2011-11-01,17.49,18.950001,16.43,17.809999,2435300,14.85694
2011-10-03,16.43,18.52,15.44,18.110001,2144700,15.107199
2011-09-01,18.35,18.540001,15.62,16.57,1477200,13.822544
2011-08-01,19.90,19.91,14.94,18.290001,1810400,15.07474
2011-07-01,19.280001,21.030001,19.190001,19.620001,891500,16.170935
2011-06-01,20.41,20.50,18.52,19.24,1376100,15.857736
2011-05-02,19.950001,20.860001,18.969999,20.49,1422100,16.709095
2011-04-01,19.18,19.91,18.139999,19.84,1546100,16.179037
2011-03-01,18.200001,19.190001,16.719999,19.02,1736100,15.510347
2011-02-01,17.950001,18.459999,16.82,18.15,2274600,14.641904
2011-01-03,18.780001,19.059999,17.690001,17.85,1387200,14.39989
2010-12-01,17.90,18.82,17.290001,18.65,1089400,15.045262
2010-11-01,18.440001,19.50,16.639999,17.629999,1503100,14.093048
2010-10-01,18.16,19.219999,17.799999,18.35,1531600,14.668601
2010-09-01,17.26,19.25,17.23,17.92,2280300,14.324868
2010-08-02,18.389999,18.700001,16.25,17.09,1306900,13.534405
2010-07-01,16.01,18.440001,14.79,18.040001,1464400,14.286757
2010-06-01,16.90,18.450001,15.42,16.09,1601800,12.742456
2010-05-03,18.709999,19.120001,15.04,17.01,1896600,13.350915
2010-04-01,16.65,19.50,16.370001,18.51,2012900,14.528245
2010-03-01,15.57,17.879999,15.52,16.540001,1171100,12.982019
2010-02-01,14.63,15.81,13.36,15.45,1358200,12.025797
2010-01-04,15.96,16.959999,14.17,14.57,1803600,11.340833
2009-12-01,13.93,16.59,13.89,15.78,1017200,12.282659
2009-11-02,13.75,14.70,12.72,13.69,1165500,10.564682
2009-10-01,13.84,14.05,12.62,13.57,1246900,10.472076
2009-09-01,13.32,15.31,11.92,13.80,1309500,10.64957
2009-08-03,11.78,14.56,11.65,13.48,1692800,10.320537
2009-07-01,10.41,11.89,9.16,11.68,1497600,8.942424
2009-06-01,10.07,10.89,9.42,10.23,1545900,7.832276
2009-05-01,11.33,12.21,9.52,9.83,3242800,7.44316
2009-04-01,6.59,11.85,6.47,11.41,2553300,8.639517
2009-03-02,8.48,8.68,6.02,6.77,2437500,5.126164
2009-02-02,10.88,12.32,8.10,8.53,1686600,6.166818
2009-01-02,11.76,13.52,9.57,11.04,1770600,7.981438
2008-12-01,9.27,12.00,6.66,11.72,2697600,8.473049
2008-11-03,13.88,14.36,5.88,9.32,2406200,6.533124
2008-10-01,25.34,25.43,12.87,14.05,2484200,9.848755
2008-09-02,27.360001,29.50,24.969999,26.450001,1658200,18.540895
2008-08-01,25.709999,27.52,24.799999,26.780001,864400,18.534908
2008-07-01,24.23,27.90,22.719999,25.799999,1247800,17.856632
2008-06-02,26.280001,26.52,23.59,24.530001,955300,16.977644
2008-05-01,25.620001,27.75,25.620001,26.280001,759400,17.948389
2008-04-01,24.200001,26.879999,24.16,26.00,860000,17.757158
2008-03-03,23.24,25.33,20.889999,23.889999,992800,16.316095
2008-02-01,23.23,24.10,20.030001,21.92,540800,14.766615
2008-01-02,23.120001,23.889999,19.32,22.98,818200,15.480694
2007-12-03,22.809999,26.120001,22.049999,23.17,1099100,15.608689
2007-11-01,23.389999,23.75,20.889999,22.58,816400,15.020706
2007-10-01,24.049999,26.25,21.90,23.889999,508100,15.892146
2007-09-04,24.360001,26.02,22.40,24.10,583100,16.031843
2007-08-01,21.82,26.09,21.18,24.379999,843800,16.012896
2007-07-02,25.290001,26.200001,21.00,21.84,741200,14.344613
2007-06-01,28.25,28.99,24.129999,25.120001,756100,16.498932
2007-05-01,28.709999,29.940001,26.40,28.059999,598000,18.198629
2007-04-02,26.42,29.34,26.209999,28.709999,687900,18.620193
2007-03-01,27.40,28.459999,25.59,26.299999,778500,17.057161
2007-02-01,29.83,31.200001,27.50,27.950001,674400,17.916981
2007-01-03,28.60,30.030001,25.85,29.83,564500,19.122129
2006-12-01,30.15,31.110001,27.709999,28.60,477300,18.333654
2006-11-01,32.27,32.41,28.23,30.200001,715200,19.160931
2006-10-02,30.15,32.299999,29.809999,32.23,418700,20.4489
2006-09-01,31.190001,31.99,28.870001,30.34,525900,19.249756
2006-08-01,29.700001,31.790001,28.280001,31.139999,450700,19.567419
2006-07-03,30.00,30.860001,29.110001,29.809999,397100,18.731688
2006-06-01,28.68,29.940001,27.59,29.940001,434800,18.813375
2006-05-01,27.950001,29.49,25.950001,28.67,581000,17.829491
2006-04-03,29.620001,29.620001,26.16,27.68,221800,17.213823
2006-03-01,27.65,29.860001,27.57,29.639999,297400,18.43272
2006-02-01,26.83,27.98,26.41,27.68,167000,17.03891
2006-01-03,24.290001,26.940001,23.75,26.83,215200,16.515678
2005-12-01,25.67,26.00,24.02,24.40,214200,15.019849
2005-11-01,25.00,26.059999,23.719999,25.67,190200,15.62993
2005-10-03,24.790001,25.200001,22.25,25.01,240300,15.22807
2005-09-01,24.719999,25.32,22.299999,24.799999,257400,15.100205
2005-08-01,25.43,25.469999,23.049999,24.73,270000,14.892252
2005-07-01,23.73,25.60,23.030001,25.43,264700,15.313787
2005-06-01,22.379999,24.469999,21.299999,23.85,342400,14.362322
2005-05-02,20.10,22.73,19.99,22.35,224700,13.293852
2005-04-01,20.799999,21.00,19.389999,20.200001,136000,12.015025
2005-03-01,21.889999,22.40,20.00,20.60,104600,12.252947
2005-02-01,20.00,22.00,19.48,21.959999,176300,12.888915
2005-01-03,22.209999,22.280001,19.40,19.950001,160700,11.709193
2004-12-01,19.75,22.950001,19.639999,22.209999,142100,13.035646
2004-11-01,18.16,19.690001,17.10,19.690001,237400,11.419617
2004-10-01,17.59,18.299999,17.25,18.18,215900,10.543861
2004-09-01,17.90,18.049999,16.85,17.59,236800,10.201678
2004-08-09,16.00,17.940001,15.75,17.75,222400,10.208352
