Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.48,16.530001,16.33,16.379999,20600,14.230928
2013-03-01,16.950001,17.139999,16.059999,16.41,13900,14.256993
2013-02-01,18.030001,18.07,16.799999,16.93,21400,14.642908
2013-01-02,17.17,18.370001,17.17,17.90,14900,15.409883
2012-12-03,18.15,18.48,16.940001,17.049999,21500,14.612223
2012-11-01,17.99,18.24,17.41,18.110001,13600,15.451969
2012-10-01,18.32,18.629999,17.76,17.940001,8900,15.30692
2012-09-04,17.35,18.559999,17.120001,18.290001,16800,15.536514
2012-08-01,17.74,17.860001,16.969999,17.24,14400,14.577149
2012-07-02,16.870001,17.67,16.870001,17.67,16300,14.870576
2012-06-01,16.77,16.93,16.440001,16.75,13700,14.029984
2012-05-01,16.549999,17.08,16.33,16.780001,11900,13.987227
2012-04-02,15.75,16.50,15.65,16.50,8900,13.690212
2012-03-01,17.08,17.200001,15.32,15.70,20900,12.963155
2012-02-01,16.879999,17.25,16.360001,16.959999,17500,13.938511
2012-01-03,15.72,16.83,15.55,16.75,15400,13.702252
2011-12-01,15.03,15.73,15.00,15.69,10000,12.77175
2011-11-01,14.86,15.43,14.79,14.95,11700,12.106345
2011-10-03,14.44,15.11,14.32,14.80,11400,11.860298
2011-09-01,14.07,14.89,14.02,14.38,13500,11.461495
2011-08-01,14.17,14.45,13.34,14.02,9700,11.114301
2011-07-01,13.82,14.18,13.80,14.12,10200,11.129589
2011-06-01,13.77,13.79,13.28,13.79,12500,10.808491
2011-05-02,13.64,13.74,13.51,13.71,9200,10.682812
2011-04-01,13.27,13.57,13.07,13.53,8700,10.481674
2011-03-01,13.23,13.46,13.00,13.20,10400,10.165328
2011-02-01,13.29,13.65,12.99,13.15,9100,10.066308
2011-01-03,13.42,13.62,12.50,13.29,19900,10.114381
2010-12-01,14.57,14.57,12.83,13.43,25800,10.160081
2010-11-01,15.74,15.93,13.50,14.47,18300,10.878804
2010-10-01,15.86,16.02,15.35,15.65,10200,11.707381
2010-09-01,15.24,15.95,15.02,15.73,12500,11.708766
2010-08-02,14.86,15.38,14.74,15.21,11800,11.263792
2010-07-01,14.86,14.93,14.53,14.80,10200,10.903249
2010-06-01,15.27,15.34,14.65,14.81,8000,10.85288
2010-05-03,15.68,15.68,14.73,15.28,9000,11.139649
2010-04-01,14.89,15.74,14.74,15.06,9400,10.923033
2010-03-01,14.85,15.03,14.20,14.64,16600,10.564132
2010-02-01,14.45,14.71,14.00,14.70,10300,10.552195
2010-01-04,13.58,14.34,13.57,14.23,13700,10.159366
2009-12-01,14.19,14.19,13.40,13.53,13400,9.606285
2009-11-02,14.22,14.32,13.76,13.89,10200,9.806385
2009-10-01,14.39,14.74,13.51,13.77,14000,9.667771
2009-09-01,14.42,14.42,13.80,14.39,11700,10.046778
2009-08-03,14.30,14.99,13.91,14.14,10900,9.817504
2009-07-01,13.35,14.34,13.25,14.00,11100,9.666261
2009-06-01,13.73,13.75,13.10,13.27,6600,9.111872
2009-05-01,13.65,14.31,13.42,13.65,10100,9.318524
2009-04-01,11.88,13.74,11.85,13.43,9000,9.116213
2009-03-02,12.73,12.73,11.06,11.78,9600,7.945902
2009-02-02,13.32,13.97,11.70,12.63,11300,8.461466
2009-01-02,11.14,14.08,11.14,13.22,16700,8.805373
2008-12-01,11.10,11.95,9.71,11.08,38200,7.338612
2008-11-03,12.33,13.70,10.61,11.06,29800,7.268513
2008-10-01,13.90,14.20,9.78,12.04,23300,7.863497
2008-09-02,15.04,15.18,13.23,13.76,15400,8.923703
2008-08-01,15.13,15.26,14.70,15.01,7200,9.683229
2008-07-01,15.44,15.76,14.28,15.09,11100,9.684183
2008-06-02,16.98,17.10,15.21,15.29,11100,9.762836
2008-05-01,16.75,17.00,16.42,16.889999,6700,10.733902
2008-04-01,16.25,16.90,15.80,16.66,10500,10.537554
2008-03-03,15.34,16.35,15.26,16.190001,12900,10.190777
2008-02-01,17.950001,18.15,15.13,15.29,22900,9.576121
2008-01-02,16.49,18.10,16.49,17.940001,13600,11.186127
2007-12-03,16.41,17.639999,16.139999,16.540001,13600,10.266545
2007-11-01,17.00,18.34,15.83,16.309999,13000,10.053274
2007-10-01,17.15,17.91,16.59,16.940001,11100,10.394565
2007-09-04,16.860001,17.90,16.65,17.049999,9100,10.414397
2007-08-01,16.879999,17.030001,15.53,16.76,9800,10.191122
2007-07-02,17.450001,17.610001,16.68,16.799999,7700,10.16677
2007-06-01,18.15,18.280001,16.51,17.33,14600,10.439537
2007-05-01,19.280001,19.440001,17.940001,18.129999,10300,10.870029
2007-04-02,19.15,19.700001,19.00,19.280001,13200,11.51131
2007-03-01,18.309999,19.18,18.280001,19.07,10400,11.338877
2007-02-01,18.610001,18.700001,18.23,18.299999,11900,10.83414
2007-01-03,18.98,19.15,18.33,18.51,9700,10.910639
2006-12-01,18.40,18.950001,18.40,18.940001,10900,11.116391
2006-11-01,18.50,18.65,18.15,18.360001,8300,10.73019
2006-10-02,18.389999,18.58,18.200001,18.40,8000,10.706686
2006-09-01,17.950001,18.50,17.799999,18.35,10600,10.631167
