Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.42,15.50,15.37,15.43,37800,13.482044
2013-03-01,16.690001,16.75,15.16,15.46,27000,13.508257
2013-02-01,16.84,17.01,16.549999,16.60,12700,14.441277
2013-01-02,16.50,17.280001,16.50,16.82,16400,14.567843
2012-12-03,17.219999,17.219999,16.09,16.51,28000,14.236488
2012-11-01,16.35,17.24,16.08,17.09,29800,14.671528
2012-10-01,16.549999,16.620001,16.08,16.27,21600,13.904538
2012-09-04,16.68,16.799999,16.34,16.530001,25600,14.061378
2012-08-01,16.83,16.92,15.90,16.65,28200,14.099999
2012-07-02,16.549999,17.08,16.549999,16.74,28000,14.111504
2012-06-01,16.299999,16.530001,16.110001,16.530001,19300,13.866204
2012-05-01,16.35,16.59,16.01,16.299999,14800,13.603728
2012-04-02,15.70,16.33,15.45,16.32,18200,13.551445
2012-03-01,16.17,16.360001,15.15,15.67,33100,12.943662
2012-02-01,16.209999,16.389999,15.90,16.15,21900,13.271377
2012-01-03,15.37,16.15,15.21,16.120001,27700,13.179106
2011-12-01,15.08,15.46,14.95,15.32,16600,12.457682
2011-11-01,14.79,15.48,14.77,14.99,15400,12.122994
2011-10-03,14.64,15.20,14.40,14.77,17300,11.880651
2011-09-01,14.68,15.94,14.43,14.60,29600,11.677644
2011-08-01,14.28,14.76,13.99,14.62,21200,11.627705
2011-07-01,14.28,14.45,13.79,14.20,20000,11.228617
2011-06-01,14.34,14.49,14.18,14.23,11200,11.187255
2011-05-02,14.03,14.37,13.93,14.32,19500,11.1933
2011-04-01,13.98,14.15,13.79,13.96,14100,10.848304
2011-03-01,14.05,14.18,13.83,13.88,16900,10.722643
2011-02-01,13.89,14.07,13.55,14.00,24100,10.751271
2011-01-03,13.60,13.87,12.97,13.82,40100,10.54907
2010-12-01,14.76,14.83,13.12,13.63,43700,10.34031
2010-11-01,15.18,15.23,13.75,14.75,28800,11.123173
2010-10-01,15.39,15.40,15.07,15.12,14000,11.339479
2010-09-01,15.65,15.74,15.10,15.29,22200,11.404969
2010-08-02,15.16,15.72,15.09,15.62,23600,11.58889
2010-07-01,14.96,15.16,14.71,15.11,14100,11.149812
2010-06-01,15.18,15.18,14.58,14.94,15600,10.963366
2010-05-03,15.16,16.90,14.56,15.14,18300,11.048076
2010-04-01,14.89,15.17,14.76,15.09,19000,10.95078
2010-03-01,14.65,15.02,14.57,14.84,25400,10.709646
2010-02-01,14.49,14.82,14.22,14.54,24300,10.434097
2010-01-04,14.49,14.61,13.78,14.45,21500,10.309452
2009-12-01,15.01,15.10,14.10,14.50,22300,10.285579
2009-11-02,14.82,15.26,14.71,14.87,36800,10.488359
2009-10-01,15.48,15.64,13.59,14.61,33500,10.24753
2009-09-01,14.65,15.33,14.40,15.30,19600,10.671478
2009-08-03,14.15,14.56,13.59,14.50,9600,10.056155
2009-07-01,13.45,14.13,13.27,13.95,12400,9.620247
2009-06-01,13.51,14.49,13.01,13.44,31100,9.213818
2009-05-01,12.84,13.73,12.80,13.40,14900,9.13341
2009-04-01,11.83,12.80,11.59,12.74,25900,8.634845
2009-03-02,11.92,12.59,11.58,11.75,22500,7.913015
2009-02-02,11.52,13.05,11.47,11.85,23100,7.931975
2009-01-02,9.48,12.88,9.48,11.50,33800,7.652663
2008-12-01,9.99,10.01,8.43,9.54,49100,6.310415
2008-11-03,12.35,12.51,9.47,9.98,37200,6.549013
2008-10-01,13.25,13.39,7.75,12.37,50800,8.064745
2008-09-02,15.35,15.35,12.90,13.01,28600,8.410762
2008-08-01,15.26,15.71,14.90,15.27,12100,9.822556
2008-07-01,15.24,15.40,14.80,15.26,11800,9.767496
2008-06-02,15.39,15.76,15.08,15.25,23300,9.713058
2008-05-01,16.190001,16.91,15.13,15.34,25500,9.722706
2008-04-01,15.80,16.200001,15.46,16.120001,12900,10.170041
2008-03-03,15.39,16.17,14.90,15.70,26500,9.858749
2008-02-01,16.719999,17.129999,15.13,15.27,38700,9.543646
2008-01-02,15.27,17.24,15.25,16.790001,39700,10.446676
2007-12-03,15.72,16.50,15.15,15.35,24200,9.507301
2007-11-01,15.54,16.40,14.84,15.67,25400,9.641914
2007-10-01,16.219999,17.950001,15.43,15.55,79900,9.520269
2007-09-04,16.24,16.860001,15.87,16.370001,15100,9.974669
2007-08-01,15.94,16.35,14.81,16.139999,16500,9.788795
2007-07-02,17.190001,17.219999,15.74,15.90,16400,9.59749
2007-06-01,17.26,17.49,16.42,17.17,17000,10.317952
2007-05-01,17.59,17.83,16.84,17.26,16500,10.325896
2007-04-02,17.40,17.700001,17.219999,17.59,11900,10.478041
2007-03-01,16.879999,17.450001,16.74,17.389999,19600,10.314685
2007-02-01,17.299999,17.559999,16.700001,16.879999,27200,9.968374
2007-01-03,17.90,18.00,17.24,17.34,17200,10.195321
2006-12-01,17.41,17.90,17.32,17.90,14600,10.48011
2006-11-01,17.40,17.469999,17.040001,17.41,16900,10.149714
2006-10-02,17.059999,17.360001,16.74,17.360001,20600,10.076486
2006-09-01,17.139999,17.450001,16.75,17.09,19900,9.875952
2006-08-01,17.00,17.200001,16.40,17.10,22200,9.838541
2006-07-03,15.94,17.059999,15.89,16.969999,17500,9.720208
2006-06-01,16.120001,16.40,15.70,15.87,14300,9.048162
2006-05-01,16.26,16.450001,15.82,16.08,15200,9.125448
2006-04-03,16.18,16.450001,16.110001,16.219999,19900,9.161858
2006-03-01,16.389999,16.42,16.049999,16.209999,21900,9.114
2006-02-01,15.86,16.549999,15.86,16.24,22300,9.088597
2006-01-03,15.90,16.10,15.44,15.96,25200,8.890314
2005-12-01,15.79,15.93,15.51,15.78,21900,8.747679
2005-11-01,15.34,15.73,15.00,15.73,19900,8.678306
2005-10-03,14.98,15.39,14.53,15.19,27200,8.338734
2005-09-01,15.62,15.80,14.75,14.98,20300,8.182306
2005-08-01,15.48,15.72,15.28,15.65,18600,8.506828
2005-07-01,15.05,15.59,15.00,15.43,25900,8.346634
2005-06-01,14.98,15.17,14.67,15.07,26400,8.111594
2005-05-02,14.59,15.00,14.50,14.95,19900,8.006471
2005-04-01,14.30,14.52,14.25,14.52,16200,7.736564
2005-03-01,14.60,14.76,13.90,14.20,20700,7.526545
2005-02-01,14.60,14.77,14.46,14.60,24500,7.698643
2005-01-03,13.94,14.60,13.90,14.52,28500,7.617475
2004-12-01,13.98,14.14,13.80,13.88,26800,7.243095
2004-11-01,14.04,14.14,13.65,13.89,20900,7.209759
2004-10-01,14.10,14.27,13.92,13.99,22700,7.222313
2004-09-01,13.80,14.25,13.69,14.08,26000,7.229892
2004-08-02,13.45,13.94,13.43,13.82,23300,7.057929
2004-07-01,13.14,13.65,13.10,13.42,22800,6.816017
2004-06-01,13.05,13.20,12.82,13.04,23500,6.586166
2004-05-03,12.95,13.10,12.35,13.00,43100,6.528372
2004-04-01,14.62,14.66,12.80,12.98,33100,6.47962
2004-03-01,14.55,14.88,14.47,14.62,19700,7.258731
2004-02-02,14.28,14.67,14.28,14.51,24400,7.167436
2004-01-02,13.77,14.43,13.77,14.26,23700,7.007636
2003-12-01,13.86,14.01,13.68,13.79,25200,6.740901
2003-11-03,13.45,13.91,13.31,13.84,22500,6.72876
2003-10-01,13.63,13.96,13.39,13.45,15200,6.503351
2003-09-02,13.22,13.80,13.16,13.50,16400,6.492077
2003-08-01,13.45,13.63,13.11,13.20,14200,6.312542
2003-07-01,14.36,14.58,13.35,13.35,19100,6.348966
2003-06-02,14.19,14.53,14.01,14.29,23600,6.760977
2003-05-01,13.43,14.25,13.35,14.12,26300,6.646298
2003-04-01,13.40,13.50,13.06,13.39,16500,6.269054
2003-03-03,13.22,13.47,13.12,13.33,14600,6.206708
2003-02-03,13.25,13.34,13.00,13.20,16800,6.112694
2003-01-02,13.56,13.59,12.95,13.25,20400,6.10189
2002-12-02,13.14,13.56,12.93,13.56,37400,6.210247
2002-11-01,13.42,13.90,13.00,13.13,19500,5.980059
2002-10-01,14.57,14.59,13.35,13.42,16500,6.079595
2002-09-03,14.31,14.59,14.07,14.59,18700,6.57601
2002-08-01,14.24,14.49,14.08,14.32,13800,6.421297
2002-07-01,14.00,14.50,13.72,14.20,12900,6.334982
2002-06-03,14.01,14.36,13.87,13.91,9300,6.174364
2002-05-01,13.99,14.50,13.96,14.01,15800,6.186894
2002-04-01,13.34,14.19,13.21,13.94,20700,6.124666
2002-03-01,14.55,14.62,13.20,13.24,20500,5.787564
2002-02-01,14.76,14.86,14.45,14.50,13400,6.305506
2002-01-02,13.65,14.79,13.56,14.65,19700,6.339375
2001-12-03,14.70,14.70,13.20,13.55,32000,5.833218
2001-11-01,14.71,15.00,14.50,14.70,14900,6.296515
2001-10-01,14.99,15.31,14.28,14.62,14700,6.262249
2001-09-04,15.32,15.37,13.91,14.99,19500,6.389443
2001-08-01,15.01,15.32,15.00,15.32,24800,6.498112
2001-07-27,15.00,15.08,15.00,15.01,97400,6.366622
