Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.99,16.99,16.620001,16.68,55800,15.160955
2013-03-01,17.33,17.33,15.86,16.83,44300,15.297295
2013-02-01,16.73,17.32,16.610001,17.299999,24500,15.666743
2013-01-02,16.60,17.389999,16.540001,16.629999,30800,14.993064
2012-12-03,17.23,17.24,16.17,16.559999,34900,14.86387
2012-11-01,17.23,17.48,16.82,17.120001,22900,15.280687
2012-10-01,17.360001,17.389999,16.92,17.26,11800,15.337929
2012-09-04,17.049999,17.440001,16.85,17.27,17100,15.278964
2012-08-01,17.00,17.030001,16.190001,16.959999,29500,14.937504
2012-07-02,16.969999,17.120001,16.74,16.969999,14900,14.879375
2012-06-01,16.90,17.16,16.530001,16.90,16900,14.751948
2012-05-01,16.700001,17.10,16.610001,16.85,14700,14.641806
2012-04-02,16.73,16.99,16.42,16.74,15700,14.479124
2012-03-01,17.02,17.120001,15.81,16.68,28000,14.359027
2012-02-01,17.07,17.09,16.33,16.91,20200,14.490622
2012-01-03,16.59,17.00,16.440001,17.00,18800,14.500589
2011-12-01,16.389999,16.60,16.059999,16.59,16400,14.084577
2011-11-01,16.450001,16.450001,16.059999,16.290001,14300,13.763865
2011-10-03,16.360001,16.75,16.040001,16.450001,11900,13.832788
2011-09-01,15.85,16.50,15.85,16.24,17800,13.590849
2011-08-01,15.60,16.200001,15.17,15.85,20700,13.201381
2011-07-01,15.92,16.27,15.32,15.52,14800,12.864017
2011-06-01,15.68,16.18,15.51,15.85,18500,13.074014
2011-05-02,15.88,16.049999,15.55,15.58,29400,12.787778
2011-04-01,15.69,15.79,15.23,15.72,16000,12.838381
2011-03-01,15.65,15.80,15.40,15.56,14000,12.643596
2011-02-01,15.46,15.81,15.22,15.50,17700,12.532664
2011-01-03,15.68,16.15,15.06,15.32,25600,12.324748
2010-12-01,16.40,16.40,14.95,15.72,33900,12.584111
2010-11-01,15.86,16.24,15.05,15.77,30500,12.560936
2010-10-01,16.43,16.43,15.58,15.79,20600,12.514501
2010-09-01,16.49,16.50,16.32,16.440001,17500,12.967276
2010-08-02,16.389999,16.49,16.10,16.48,29100,12.937226
2010-07-01,15.99,16.75,15.85,16.27,25300,12.711773
2010-06-01,16.02,16.110001,15.78,15.90,14400,12.362167
2010-05-03,15.95,16.15,15.60,15.96,22600,12.348514
2010-04-01,15.66,17.00,15.52,15.86,17300,12.21132
2010-03-01,15.96,15.96,15.45,15.59,25500,11.943533
2010-02-01,15.66,15.87,15.40,15.84,19000,12.075037
2010-01-04,15.15,15.65,15.15,15.49,18100,11.74997
2009-12-01,16.27,16.27,15.12,15.16,27100,11.441966
2009-11-02,15.79,15.86,15.12,15.79,16600,11.858623
2009-10-01,15.55,15.73,15.11,15.27,19700,11.410196
2009-09-01,15.34,15.68,15.08,15.42,19600,11.463307
2009-08-03,15.77,15.80,14.90,15.24,19500,11.271999
2009-07-01,14.78,16.50,14.52,15.22,16100,11.19898
2009-06-01,14.84,15.20,14.45,14.86,15700,10.877232
2009-05-01,14.59,15.05,13.87,14.78,21100,10.761733
2009-04-01,14.15,14.83,13.85,14.59,11800,10.568651
2009-03-02,14.25,14.46,13.30,14.15,24800,10.195183
2009-02-02,14.54,14.90,13.34,14.16,27700,10.148013
2009-01-02,12.98,14.75,12.82,14.53,34000,10.358601
2008-12-01,12.46,13.06,11.00,12.97,55300,9.197995
2008-11-03,13.27,14.75,12.02,12.33,34800,8.689651
2008-10-01,14.35,15.19,8.29,13.30,34100,9.319299
2008-09-02,15.35,15.57,13.17,13.90,22100,9.673211
2008-08-01,15.15,15.36,14.96,15.24,13000,10.552881
2008-07-01,15.15,15.36,14.73,15.06,15400,10.375581
2008-06-02,15.80,15.91,15.01,15.11,14800,10.357944
2008-05-01,15.79,16.059999,15.31,15.70,20300,10.709414
2008-04-01,15.95,16.35,15.41,15.75,16000,10.692136
2008-03-03,15.49,16.290001,15.30,15.85,22500,10.708233
2008-02-01,16.040001,16.50,14.83,15.28,26900,10.272753
2008-01-02,15.25,16.25,15.24,16.02,16000,10.719853
2007-12-03,15.50,16.00,15.06,15.22,25800,10.135228
2007-11-01,15.29,16.00,14.95,15.50,32000,10.253193
2007-10-01,16.40,16.450001,15.23,15.23,18500,10.024182
2007-09-04,16.35,16.700001,15.82,16.280001,12200,10.663443
2007-08-01,15.61,16.40,15.00,16.40,14500,10.691616
2007-07-02,15.96,16.15,15.27,15.59,11700,10.113882
2007-06-01,16.299999,16.530001,15.33,15.86,16200,10.239923
2007-05-01,16.690001,16.85,16.15,16.25,17300,10.439981
2007-04-02,16.950001,16.98,16.549999,16.66,19200,10.654941
2007-03-01,17.190001,17.26,16.75,16.950001,20100,10.791516
2007-02-01,16.58,17.60,16.57,17.120001,18700,10.851165
2007-01-03,16.799999,17.02,16.540001,16.540001,15000,10.436676
2006-12-01,16.700001,17.50,16.50,17.01,29100,10.684804
2006-11-01,16.58,16.700001,16.299999,16.700001,13900,10.442253
2006-10-02,16.469999,16.629999,16.129999,16.530001,18000,10.288577
2006-09-01,16.09,16.65,15.95,16.440001,27200,10.185225
2006-08-01,16.190001,16.200001,15.91,16.059999,14600,9.902803
2006-07-03,15.64,15.96,15.57,15.96,12300,9.794716
2006-06-01,15.95,16.10,15.39,15.64,14600,9.552133
2006-05-01,15.85,16.15,15.54,15.95,15800,9.694814
2006-04-03,15.93,16.02,15.10,15.75,13100,9.527889
2006-03-01,16.33,16.35,15.56,15.88,14300,9.559792
2006-02-01,15.96,16.35,15.87,16.200001,18400,9.705846
2006-01-03,15.75,16.09,15.50,15.86,17100,9.457006
2005-12-01,15.45,16.00,15.12,15.72,21000,9.328383
