Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.50,16.66,16.440001,16.66,4200,14.607026
2013-03-01,17.07,17.25,15.71,16.50,5300,14.466743
2013-02-01,17.040001,17.25,16.75,16.99,3900,14.836382
2013-01-02,16.68,17.27,16.68,16.98,5800,14.76662
2012-12-03,17.120001,17.27,15.99,16.57,7200,14.350127
2012-11-01,16.68,17.25,16.41,17.25,6100,14.678801
2012-10-01,16.790001,17.07,16.41,16.65,4700,14.109233
2012-09-04,16.540001,16.93,16.50,16.780001,2100,14.159122
2012-08-01,16.83,17.07,16.360001,16.549999,3300,13.903239
2012-07-02,16.620001,16.860001,16.35,16.74,3800,14.00124
2012-06-01,16.68,16.940001,16.379999,16.639999,3200,13.855294
2012-05-01,15.98,16.690001,15.92,16.690001,3500,13.834791
2012-04-02,15.79,16.030001,15.67,15.91,2800,13.121431
2012-03-01,16.610001,16.700001,15.36,15.75,3200,12.922778
2012-02-01,16.65,17.049999,16.43,16.52,5500,13.487279
2012-01-03,15.71,16.700001,15.38,16.50,6100,13.405277
2011-12-01,15.18,15.95,15.13,15.71,5000,12.695969
2011-11-01,14.90,15.55,14.83,15.16,3100,12.185956
2011-10-03,14.88,15.00,14.56,14.84,2500,11.865422
2011-09-01,14.90,15.19,14.65,14.83,2400,11.79195
2011-08-01,14.92,15.14,14.12,14.83,4200,11.726837
2011-07-01,14.43,14.94,14.37,14.79,9200,11.628143
2011-06-01,14.23,14.90,14.16,14.37,3400,11.234565
2011-05-02,13.98,14.40,13.91,14.18,4900,11.024097
2011-04-01,14.00,14.00,13.72,13.91,2800,10.752047
2011-03-01,13.99,14.00,13.73,14.00,3200,10.757265
2011-02-01,13.96,14.00,13.54,13.99,3900,10.686349
2011-01-03,14.00,14.43,13.29,13.89,5500,10.547146
2010-12-01,14.93,14.94,13.35,14.01,7600,10.576573
2010-11-01,15.71,15.77,13.94,14.93,4900,11.200614
2010-10-01,16.00,16.190001,15.67,15.68,2100,11.701159
2010-09-01,15.80,16.370001,15.65,16.07,2900,11.931231
2010-08-02,15.40,15.87,15.32,15.80,3900,11.670648
2010-07-01,15.19,15.63,15.10,15.32,2100,11.256885
2010-06-01,15.27,15.75,15.05,15.10,3400,11.036875
2010-05-03,15.11,15.28,14.90,15.26,2300,11.095156
2010-04-01,15.27,15.48,14.83,15.11,3200,10.927665
2010-03-01,14.70,15.20,14.60,15.12,8800,10.876122
2010-02-01,15.22,15.22,14.59,14.75,2400,10.551551
2010-01-04,15.48,15.48,14.50,14.97,3800,10.653795
2009-12-01,14.87,15.68,14.50,15.33,5400,10.853001
2009-11-02,14.50,15.00,14.19,14.80,4900,10.358827
2009-10-01,16.540001,17.049999,14.11,14.60,8100,10.162986
2009-09-01,14.50,16.40,14.50,16.049999,3400,11.114421
2009-08-03,14.80,14.80,14.05,14.32,3400,9.865058
2009-07-01,13.10,14.70,12.70,14.70,5100,10.071603
2009-06-01,13.04,13.10,12.40,13.10,5900,8.924236
2009-05-01,13.10,13.20,12.67,13.08,2900,8.857188
2009-04-01,12.10,13.25,11.92,12.90,4100,8.689111
2009-03-02,12.40,13.90,11.81,12.20,4000,8.172029
2009-02-02,12.20,12.82,11.66,12.28,5000,8.180399
2009-01-02,10.05,12.35,10.05,12.20,6100,8.081845
2008-12-01,10.26,10.30,8.50,10.12,10600,6.665454
2008-11-03,12.05,12.05,9.12,10.24,7300,6.692107
2008-10-01,11.70,12.53,7.74,12.05,13700,7.828302
2008-09-02,14.63,14.76,11.40,11.60,6900,7.48056
2008-08-01,14.55,14.63,14.42,14.62,2100,9.384052
2008-07-01,15.15,15.26,14.55,14.56,3700,9.302073
2008-06-02,16.780001,16.860001,15.11,15.14,2700,9.628271
2008-05-01,16.27,16.76,16.049999,16.690001,3900,10.568883
2008-04-01,16.02,16.799999,15.95,16.25,11200,10.241465
2008-03-03,16.049999,17.139999,15.79,15.99,18200,10.029994
2008-02-01,17.00,18.00,15.65,15.65,10900,9.771325
2008-01-02,16.00,17.74,16.00,16.959999,5400,10.542437
2007-12-03,16.35,16.65,15.85,16.01,3300,9.908521
2007-11-01,17.299999,17.42,16.15,16.35,6600,10.038703
2007-10-01,16.200001,17.35,16.18,17.299999,4700,10.574077
2007-09-04,16.40,16.99,16.10,16.18,4000,9.844507
2007-08-01,17.10,17.209999,14.78,16.32,5500,9.883821
2007-07-02,17.50,17.75,16.940001,17.10,2900,10.308173
2007-06-01,17.65,17.99,17.129999,17.40,2800,10.442332
2007-05-01,17.90,18.40,17.01,17.65,5700,10.545248
2007-04-02,17.690001,18.24,17.66,17.950001,3400,10.67919
2007-03-01,18.120001,18.23,17.50,17.700001,3700,10.485029
2007-02-01,17.91,18.59,17.60,18.110001,4600,10.682012
2007-01-03,18.40,18.49,17.85,17.85,4500,10.483788
2006-12-01,17.620001,18.50,16.48,18.49,4400,10.813298
2006-11-01,17.26,18.00,17.049999,17.610001,4300,10.254628
2006-10-02,17.559999,17.559999,16.559999,17.25,5100,9.999841
2006-09-01,16.85,17.969999,16.85,17.559999,2800,10.132723
2006-08-01,16.950001,17.25,16.25,16.809999,5700,9.656141
2006-07-03,16.799999,17.25,16.370001,16.940001,3800,9.686872
2006-06-01,16.41,16.90,16.219999,16.77,2800,9.545312
2006-05-01,16.23,16.41,16.00,16.41,2500,9.296815
2006-04-03,16.49,16.50,15.91,16.200001,3400,9.134621
2006-03-01,16.799999,17.049999,16.200001,16.48,3100,9.249031
2006-02-01,16.00,17.00,15.90,16.68,4300,9.317539
2006-01-03,15.89,16.60,15.70,15.95,3700,8.867459
2005-12-01,15.45,16.75,15.45,15.84,4500,8.764551
2005-11-01,15.60,15.95,15.20,15.40,4000,8.481374
2005-10-03,15.33,15.94,15.10,15.58,3000,8.537633
2005-09-01,15.85,16.469999,15.18,15.31,5600,8.347618
2005-08-01,15.34,15.85,15.18,15.85,7000,8.599852
2005-07-01,15.28,15.79,15.27,15.41,7300,8.31923
2005-06-01,14.71,15.50,14.70,15.32,6400,8.230105
2005-05-02,14.35,14.72,14.22,14.65,5200,7.829772
2005-04-01,14.25,14.55,14.14,14.31,3000,7.607471
2005-03-01,14.50,14.70,13.75,14.20,6400,7.508345
2005-02-01,14.30,14.79,14.30,14.50,5900,7.626173
2005-01-03,14.19,14.38,14.10,14.31,4800,7.486741
2004-12-01,14.25,14.37,13.85,14.14,6900,7.357477
2004-11-01,13.97,14.38,13.75,14.22,7100,7.358201
2004-10-01,14.02,14.14,13.73,13.95,7300,7.178356
2004-09-01,14.05,14.17,13.71,13.92,7200,7.122926
2004-08-02,13.47,13.98,13.44,13.97,5000,7.10834
2004-07-01,13.10,13.58,13.10,13.45,5500,6.804526
2004-06-01,13.08,13.28,12.93,13.02,4200,6.548784
2004-05-03,13.22,13.25,12.54,13.00,7000,6.499672
2004-04-01,14.77,14.77,13.11,13.15,5300,6.536111
2004-03-01,14.60,14.95,14.52,14.71,6900,7.271252
2004-02-02,14.35,14.62,14.32,14.62,4800,7.188444
2004-01-02,13.92,14.50,13.86,14.26,6000,6.97451
2003-12-01,13.84,14.09,13.69,13.86,5200,6.742699
2003-11-03,13.75,13.95,13.64,13.80,5900,6.676716
2003-10-01,13.61,13.95,13.50,13.70,3300,6.59143
