Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,48.69,49.20,48.39,49.19,2213800,47.76243
2013-03-01,48.52,50.16,48.055,48.68,670600,47.26723
2013-02-01,50.68,51.00,46.74,48.61,997100,46.81565
2013-01-01,50.83,51.87,50.76,50.88,571500,49.00186
2012-12-03,48.77,51.45,48.13,50.83,604500,48.9537
2012-11-01,48.19,50.92,47.18,48.65,1011200,46.48551
2012-10-01,46.96,48.53,46.07,48.35,604900,46.19885
2012-09-03,49.92,50.97,46.48,46.89,630000,44.80381
2012-08-01,52.47,52.94,48.37,49.92,471200,47.31364
2012-07-02,50.31,53.31,49.95,52.68,396100,49.92954
2012-06-01,48.35,50.51,47.66,50.02,628300,47.40842
2012-05-01,52.84,53.57,48.07,49.23,819800,46.276
2012-04-02,50.60,53.23,48.08,52.50,692700,49.33334
2012-03-01,48.71,50.94,48.30,50.55,867500,47.48444
2012-02-01,52.01,52.43,48.36,48.43,947000,45.12697
2012-01-02,50.48,52.36,49.00,51.82,530800,48.27098
2011-12-01,48.43,50.86,46.19,50.48,471700,47.00785
2011-11-01,48.61,50.1325,45.02,48.66,718900,44.93802
2011-10-03,41.98,50.72,39.655,50.12,1126200,46.27126
2011-09-01,50.16,50.63,41.69,42.34,930700,39.07331
2011-08-01,52.86,53.18,41.39,50.26,1116800,46.01504
2011-07-01,49.89,54.31,49.89,52.48,665100,48.03417
2011-06-01,50.95,51.15,47.76,49.88,829600,45.64355
2011-05-02,51.01,51.04,47.77,51.02,1169200,46.31478
2011-04-01,47.64,51.08,46.31,50.72,472600,46.02924
2011-03-01,47.51,47.69,43.74,47.18,447900,42.80351
2011-02-01,44.93,47.67,44.025,47.51,642800,42.7315
2011-01-03,43.81,44.73,42.01,44.65,514400,40.14617
2010-12-01,43.05,44.28,41.45,43.50,467400,39.09925
2010-11-01,43.21,46.38,41.90,43.07,606700,38.36206
2010-10-01,41.96,44.99,41.01,42.93,433600,38.22453
2010-09-01,41.57,43.47,40.99,41.50,700200,36.93843
2010-08-02,42.31,43.20,38.72,40.88,741400,36.04465
2010-07-01,37.05,42.62,35.09,41.50,1207400,36.57893
2010-06-01,40.60,42.44,36.35,36.93,996400,32.53791
2010-05-03,42.30,43.50,37.03,40.86,1134400,35.64352
2010-04-01,35.15,43.29,34.92,41.76,1409400,36.41637
2010-03-01,33.79,37.66,33.41,35.75,731400,31.16321
2010-02-01,32.31,34.03,30.37,33.71,1034400,29.0701
2010-01-04,33.49,34.21,31.77,32.07,620200,27.65584
2009-12-01,31.49,35.21,30.07,33.08,645400,28.52682
2009-11-02,27.52,31.87,27.00,31.33,829400,26.68767
2009-10-01,31.04,31.36,26.77,27.23,801800,23.19519
2009-09-01,28.08,32.77,25.89,31.30,907200,26.66212
2009-08-03,24.03,29.22,23.40,28.27,1385400,23.77012
2009-07-01,23.86,24.88,20.01,23.73,995600,19.95278
2009-06-01,25.43,26.74,22.67,23.76,1237000,19.978
2009-05-01,24.31,26.81,22.00,24.98,1841900,20.51921
2009-04-01,19.07,26.49,18.92,24.57,2178900,20.18242
2009-03-02,18.82,23.63,17.04,19.63,2159900,16.12458
2009-02-02,24.76,25.52,18.16,18.92,2125300,15.13832
2009-01-02,28.07,28.70,23.54,25.39,1576800,20.31512
2008-12-01,28.50,35.57,23.32,27.98,1811800,22.38744
2008-11-03,34.63,35.25,18.06,29.36,1722400,23.10489
2008-10-01,48.99,49.19,29.44,34.81,1403200,27.39378
2008-09-02,49.14,52.18,43.43,49.00,1187700,38.56062
2008-08-01,49.14,52.50,47.05,48.23,809400,37.50652
2008-07-01,42.80,50.00,40.13,48.88,1044600,38.012
2008-06-02,48.24,50.83,42.59,43.28,663500,33.6571
2008-05-01,48.08,51.87,47.16,48.46,496900,37.24376
2008-04-01,46.35,50.54,45.91,47.95,616000,36.8518
2008-03-03,42.97,48.84,41.09,45.56,725300,35.01498
2008-02-01,43.58,45.76,40.29,43.06,549300,32.67538
2008-01-02,40.61,44.40,34.01,43.45,1015500,32.97133
2007-12-03,44.24,48.05,39.58,40.53,663300,30.75553
2007-11-01,53.45,53.45,40.80,44.55,1246000,33.40171
2007-10-01,55.94,59.99,50.95,54.80,471200,41.08673
2007-09-04,55.64,57.17,53.05,55.93,514600,41.93396
2007-08-01,48.66,56.26,48.61,55.54,682200,41.22905
2007-07-02,58.65,60.17,49.58,50.53,517000,37.50997
2007-06-01,63.22,63.69,55.66,59.29,708600,44.01279
2007-05-01,59.90,65.29,57.92,63.22,834100,46.49799
2007-04-02,63.15,64.69,59.93,61.49,440100,45.22559
2007-03-01,66.00,66.25,60.66,63.15,633700,46.44651
2007-02-01,69.42,72.95,65.66,66.35,604800,48.3907
2007-01-03,65.05,70.33,62.8401,69.41,402300,50.62243
2006-12-01,64.50,65.25,60.97,65.02,337000,47.42069
2006-11-01,66.05,66.05,60.18,64.64,431400,46.76556
2006-10-02,59.85,66.30,59.18,66.30,393600,47.96654
2006-09-01,59.12,59.99,57.31,59.73,370500,43.21329
2006-08-01,58.84,60.20,55.36,59.09,526900,42.37613
2006-07-03,55.00,59.20,54.82,58.64,273200,42.05341
2006-06-01,52.24,55.61,52.24,55.00,174000,39.443
2006-05-01,53.90,54.62,49.50,52.14,200400,37.03583
2006-04-03,56.10,56.70,51.32,53.88,366600,38.27178
2006-03-01,54.45,56.68,52.51,56.00,394000,39.77765
2006-02-01,49.80,55.16,49.80,54.37,265100,38.25964
2006-01-03,45.52,50.24,45.50,49.90,310900,35.11415
2005-12-01,46.51,47.10,44.81,45.48,217200,32.00384
2005-11-01,43.75,47.62,42.45,46.56,285100,32.408
2005-10-03,44.55,44.59,39.54,44.11,284300,30.70268
2005-09-01,41.39,44.50,41.30,44.50,238100,30.97414
2005-08-01,44.85,45.35,40.51,41.40,391400,28.48894
2005-07-01,41.75,45.13,41.57,44.90,234600,30.89742
2005-06-01,38.60,41.98,38.60,41.85,200800,28.7986
2005-05-02,37.32,40.10,36.60,38.54,289900,26.19994
2005-04-01,35.50,37.30,34.61,37.22,346000,25.30259
2005-03-01,39.20,39.48,34.93,35.30,276100,23.99735
2005-02-01,36.75,40.08,36.27,39.20,309300,26.29034
2005-01-03,40.30,40.65,36.19,36.77,276300,24.6606
2004-12-01,40.64,42.54,39.80,40.31,204200,27.03478
2004-11-01,40.00,42.50,39.48,40.64,166400,26.94198
2004-10-01,38.34,40.84,38.12,39.90,171400,26.45141
2004-09-01,37.37,38.76,36.85,38.35,243600,25.42385
2004-08-02,34.65,37.37,34.44,37.37,145400,24.45733
2004-07-01,34.25,36.81,33.83,34.65,194100,22.67719
2004-06-01,34.55,35.18,33.20,34.75,161400,22.74264
2004-05-03,31.70,34.72,30.77,34.60,193700,22.32458
2004-04-01,34.38,34.92,29.90,31.70,310800,20.45345
2004-03-01,32.65,34.98,32.65,34.32,211600,22.14392
2004-02-02,33.18,34.04,32.55,32.70,162100,20.79615
2004-01-02,33.52,33.95,31.97,33.06,183700,21.0251
2003-12-01,33.70,34.45,33.40,33.40,158700,21.24133
2003-11-03,32.45,33.85,32.12,33.80,151700,21.19153
2003-10-01,32.92,33.89,31.20,32.35,200000,20.28243
2003-09-02,33.63,34.90,32.75,32.98,207800,20.67742
2003-08-01,33.00,34.00,32.48,33.73,117000,20.85148
2003-07-01,33.13,34.45,31.95,33.05,155200,20.43111
2003-06-02,32.30,33.30,31.54,33.20,175000,20.52384
2003-05-01,30.80,33.20,30.67,32.22,177600,19.62377
2003-04-01,29.68,31.78,29.52,30.75,195400,18.72846
2003-03-03,29.90,30.50,28.15,29.45,186600,17.93669
2003-02-03,30.15,30.27,29.53,29.90,134400,17.909
2003-01-02,31.30,32.08,29.45,30.25,181400,18.11864
2002-12-02,30.75,31.50,30.02,31.20,121300,18.68766
2002-11-01,28.69,30.98,28.64,30.95,90900,18.24191
2002-10-01,30.70,30.75,27.40,28.85,217800,17.00417
2002-09-03,32.95,33.22,30.62,30.75,115300,18.12402
2002-08-01,31.50,33.00,30.20,32.95,119800,19.13109
2002-07-01,31.20,32.22,27.14,32.00,200000,18.57951
2002-06-03,32.10,32.75,31.02,31.11,167800,18.06276
2002-05-01,32.45,34.20,31.42,32.15,115800,18.3866
2002-04-01,32.67,34.25,31.10,32.65,181600,18.67255
2002-03-01,29.85,32.85,29.83,32.85,145200,18.78693
2002-02-01,29.15,30.29,28.55,30.00,135600,16.89132
2002-01-02,31.05,31.80,28.57,29.13,97000,16.40147
2001-12-03,31.25,32.15,30.08,30.96,102200,17.43184
2001-11-01,28.85,31.39,28.42,31.35,123400,17.39356
2001-10-01,29.70,29.90,28.30,29.00,190800,16.08974
